C vs D StandingsPlacements and killsPoints,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby,B vs D StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints
,CLT,21,14,1,20,0,11,0,3,7,16,1,6,0,Round 6,,17.0,,,
,C9,20,18,2,14,1,17,4,18,4,3,1,18,0,Round 6,,18.0,,,
,MOAN,13,7,7,12,1,19,0,16,0,15,0,19,0,Round 6,,19.0,,,
,RT,3,16,0,15,0,16,0,19,1,18,0,11,0,Round 6,,20.0,,,
,SEN,87,6,7,1,10,1,4,14,8,2,14,8,5,Round 7,,,1.0,,
,COL,51,3,4,3,9,8,4,13,6,4,3,14,2,Round 7,,,2.0,,
,NRG,49,1,7,6,2,6,7,15,0,16,6,3,1,Round 7,,,3.0,,
,PGG,47,13,3,9,4,3,8,12,2,1,7,18,0,Round 7,,,4.0,,
,TOR,47,18,0,4,6,5,3,10,0,8,1,1,12,Round 7,,,5.0,,
,EST,43,12,3,2,1,12,0,3,9,13,2,4,4,Round 7,,,6.0,,
,OXG,42,10,2,16,0,2,3,5,2,6,5,2,3,Round 7,,,7.0,,
,RNG,39,14,2,7,7,15,9,4,2,5,4,13,0,Round 7,,,8.0,,
,SNRS,37,2,10,8,0,16,2,19,1,18,0,5,9,Round 7,,,9.0,,
,GHOST,28,17,0,11,0,7,3,1,6,15,0,9,0,Round 7,,,10.0,,
,LZR,27,7,3,15,0,11,1,2,4,10,0,10,1,Round 7,,,11.0,,
,LMX,24,8,3,13,2,9,5,9,3,19,0,6,1,Round 7,,,12.0,,
,UNL,23,4,4,18,0,13,1,11,2,12,5,16,3,Round 7,,,13.0,,
,NBL,23,9,1,17,0,4,3,8,3,9,2,12,2,Round 7,,,14.0,,
,DY,20,15,0,10,1,14,1,6,0,7,0,7,5,Round 7,,,15.0,,
,ERA,16,11,1,14,0,10,0,16,0,3,4,17,0,Round 7,,,16.0,,
,RT,15,16,0,5,2,19,0,7,6,17,0,19,0,Round 7,,,17.0,,
,BBG,13,5,4,19,0,17,0,17,0,14,0,15,3,Round 7,,,18.0,,
,SXG,12,19,0,12,6,18,0,18,1,11,2,11,0,Round 7,,,19.0,,
,BW,0,0,0,0,0,0,0,0,0,0,0,0,0,Round 7,,,20.0,,
,ESA,67,10,0,12,0,1,9,3,8,1,15,17,1,Round 8,,,,1.0,
,TSM,62,2,10,6,8,9,6,11,7,2,5,10,0,Round 8,,,,2.0,
,G2,47,9,6,17,0,11,0,1,14,8,7,18,3,Round 8,,,,3.0,
,100T,46,1,13,8,1,12,3,4,6,18,0,6,0,Round 8,,,,4.0,
,TL,44,3,8,2,6,8,4,6,0,14,0,7,1,Round 8,,,,5.0,
,XSET,41,4,3,3,6,4,3,14,1,6,5,9,0,Round 8,,,,6.0,
,BAD,40,6,0,4,5,10,1,19,0,9,0,1,10,Round 8,,,,7.0,
,C9,36,11,3,1,7,17,0,9,3,15,0,8,5,Round 8,,,,8.0,
,BP,36,13,0,13,4,13,1,2,5,3,4,11,2,Round 8,,,,9.0,
,FUR,34,18,0,16,7,18,0,7,2,13,4,2,8,Round 8,,,,10.0,
,SSG,30,15,0,11,5,5,5,12,1,4,5,13,1,Round 8,,,,11.0,
,NEAN,27,14,1,15,0,7,6,13,2,5,1,12,6,Round 8,,,,12.0,
,CLT,27,7,3,5,1,14,0,8,0,17,0,4,8,Round 8,,,,13.0,
,PK,27,16,1,9,0,2,6,15,0,7,4,14,0,Round 8,,,,14.0,
,AM,26,5,3,7,2,19,0,10,1,12,0,3,3,Round 8,,,,15.0,
,E8,21,12,1,18,0,6,3,5,5,10,0,15,1,Round 8,,,,16.0,
,MOAN,13,19,0,14,0,3,1,18,0,11,2,16,1,Round 8,,,,17.0,
,CLX,11,17,0,10,3,15,5,17,0,16,0,19,0,Round 8,,,,18.0,
,CLG,9,8,0,19,0,16,0,16,1,19,0,5,2,Round 8,,,,19.0,
,SHEESH,0,0,0,0,0,0,0,0,0,0,0,0,0,Round 8,,,,20.0,
,PK,60,5,5,16,3,19,0,2,11,1,10,8,4,Round 9,,,,,1.0
,NRG,53,13,4,12,0,6,8,6,1,6,3,1,14,Round 9,,,,,2.0
,LZR,53,6,4,7,3,2,8,12,1,4,5,4,6,Round 9,,,,,3.0
,PGG,50,7,3,11,0,1,6,4,1,5,5,2,1,Round 9,,,,,4.0
,TL,44,12,0,2,7,9,2,3,2,8,7,14,4,Round 9,,,,,5.0
,TSM,42,2,6,6,4,17,1,13,0,7,2,3,6,Round 9,,,,,6.0
,GHOST,40,8,4,8,2,12,0,1,12,9,3,17,0,Round 9,,,,,7.0
,LMX,37,1,8,5,3,10,0,14,2,14,0,6,1,Round 9,,,,,8.0
,AM,36,18,0,4,9,3,9,9,1,17,0,15,2,Round 9,,,,,9.0
,C9,35,19,0,1,11,8,3,11,1,15,0,10,2,Round 9,,,,,10.0
,RNG,26,4,8,10,5,16,1,17,0,11,3,19,1,Round 9,,,,,11.0
,CLT,26,3,4,18,1,13,0,8,6,12,1,12,2,Round 9,,,,,12.0
,MOAN,25,17,0,3,6,5,7,15,0,16,0,18,0,Round 9,,,,,13.0
,UNL,25,14,2,13,0,14,1,7,4,3,4,11,0,Round 9,,,,,14.0
,NBL,24,10,1,15,0,15,0,5,3,18,0,5,8,Round 9,,,,,15.0
,E8,21,16,0,9,0,11,0,19,0,2,7,9,0,Round 9,,,,,16.0
,CLX,20,15,2,19,0,7,3,16,6,13,3,13,0,Round 9,,,,,17.0
,BP,18,9,0,14,0,4,4,18,1,19,0,7,2,Round 9,,,,,18.0
,ERA,16,11,3,17,0,18,1,10,1,10,6,16,0,Round 9,,,,,19.0
,BW,0,0,0,0,0,0,0,0,0,0,0,0,0,Round 9,,,,,20.0
