Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Bracket,LCQ,Legend
15.0,SIG,12.0,4.0,0.0,16.0,0.0,14.0,0.0,10.0,0.0,15.0,1.0,11.0,1.0,Finals,Last_Chance_Qualifier_1,
16.0,QUAS,11.0,15.0,0.0,8.0,0.0,15.0,0.0,12.0,1.0,10.0,0.0,6.0,0.0,Finals,Last_Chance_Qualifier_1,
17.0,MALA,9.0,11.0,0.0,9.0,0.0,8.0,0.0,16.0,0.0,12.0,0.0,9.0,1.0,Finals,Last_Chance_Qualifier_1,
18.0,SP,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Finals,Last_Chance_Qualifier_1,
19.0,OSO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Finals,Last_Chance_Qualifier_1,
20.0,TCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Finals,Last_Chance_Qualifier_1,
1.0,AK47,121.0,1.0,6.0,3.0,8.0,5.0,11.0,4.0,5.0,1.0,21.0,1.0,18.0,Losers_Bracket,Last_Chance_Qualifier_1,
2.0,QUAS,56.0,5.0,1.0,2.0,6.0,2.0,8.0,3.0,3.0,4.0,2.0,9.0,0.0,Losers_Bracket,Last_Chance_Qualifier_1,
3.0,SFD,50.0,6.0,4.0,9.0,2.0,7.0,0.0,1.0,9.0,8.0,0.0,3.0,6.0,Losers_Bracket,Last_Chance_Qualifier_1,
4.0,TVA,43.0,2.0,1.0,8.0,2.0,3.0,4.0,2.0,5.0,9.0,0.0,10.0,0.0,Losers_Bracket,Last_Chance_Qualifier_1,
5.0,SIG,39.0,3.0,5.0,1.0,7.0,11.0,0.0,12.0,0.0,12.0,0.0,8.0,3.0,Losers_Bracket,Last_Chance_Qualifier_1,
6.0,HARD,35.0,10.0,3.0,12.0,0.0,4.0,3.0,9.0,3.0,3.0,3.0,7.0,3.0,Losers_Bracket,Last_Chance_Qualifier_1,
7.0,TCS,30.0,11.0,0.0,5.0,3.0,1.0,7.0,11.0,0.0,11.0,0.0,12.0,0.0,Losers_Bracket,Last_Chance_Qualifier_1,
8.0,2k ping,26.0,8.0,0.0,4.0,3.0,9.0,2.0,10.0,0.0,6.0,3.0,6.0,1.0,Losers_Bracket,Last_Chance_Qualifier_1,
9.0,MALA,25.0,12.0,0.0,6.0,0.0,12.0,0.0,8.0,0.0,2.0,0.0,2.0,0.0,Losers_Bracket,Last_Chance_Qualifier_1,
10.0,OSO,24.0,9.0,2.0,10.0,0.0,6.0,2.0,7.0,3.0,10.0,0.0,4.0,0.0,Losers_Bracket,Last_Chance_Qualifier_1,
11.0,AIMC,20.0,7.0,2.0,11.0,0.0,8.0,0.0,6.0,2.0,7.0,0.0,5.0,0.0,Losers_Bracket,Last_Chance_Qualifier_1,
12.0,NICA,20.0,4.0,1.0,7.0,0.0,10.0,0.0,5.0,0.0,5.0,0.0,11.0,0.0,Losers_Bracket,Last_Chance_Qualifier_1,
13.0,MAUA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Losers_Bracket,Last_Chance_Qualifier_1,
14.0,Tharsis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Losers_Bracket,Last_Chance_Qualifier_1,
15.0,CAPI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Losers_Bracket,Last_Chance_Qualifier_1,
16.0,PVP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Losers_Bracket,Last_Chance_Qualifier_1,
17.0,RWA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Losers_Bracket,Last_Chance_Qualifier_1,
1.0,Mystical,71.0,1.0,7.0,10.0,4.0,12.0,1.0,3.0,4.0,1.0,14.0,9.0,5.0,Winners_Bracket,Last_Chance_Qualifier_1,
2.0,COFFE,68.0,12.0,5.0,1.0,9.0,2.0,15.0,11.0,5.0,4.0,5.0,14.0,0.0,Winners_Bracket,Last_Chance_Qualifier_1,
3.0,WTN,67.0,8.0,5.0,2.0,6.0,11.0,3.0,16.0,2.0,2.0,7.0,1.0,11.0,Winners_Bracket,Last_Chance_Qualifier_1,
4.0,GUG,60.0,9.0,2.0,3.0,6.0,4.0,8.0,2.0,7.0,6.0,0.0,3.0,4.0,Winners_Bracket,Last_Chance_Qualifier_1,
5.0,TERM,59.0,2.0,13.0,13.0,3.0,16.0,0.0,1.0,15.0,11.0,4.0,15.0,0.0,Winners_Bracket,Last_Chance_Qualifier_1,
6.0,PRDX,47.0,3.0,4.0,7.0,3.0,5.0,3.0,5.0,2.0,9.0,9.0,5.0,2.0,Winners_Bracket,Last_Chance_Qualifier_1,
7.0,GOAT,39.0,15.0,0.0,5.0,2.0,3.0,3.0,13.0,0.0,3.0,0.0,2.0,5.0,Winners_Bracket,Last_Chance_Qualifier_1,
8.0,RUA6,33.0,5.0,0.0,6.0,1.0,1.0,4.0,15.0,0.0,8.0,0.0,4.0,1.0,Winners_Bracket,Last_Chance_Qualifier_1,
9.0,ULW,28.0,6.0,0.0,8.0,5.0,9.0,0.0,12.0,1.0,10.0,0.0,7.0,9.0,Winners_Bracket,Last_Chance_Qualifier_1,
10.0,SP,24.0,13.0,2.0,15.0,0.0,10.0,6.0,6.0,2.0,17.0,0.0,6.0,4.0,Winners_Bracket,Last_Chance_Qualifier_1,
11.0,AIMC,21.0,4.0,0.0,4.0,3.0,17.0,0.0,7.0,0.0,5.0,0.0,11.0,0.0,Winners_Bracket,Last_Chance_Qualifier_1,
12.0,SIG,15.0,14.0,0.0,16.0,0.0,8.0,1.0,4.0,1.0,13.0,1.0,10.0,1.0,Winners_Bracket,Last_Chance_Qualifier_1,
13.0,2k ping,14.0,11.0,0.0,14.0,0.0,14.0,0.0,14.0,0.0,7.0,5.0,8.0,0.0,Winners_Bracket,Last_Chance_Qualifier_1,
14.0,PVP,11.0,0.0,0.0,0.0,0.0,6.0,1.0,10.0,4.0,12.0,0.0,0.0,0.0,Winners_Bracket,Last_Chance_Qualifier_1,
15.0,TCS,9.0,0.0,0.0,0.0,0.0,7.0,2.0,8.0,0.0,16.0,0.0,12.0,1.0,Winners_Bracket,Last_Chance_Qualifier_1,
16.0,NICA,9.0,10.0,1.0,11.0,0.0,13.0,0.0,9.0,0.0,15.0,0.0,13.0,0.0,Winners_Bracket,Last_Chance_Qualifier_1,
17.0,OSO,8.0,7.0,1.0,12.0,0.0,15.0,0.0,17.0,1.0,14.0,0.0,16.0,0.0,Winners_Bracket,Last_Chance_Qualifier_1,
18.0,CAPI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Winners_Bracket,Last_Chance_Qualifier_1,
19.0,MAUA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Winners_Bracket,Last_Chance_Qualifier_1,
20.0,Tharsis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Winners_Bracket,Last_Chance_Qualifier_1,
1.0,FNX,87.0,1.0,12.0,1.0,12.0,2.0,10.0,9.0,3.0,8.0,2.0,9.0,1.0,Finals,Last_Chance_Qualifier_2,
2.0,1IQ,85.0,2.0,8.0,9.0,3.0,1.0,14.0,1.0,7.0,1.0,5.0,14.0,0.0,Finals,Last_Chance_Qualifier_2,
3.0,SST,57.0,5.0,11.0,11.0,2.0,10.0,5.0,6.0,4.0,3.0,8.0,16.0,1.0,Finals,Last_Chance_Qualifier_2,
4.0,DYN,51.0,6.0,0.0,2.0,9.0,6.0,1.0,4.0,7.0,18.0,0.0,3.0,1.0,Finals,Last_Chance_Qualifier_2,
5.0,XEN,48.0,16.0,3.0,3.0,6.0,14.0,0.0,2.0,5.0,16.0,2.0,10.0,3.0,Finals,Last_Chance_Qualifier_2,
6.0,BRZ,40.0,4.0,4.0,10.0,5.0,4.0,5.0,15.0,0.0,13.0,1.0,5.0,7.0,Finals,Last_Chance_Qualifier_2,
7.0,PTD,38.0,10.0,0.0,18.0,0.0,15.0,4.0,14.0,9.0,17.0,0.0,1.0,9.0,Finals,Last_Chance_Qualifier_2,
8.0,AK47,34.0,7.0,0.0,17.0,1.0,18.0,0.0,16.0,0.0,6.0,6.0,4.0,9.0,Finals,Last_Chance_Qualifier_2,
9.0,OF,33.0,20.0,0.0,15.0,0.0,3.0,4.0,8.0,1.0,9.0,0.0,2.0,5.0,Finals,Last_Chance_Qualifier_2,
10.0,PD,31.0,3.0,2.0,20.0,0.0,12.0,4.0,7.0,7.0,14.0,3.0,20.0,0.0,Finals,Last_Chance_Qualifier_2,
11.0,1SE,30.0,8.0,4.0,4.0,8.0,8.0,2.0,17.0,0.0,5.0,3.0,17.0,0.0,Finals,Last_Chance_Qualifier_2,
12.0,LNW,29.0,14.0,3.0,14.0,0.0,9.0,4.0,11.0,7.0,19.0,0.0,8.0,8.0,Finals,Last_Chance_Qualifier_2,
13.0,No Org,29.0,11.0,6.0,12.0,0.0,19.0,1.0,3.0,2.0,7.0,1.0,6.0,0.0,Finals,Last_Chance_Qualifier_2,
14.0,GHT,28.0,15.0,0.0,19.0,0.0,17.0,0.0,13.0,3.0,2.0,10.0,15.0,3.0,Finals,Last_Chance_Qualifier_2,
15.0,HRS,24.0,19.0,0.0,6.0,1.0,13.0,0.0,18.0,0.0,4.0,5.0,11.0,3.0,Finals,Last_Chance_Qualifier_2,
16.0,INS,21.0,17.0,0.0,16.0,0.0,5.0,1.0,5.0,0.0,15.0,3.0,12.0,7.0,Finals,Last_Chance_Qualifier_2,
17.0,BHT,21.0,9.0,4.0,8.0,5.0,7.0,0.0,20.0,0.0,10.0,0.0,7.0,0.0,Finals,Last_Chance_Qualifier_2,
18.0,TBG,14.0,12.0,0.0,5.0,4.0,16.0,0.0,10.0,0.0,20.0,0.0,19.0,3.0,Finals,Last_Chance_Qualifier_2,
19.0,TERM,12.0,13.0,0.0,7.0,1.0,11.0,0.0,19.0,0.0,12.0,4.0,18.0,0.0,Finals,Last_Chance_Qualifier_2,
20.0,DOOD,10.0,18.0,0.0,13.0,0.0,20.0,2.0,12.0,0.0,11.0,3.0,13.0,1.0,Finals,Last_Chance_Qualifier_2,
1.0,1SE,108.0,1.0,11.0,3.0,10.0,1.0,19.0,1.0,20.0,11.0,3.0,15.0,0.0,Losers_Bracket,Last_Chance_Qualifier_2,
2.0,GHT,76.0,8.0,3.0,1.0,15.0,8.0,0.0,2.0,10.0,2.0,12.0,13.0,1.0,Losers_Bracket,Last_Chance_Qualifier_2,
3.0,INS,59.0,6.0,9.0,10.0,0.0,2.0,8.0,4.0,6.0,4.0,4.0,5.0,4.0,Losers_Bracket,Last_Chance_Qualifier_2,
4.0,FSN,47.0,13.0,3.0,5.0,4.0,3.0,7.0,6.0,4.0,16.0,1.0,3.0,6.0,Losers_Bracket,Last_Chance_Qualifier_2,
5.0,PRDX,40.0,2.0,7.0,4.0,7.0,13.0,0.0,7.0,3.0,17.0,0.0,8.0,3.0,Losers_Bracket,Last_Chance_Qualifier_2,
6.0,ASAIM,37.0,14.0,0.0,6.0,3.0,11.0,0.0,9.0,1.0,1.0,12.0,9.0,0.0,Losers_Bracket,Last_Chance_Qualifier_2,
7.0,GUG,36.0,15.0,4.0,12.0,3.0,5.0,1.0,3.0,0.0,12.0,2.0,7.0,9.0,Losers_Bracket,Last_Chance_Qualifier_2,
8.0,ULW,35.0,4.0,2.0,15.0,0.0,14.0,0.0,11.0,0.0,8.0,1.0,1.0,10.0,Losers_Bracket,Last_Chance_Qualifier_2,
9.0,AIE,32.0,9.0,3.0,14.0,0.0,4.0,3.0,10.0,0.0,5.0,12.0,0.0,0.0,Losers_Bracket,Last_Chance_Qualifier_2,
10.0,2k ping,22.0,5.0,0.0,11.0,0.0,15.0,3.0,5.0,0.0,7.0,0.0,6.0,3.0,Losers_Bracket,Last_Chance_Qualifier_2,
11.0,SFD,22.0,3.0,2.0,13.0,0.0,9.0,2.0,16.0,0.0,6.0,0.0,4.0,0.0,Losers_Bracket,Last_Chance_Qualifier_2,
12.0,HARD,19.0,12.0,0.0,7.0,1.0,7.0,0.0,13.0,0.0,3.0,2.0,12.0,0.0,Losers_Bracket,Last_Chance_Qualifier_2,
13.0,GOAT,18.0,10.0,0.0,2.0,1.0,6.0,0.0,17.0,0.0,9.0,0.0,11.0,0.0,Losers_Bracket,Last_Chance_Qualifier_2,
14.0,TVA,16.0,0.0,0.0,17.0,0.0,16.0,0.0,12.0,0.0,10.0,0.0,2.0,4.0,Losers_Bracket,Last_Chance_Qualifier_2,
15.0,QUAS,11.0,7.0,0.0,9.0,0.0,12.0,0.0,15.0,1.0,14.0,0.0,10.0,0.0,Losers_Bracket,Last_Chance_Qualifier_2,
16.0,WTN,8.0,11.0,0.0,16.0,0.0,10.0,2.0,8.0,0.0,15.0,0.0,0.0,0.0,Losers_Bracket,Last_Chance_Qualifier_2,
17.0,RUA6,7.0,16.0,0.0,8.0,0.0,17.0,0.0,14.0,1.0,13.0,1.0,14.0,0.0,Losers_Bracket,Last_Chance_Qualifier_2,
18.0,MALA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Losers_Bracket,Last_Chance_Qualifier_2,
19.0,MVP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Losers_Bracket,Last_Chance_Qualifier_2,
20.0,SIG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Losers_Bracket,Last_Chance_Qualifier_2,
