Standings,Team.1,Total,Lobby
18.0,FulL on TilT!,0,Lobby 12
1.0,BOOBA,52,Lobby 13
2.0,JIGSAW,39,Lobby 13
3.0,MF,36,Lobby 13
4.0,FaTuttoilPad,31,Lobby 13
5.0,NIBL,30,Lobby 13
6.0,Siliciler,29,Lobby 13
7.0,Enoughandmore,27,Lobby 13
8.0,T3W,24,Lobby 13
9.0,Vagabonds,23,Lobby 13
10.0,FIRE CLAN,23,Lobby 13
11.0,Quartis,21,Lobby 13
12.0,Acid Papis,19,Lobby 13
13.0,TororosGang,16,Lobby 13
14.0,HunApexPredators,11,Lobby 13
15.0,Triangle Mafia,10,Lobby 13
16.0,n00rmiki,8,Lobby 13
17.0,ENDSARZZ,4,Lobby 13
1.0,RD,75,Lobby 14
2.0,Sheriffs,63,Lobby 14
3.0,signelunaire,51,Lobby 14
4.0,Team Volpid,35,Lobby 14
5.0,NXB,32,Lobby 14
6.0,Nuclear Apes,28,Lobby 14
7.0,Kvasna,24,Lobby 14
8.0,Vain,20,Lobby 14
9.0,Lagom,19,Lobby 14
10.0,Wellenförmig™,18,Lobby 14
11.0,Južni Vetar Gas,10,Lobby 14
12.0,Hookahge,8,Lobby 14
13.0,Wait For Top 6 A,7,Lobby 14
14.0,Insane Vecchio,7,Lobby 14
15.0,FloWenZ Esports,6,Lobby 14
16.0,Tankiii,5,Lobby 14
17.0,Bulba Power,2,Lobby 14
18.0,Los Pinguinos,0,Lobby 14
1.0,NoName,67,Lobby 15
2.0,OG,61,Lobby 15
3.0,Kryptic,38,Lobby 15
4.0,Excellents,29,Lobby 15
5.0,3 Uomini 1 Gamba,24,Lobby 15
6.0,HKE,23,Lobby 15
7.0,BWG,22,Lobby 15
8.0,Vanaheim Gaming,20,Lobby 15
9.0,60fps,19,Lobby 15
10.0,MZY,18,Lobby 15
11.0,Next Gen Esports,16,Lobby 15
12.0,thr33 stack,15,Lobby 15
13.0,Murder De Game,11,Lobby 15
14.0,SinoriaL,9,Lobby 15
15.0,KYKLOS Blue,4,Lobby 15
16.0,FishSticks,3,Lobby 15
17.0,Amaterasu,1,Lobby 15
18.0,Novomatic,0,Lobby 15
1.0,NMS,76,Lobby 16
2.0,Undertaker,51,Lobby 16
3.0,3 Jabronies,35,Lobby 16
4.0,Bacalhau,35,Lobby 16
5.0,Aesir,30,Lobby 16
6.0,BFG,30,Lobby 16
7.0,1515,22,Lobby 16
8.0,SPPI,19,Lobby 16
9.0,DoubleuandL,17,Lobby 16
10.0,Monkey Milkers,16,Lobby 16
11.0,ahahhah,16,Lobby 16
12.0,NF X,14,Lobby 16
13.0,ZenTeX eSports,12,Lobby 16
14.0,KWK,12,Lobby 16
15.0,Wild Boars,6,Lobby 16
16.0,Rayquaza Shiny,2,Lobby 16
17.0,PivoEnjoyers,0,Lobby 16
18.0,Elver Galarga,0,Lobby 16
1.0,RNGBless,58,Lobby 1
2.0,bykva U,55,Lobby 1
3.0,Exalty,43,Lobby 1
4.0,WhyUs,38,Lobby 1
5.0,AAS,34,Lobby 1
6.0,Wisps,33,Lobby 1
7.0,Reapers of death,32,Lobby 1
8.0,SeXy Chonks,17,Lobby 1
9.0,NoWayFzB,16,Lobby 1
10.0,HEROES ESPORT,16,Lobby 1
11.0,MALE,15,Lobby 1
12.0,WRG,11,Lobby 1
13.0,Sapere Aude,10,Lobby 1
14.0,TILT,10,Lobby 1
15.0,YoKaï,8,Lobby 1
16.0,AimAssistRed,5,Lobby 1
17.0,OXR,5,Lobby 1
1.0,AP,65,Lobby 2
2.0,GIGI,52,Lobby 2
3.0,BCG,43,Lobby 2
4.0,MOB INT,42,Lobby 2
5.0,7Hologram,36,Lobby 2
6.0,SMS,36,Lobby 2
7.0,Royal Mooses,28,Lobby 2
8.0,Excellent Era,22,Lobby 2
9.0,MantaX,16,Lobby 2
10.0,LegitGoats,15,Lobby 2
11.0,Nobody,15,Lobby 2
12.0,Phoenix,14,Lobby 2
13.0,INEX,9,Lobby 2
14.0,47 squad,8,Lobby 2
15.0,TAG,6,Lobby 2
16.0,420SwampWarriors,5,Lobby 2
17.0,Helheim E-sport,5,Lobby 2
18.0,Profi PUPS,5,Lobby 2
1.0,Proxima,66,Lobby 3
2.0,Kamisato,47,Lobby 3
3.0,NoFear,43,Lobby 3
4.0,AUS,40,Lobby 3
5.0,Hope Die Last,36,Lobby 3
6.0,SPIRAL,29,Lobby 3
7.0,UTFT,29,Lobby 3
8.0,Minor Keepers,23,Lobby 3
9.0,weebs,19,Lobby 3
10.0,ZEBI,18,Lobby 3
11.0,Versatile Boys,17,Lobby 3
12.0,DSS_Apex,16,Lobby 3
13.0,Squad 104,7,Lobby 3
14.0,UnderDogs Greece,5,Lobby 3
15.0,IX LEGION,4,Lobby 3
16.0,CRF_team,3,Lobby 3
17.0,Artemis Divinity,2,Lobby 3
18.0,Org Dropouts,2,Lobby 3
1.0,FV,65,Lobby 4
2.0,MP,50,Lobby 4
3.0,Young Squad,47,Lobby 4
4.0,Uchinix,43,Lobby 4
5.0,ORCL,36,Lobby 4
6.0,ConsoleGamers,35,Lobby 4
7.0,PDPivas,30,Lobby 4
8.0,superdumplings,22,Lobby 4
9.0,Black PENTA,19,Lobby 4
10.0,Gang FDD,17,Lobby 4
11.0,Tania & Friends,15,Lobby 4
12.0,Ghoul-punk,14,Lobby 4
13.0,Gibby Got Cake,14,Lobby 4
14.0,ADNL,11,Lobby 4
15.0,RA9,9,Lobby 4
16.0,TBD,6,Lobby 4
17.0,ODO,3,Lobby 4
18.0,Sussy Bakas,2,Lobby 4
1.0,BGR,86,Lobby 5
2.0,TD,63,Lobby 5
3.0,Team SiMo,44,Lobby 5
4.0,Weebs Out,36,Lobby 5
5.0,edit,35,Lobby 5
6.0,Justthreeplayers,33,Lobby 5
7.0,CHOC,27,Lobby 5
8.0,White Clover,23,Lobby 5
9.0,DASK,12,Lobby 5
10.0,First in Battle,11,Lobby 5
11.0,Moin Myster,10,Lobby 5
12.0,Looking4Wingman,8,Lobby 5
13.0,Precise Hornets,8,Lobby 5
14.0,So Basically,8,Lobby 5
15.0,Escuella,5,Lobby 5
16.0,WashedUpShitters,4,Lobby 5
17.0,RareBar™,4,Lobby 5
18.0,TAW Rampage,4,Lobby 5
1.0,DM,71,Lobby 6
2.0,WLS,50,Lobby 6
3.0,24K,46,Lobby 6
4.0,TRIHARD,33,Lobby 6
5.0,BountyHunterGG,31,Lobby 6
6.0,iEnvy,28,Lobby 6
7.0,VALUE TEAM,28,Lobby 6
8.0,NotoriousFamily,25,Lobby 6
9.0,Reakless,21,Lobby 6
10.0,6bnt,21,Lobby 6
11.0,Let’s Carry This,15,Lobby 6
12.0,Fluffy Bunnies,14,Lobby 6
13.0,DUNDER,10,Lobby 6
14.0,Ebic Snake Dewds,7,Lobby 6
15.0,DoT-ger,6,Lobby 6
16.0,FriendsofBoomers,5,Lobby 6
17.0,Space Renegades,4,Lobby 6
18.0,Casuals4Fun,4,Lobby 6
1.0,Apex Who Dis,47,Lobby 7
2.0,PunX,46,Lobby 7
3.0,GVG,42,Lobby 7
4.0,LGN,41,Lobby 7
5.0,ARIS,37,Lobby 7
6.0,Mat For Victory,31,Lobby 7
7.0,EFG,26,Lobby 7
8.0,Xaler,25,Lobby 7
9.0,KJT,25,Lobby 7
10.0,Crying our best,20,Lobby 7
11.0,qoud vera Genus,16,Lobby 7
12.0,NyanPasu,15,Lobby 7
13.0,789Academy,11,Lobby 7
14.0,Takavid,7,Lobby 7
15.0,THE OLD MEN,7,Lobby 7
16.0,Team AeS,3,Lobby 7
17.0,1YEP6,2,Lobby 7
18.0,Renaissance,2,Lobby 7
1.0,ETH,57,Lobby 8
2.0,Pepegi,46,Lobby 8
3.0,PXL,43,Lobby 8
4.0,LegionF,38,Lobby 8
5.0,no team name,35,Lobby 8
6.0,PauseChamps,33,Lobby 8
7.0,3turrets1brain,26,Lobby 8
8.0,KOMANDA A,23,Lobby 8
9.0,Senshi,20,Lobby 8
10.0,WARM Esport,18,Lobby 8
11.0,work hard money,17,Lobby 8
12.0,Yeboi Gaming,15,Lobby 8
13.0,Ignite,13,Lobby 8
14.0,WHO,12,Lobby 8
15.0,TASS,7,Lobby 8
16.0,AYCEE,4,Lobby 8
17.0,Pog Frog,3,Lobby 8
18.0,AP827926,0,Lobby 8
1.0,PRSTS,63,Lobby 9
2.0,Ragshack Bangers,58,Lobby 9
3.0,ThatsaYouProblem,42,Lobby 9
4.0,CHI,37,Lobby 9
5.0,Explosion,31,Lobby 9
6.0,Beams Only,26,Lobby 9
7.0,fifth grader,26,Lobby 9
8.0,Exiled,23,Lobby 9
9.0,SCBS,21,Lobby 9
10.0,KIMADAZ,21,Lobby 9
11.0,SVR,16,Lobby 9
12.0,Skill Gap,9,Lobby 9
13.0,DidzGhiott,9,Lobby 9
14.0,SA Legends,8,Lobby 9
15.0,Kids With Candy,5,Lobby 9
16.0,Noobs In Town,4,Lobby 9
17.0,Ovar Esport,2,Lobby 9
