Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby,Round,P.4,K.4,P.5,K.5,Split,Region
6.0,4ChineseHorseman,41,5,8,10,0,10,4,18,3,Lobby 1,Semifinals,7.0,0.0,2.0,6.0,Split_1,APAC_South
7.0,RNG,31,6,0,15,3,8,1,2,8,Lobby 1,Semifinals,13.0,3.0,18.0,0.0,Split_1,APAC_South
8.0,DESI,31,19,0,14,2,2,4,5,2,Lobby 1,Semifinals,15.0,0.0,3.0,1.0,Split_1,APAC_South
9.0,BOG,29,14,1,6,1,15,1,9,3,Lobby 1,Semifinals,5.0,6.0,6.0,3.0,Split_1,APAC_South
10.0,END,29,9,5,7,3,14,2,16,2,Lobby 1,Semifinals,4.0,1.0,7.0,2.0,Split_1,APAC_South
11.0,DYN,23,10,0,9,0,7,2,6,5,Lobby 1,Semifinals,11.0,0.0,5.0,1.0,Split_1,APAC_South
12.0,Juiced,21,13,1,13,2,11,1,19,3,Lobby 1,Semifinals,17.0,0.0,4.0,6.0,Split_1,APAC_South
13.0,LNW,18,4,2,11,3,12,3,8,0,Lobby 1,Semifinals,19.0,0.0,12.0,0.0,Split_1,APAC_South
14.0,Scythe,16,15,4,19,2,6,4,20,0,Lobby 1,Semifinals,10.0,0.0,19.0,0.0,Split_1,APAC_South
15.0,SuperiorSoySauce,13,17,0,12,2,19,0,12,0,Lobby 1,Semifinals,14.0,8.0,20.0,0.0,Split_1,APAC_South
16.0,Omnity,13,16,0,4,1,20,0,10,2,Lobby 1,Semifinals,18.0,0.0,10.0,1.0,Split_1,APAC_South
17.0,Sigma Gamers,13,20,1,20,0,3,2,17,0,Lobby 1,Semifinals,12.0,0.0,9.0,0.0,Split_1,APAC_South
18.0,Another Support,12,8,0,17,1,9,0,13,0,Lobby 1,Semifinals,8.0,3.0,13.0,0.0,Split_1,APAC_South
19.0,Inferno DRT,10,12,0,16,3,17,0,15,0,Lobby 1,Semifinals,16.0,3.0,11.0,1.0,Split_1,APAC_South
20.0,SLK,8,18,0,18,0,13,0,14,0,Lobby 1,Semifinals,9.0,4.0,16.0,0.0,Split_1,APAC_South
1.0,EMM,103,6,1,5,15,1,18,1,17,Lobby 2,Semifinals,15.0,0.0,3.0,13.0,Split_1,APAC_South
2.0,Antiaa,80,10,9,6,9,5,2,4,7,Lobby 2,Semifinals,1.0,13.0,2.0,5.0,Split_1,APAC_South
3.0,OC,57,1,11,15,0,9,3,7,2,Lobby 2,Semifinals,11.0,2.0,1.0,8.0,Split_1,APAC_South
