Standings,Team.1,Total,Lobby,Round
9.0,Eternal x Beasts,18,Lobby 23,Round_1
10.0,Corruption,16,Lobby 23,Round_1
11.0,Jolly Roger,14,Lobby 23,Round_1
12.0,Xbox,12,Lobby 23,Round_1
13.0,ChkyMoneyBadgers,10,Lobby 23,Round_1
14.0,The Spit Boys,10,Lobby 23,Round_1
15.0,GForce Team,4,Lobby 23,Round_1
1.0,Zachs Chest Hair,66,Lobby 24,Round_1
2.0,trippinoncables,52,Lobby 24,Round_1
3.0,Laggy 'n Rollers,51,Lobby 24,Round_1
4.0,ChayKayJay,38,Lobby 24,Round_1
5.0,TAG NA,31,Lobby 24,Round_1
6.0,Unlucky,30,Lobby 24,Round_1
7.0,Mid Piece,28,Lobby 24,Round_1
8.0,Captains,14,Lobby 24,Round_1
9.0,LF,13,Lobby 24,Round_1
10.0,Dunk Squad,12,Lobby 24,Round_1
11.0,ShadowPunisherMx,11,Lobby 24,Round_1
12.0,Bounty Hunters,6,Lobby 24,Round_1
13.0,Foreign Deity,6,Lobby 24,Round_1
14.0,Dream Catcherz,3,Lobby 24,Round_1
15.0,Anime Tibbiez,1,Lobby 24,Round_1
1.0,BOT,109,Lobby 25,Round_1
2.0,Shady Kings,47,Lobby 25,Round_1
3.0,ATRX,31,Lobby 25,Round_1
4.0,Team_Supr3me,28,Lobby 25,Round_1
5.0,Hold The Door,28,Lobby 25,Round_1
6.0,NoGiveupGaming,27,Lobby 25,Round_1
7.0,Dark Matter,16,Lobby 25,Round_1
8.0,Anfield,14,Lobby 25,Round_1
9.0,RISK,13,Lobby 25,Round_1
10.0,Filii Martis,13,Lobby 25,Round_1
11.0,Unicorn Guild,11,Lobby 25,Round_1
12.0,1k,10,Lobby 25,Round_1
13.0,Battle Axe GG,8,Lobby 25,Round_1
14.0,Dastardly Sharks,7,Lobby 25,Round_1
15.0,VermillionKnights,0,Lobby 25,Round_1
1.0,2B1C,87,Lobby 26,Round_1
2.0,pub stars,68,Lobby 26,Round_1
3.0,WASH,39,Lobby 26,Round_1
4.0,LNT,31,Lobby 26,Round_1
5.0,Yess,29,Lobby 26,Round_1
6.0,Tater,20,Lobby 26,Round_1
7.0,TheCerealKillers,16,Lobby 26,Round_1
