C vs D StandingsPlacements and killsPoints,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby
,G8S,19,2,6,17,0,9,0,14,0,20,0,12,0,Round 12
,LAG,18,20,0,6,3,10,4,20,0,11,2,10,1,Round 12
,ENG,16,10,0,19,0,13,1,8,3,10,1,9,2,Round 12
,SYTH,16,17,0,14,0,11,0,5,2,4,0,6,0,Round 12
,FCD,14,7,1,10,0,16,2,10,3,15,0,20,0,Round 12
,BKMN,7,15,0,18,0,12,0,17,0,17,0,13,4,Round 12
,D4RK,5,12,0,20,2,18,0,15,1,16,0,17,0,Round 12
,BKGK,72,14,3,6,3,1,10,1,11,16,3,2,5,Round 1
,V3,66,12,4,11,3,16,3,10,8,1,12,1,8,Round 1
,RIG-N,58,2,6,2,13,14,3,14,0,6,2,3,4,Round 1
,FCD,53,17,0,1,13,4,10,18,3,19,0,5,6,Round 1
,D4RK,42,1,10,8,3,20,0,3,6,12,0,15,0,Round 1
,RPG,41,16,0,4,1,7,3,5,5,2,2,11,8,Round 1
,SG,40,3,4,3,0,2,5,9,0,8,1,8,1,Round 1
,GTS,35,19,0,9,2,3,4,15,0,7,10,10,4,Round 1
,LAG,33,11,1,7,6,6,3,19,0,3,2,6,4,Round 1
,TW,27,6,6,13,0,5,2,4,3,11,2,20,0,Round 1
,HE,26,4,3,5,3,13,0,7,3,18,0,9,2,Round 1
,ORF,23,7,1,15,0,12,0,12,3,5,5,12,3,Round 1
,RC,22,5,6,15,0,17,1,11,5,17,3,18,1,Round 1
,FL,22,20,0,17,3,15,1,16,2,10,4,4,4,Round 1
,LDN,22,8,6,10,3,9,1,13,0,14,0,7,1,Round 1
,G8S,19,15,3,12,3,18,1,20,2,9,3,16,3,Round 1
,AVA,17,9,0,18,0,19,3,17,0,4,5,14,1,Round 1
,SYTH,17,18,0,19,0,10,0,2,3,13,0,17,2,Round 1
,Ace1,16,10,3,20,0,11,3,6,4,20,0,19,0,Round 1
,NTH,11,13,0,16,0,8,0,8,2,15,1,13,1,Round 1
,CR,70,2,6,2,12,12,4,11,0,18,0,1,16,Round 2
,Flora,55,3,10,15,0,9,10,2,10,14,0,11,4,Round 2
,456,53,4,3,1,10,5,2,9,0,4,3,6,4,Round 2
,UNI,50,12,1,6,3,4,9,6,3,1,10,20,0,Round 2
,APXRS,44,17,0,3,13,3,2,14,0,10,6,9,4,Round 2
,FAV,44,6,3,14,2,1,5,3,6,9,2,13,0,Round 2
