Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby,Round,Unnamed: 0,P.4,K.4,P.5,K.5,PQL
13.0,Explosion,14,6,6,14,2,14,0,11,0,Lobby 5,Round_2,,,,,,Preseason_Qualifier_1
14.0,Nooobix,12,19,0,16,3,8,5,15,1,Lobby 5,Round_2,,,,,,Preseason_Qualifier_1
15.0,ThatsaYouProblem,11,15,3,15,1,17,0,9,3,Lobby 5,Round_2,,,,,,Preseason_Qualifier_1
16.0,SPL,11,7,2,17,0,10,1,14,2,Lobby 5,Round_2,,,,,,Preseason_Qualifier_1
17.0,GOD,10,11,1,13,3,13,0,16,3,Lobby 5,Round_2,,,,,,Preseason_Qualifier_1
18.0,Exiled,0,16,0,20,0,20,0,20,0,Lobby 5,Round_2,,,,,,Preseason_Qualifier_1
19.0,SUETA,0,18,0,18,0,20,0,20,0,Lobby 5,Round_2,,,,,,Preseason_Qualifier_1
20.0,fifth grader,0,20,0,20,0,20,0,20,0,Lobby 5,Round_2,,,,,,Preseason_Qualifier_1
1.0,DI,64,11,6,3,11,2,10,3,13,Lobby 6,Round_2,,,,,,Preseason_Qualifier_1
2.0,69IQ,50,1,17,13,4,7,7,8,4,Lobby 6,Round_2,,,,,,Preseason_Qualifier_1
3.0,uwuowoboys,42,6,0,1,9,4,5,4,3,Lobby 6,Round_2,,,,,,Preseason_Qualifier_1
4.0,TREX,40,19,0,7,6,3,5,1,7,Lobby 6,Round_2,,,,,,Preseason_Qualifier_1
5.0,ATK,33,8,2,2,9,5,4,13,2,Lobby 6,Round_2,,,,,,Preseason_Qualifier_1
6.0,TURKs,30,4,7,15,2,15,3,2,2,Lobby 6,Round_2,,,,,,Preseason_Qualifier_1
7.0,NoWay XBox,30,10,0,10,0,1,8,7,3,Lobby 6,Round_2,,,,,,Preseason_Qualifier_1
8.0,Aspirateur,29,2,9,17,0,9,2,10,5,Lobby 6,Round_2,,,,,,Preseason_Qualifier_1
9.0,NurzethexStyleS,18,3,9,18,1,16,0,15,0,Lobby 6,Round_2,,,,,,Preseason_Qualifier_1
10.0,Lunar,18,5,3,9,0,12,0,5,4,Lobby 6,Round_2,,,,,,Preseason_Qualifier_1
11.0,Tweetlonger,17,12,1,11,5,11,2,6,3,Lobby 6,Round_2,,,,,,Preseason_Qualifier_1
12.0,HNY,14,9,0,4,2,6,1,11,0,Lobby 6,Round_2,,,,,,Preseason_Qualifier_1
13.0,Illuminary FTW,13,7,2,5,0,13,0,9,1,Lobby 6,Round_2,,,,,,Preseason_Qualifier_1
14.0,HLDC,9,16,2,8,0,10,3,16,0,Lobby 6,Round_2,,,,,,Preseason_Qualifier_1
15.0,Peak Performerz,6,17,0,14,2,8,1,17,0,Lobby 6,Round_2,,,,,,Preseason_Qualifier_1
16.0,LPm,6,13,0,12,0,14,0,12,2,Lobby 6,Round_2,,,,,,Preseason_Qualifier_1
17.0,Carnage,6,15,0,6,1,17,0,14,0,Lobby 6,Round_2,,,,,,Preseason_Qualifier_1
18.0,TRIADA,1,14,0,20,0,20,0,20,0,Lobby 6,Round_2,,,,,,Preseason_Qualifier_1
19.0,BlueCheeseGaming,0,18,0,16,0,20,0,20,0,Lobby 6,Round_2,,,,,,Preseason_Qualifier_1
20.0,TRS Clan,0,20,0,20,0,20,0,20,0,Lobby 6,Round_2,,,,,,Preseason_Qualifier_1
1.0,Sheriffs,72,5,6,1,17,12,6,1,14,Lobby 7,Round_2,,,,,,Preseason_Qualifier_1
2.0,Team Volpid,62,3,14,2,7,2,7,4,4,Lobby 7,Round_2,,,,,,Preseason_Qualifier_1
3.0,RD,43,1,7,15,2,9,11,13,7,Lobby 7,Round_2,,,,,,Preseason_Qualifier_1
4.0,signelunaire,28,7,0,3,6,10,4,6,3,Lobby 7,Round_2,,,,,,Preseason_Qualifier_1
5.0,Enoughandmore,27,8,1,6,0,1,8,11,0,Lobby 7,Round_2,,,,,,Preseason_Qualifier_1
6.0,Kvasna,25,17,1,11,1,11,3,2,9,Lobby 7,Round_2,,,,,,Preseason_Qualifier_1
7.0,Nuclear Apes,23,4,1,4,1,5,4,9,1,Lobby 7,Round_2,,,,,,Preseason_Qualifier_1
8.0,BOOBA,22,11,4,5,2,6,1,5,3,Lobby 7,Round_2,,,,,,Preseason_Qualifier_1
9.0,NIBL,21,2,6,14,0,13,0,10,2,Lobby 7,Round_2,,,,,,Preseason_Qualifier_1
10.0,JIGSAW,19,15,0,7,6,14,0,3,1,Lobby 7,Round_2,,,,,,Preseason_Qualifier_1
11.0,T3W,17,13,0,8,4,4,3,8,0,Lobby 7,Round_2,,,,,,Preseason_Qualifier_1
12.0,MF,15,19,1,13,0,7,0,7,7,Lobby 7,Round_2,,,,,,Preseason_Qualifier_1
13.0,Vain,10,12,2,10,1,8,1,14,0,Lobby 7,Round_2,,,,,,Preseason_Qualifier_1
14.0,FaTuttoilPad,10,14,0,17,0,3,1,12,0,Lobby 7,Round_2,,,,,,Preseason_Qualifier_1
15.0,NXB,7,6,4,16,0,18,0,17,0,Lobby 7,Round_2,,,,,,Preseason_Qualifier_1
16.0,Siliciler,7,9,3,18,0,15,0,15,0,Lobby 7,Round_2,,,,,,Preseason_Qualifier_1
17.0,FIRE CLAN,5,18,0,9,3,16,0,18,0,Lobby 7,Round_2,,,,,,Preseason_Qualifier_1
18.0,Lagom,3,10,0,12,0,17,0,16,0,Lobby 7,Round_2,,,,,,Preseason_Qualifier_1
19.0,Wellenförmig™,0,16,0,20,0,20,0,20,0,Lobby 7,Round_2,,,,,,Preseason_Qualifier_1
20.0,Vagabonds,0,20,0,20,0,20,0,20,0,Lobby 7,Round_2,,,,,,Preseason_Qualifier_1
1.0,Undertaker,62,2,13,1,7,8,6,3,6,Lobby 8,Round_2,,,,,,Preseason_Qualifier_1
2.0,CLN,52,6,9,9,11,4,6,6,13,Lobby 8,Round_2,,,,,,Preseason_Qualifier_1
3.0,3 Jabronies,37,3,3,6,2,1,8,13,1,Lobby 8,Round_2,,,,,,Preseason_Qualifier_1
4.0,NMS,34,1,6,10,4,11,5,11,3,Lobby 8,Round_2,,,,,,Preseason_Qualifier_1
5.0,Monkey Milkers,27,10,0,3,5,9,6,7,2,Lobby 8,Round_2,,,,,,Preseason_Qualifier_1
6.0,Bacalhau,27,11,0,13,0,5,3,1,6,Lobby 8,Round_2,,,,,,Preseason_Qualifier_1
7.0,SPPI,26,14,0,16,0,2,3,2,4,Lobby 8,Round_2,,,,,,Preseason_Qualifier_1
8.0,HKE,23,4,4,17,1,13,0,5,8,Lobby 8,Round_2,,,,,,Preseason_Qualifier_1
9.0,OG,19,15,2,11,0,10,6,4,2,Lobby 8,Round_2,,,,,,Preseason_Qualifier_1
