Standings,Team.1,Total,Lobby
19.0,GPS,0,Lobby 6
20.0,BrownieBoys,0,Lobby 6
1.0,BP,81,Lobby 7
2.0,Dexterous,55,Lobby 7
3.0,TRP,49,Lobby 7
4.0,Vandals,42,Lobby 7
5.0,Pickles,40,Lobby 7
6.0,TGJ,30,Lobby 7
7.0,Passivaggressive,18,Lobby 7
8.0,zyn,16,Lobby 7
9.0,TiTanes Cronos,15,Lobby 7
10.0,Nest,11,Lobby 7
11.0,GBK DK’s,10,Lobby 7
12.0,MT Heads,10,Lobby 7
13.0,Bandits,9,Lobby 7
14.0,TexasRatsnakes,9,Lobby 7
15.0,TropicAlone 🍍,6,Lobby 7
16.0,Possibility,5,Lobby 7
17.0,Stars Raws,4,Lobby 7
18.0,GIBRAWLERS,2,Lobby 7
19.0,Whoms'tve Thiccs,0,Lobby 7
20.0,Abbys Sports,0,Lobby 7
1.0,YouLikeThatMate?,108,Lobby 8
2.0,4Fun,47,Lobby 8
3.0,"You stay, I go",44,Lobby 8
4.0,BBJ,38,Lobby 8
5.0,ASE,32,Lobby 8
6.0,LMX,29,Lobby 8
7.0,LuxuryRose,22,Lobby 8
8.0,CatDog,22,Lobby 8
9.0,JustSomeWarriors,18,Lobby 8
10.0,oni,17,Lobby 8
11.0,Unlucky Players,14,Lobby 8
12.0,Buck Town Squad,9,Lobby 8
13.0,InevitableGaming,7,Lobby 8
14.0,H4GAMING,7,Lobby 8
15.0,Mexican Demons,6,Lobby 8
16.0,The Stinkies,6,Lobby 8
17.0,Anger Of Nubs,5,Lobby 8
18.0,Eleventh Squad,4,Lobby 8
19.0,Hardstuck Plat,2,Lobby 8
20.0,All The Smoke,0,Lobby 8
1.0,MOAN,84,Lobby 9
2.0,Aisle 5,56,Lobby 9
3.0,ZERO,41,Lobby 9
4.0,BQB,40,Lobby 9
5.0,NightMare Red,35,Lobby 9
6.0,Coconut Island,31,Lobby 9
7.0,Lorax,25,Lobby 9
8.0,Exoterran Y,21,Lobby 9
9.0,Savage Misfits,17,Lobby 9
10.0,Alliance Esports,16,Lobby 9
11.0,Razer 3dge Black,10,Lobby 9
12.0,AEG Esports,10,Lobby 9
13.0,Vertic,10,Lobby 9
14.0,L1FT,10,Lobby 9
15.0,OnTheRocks,9,Lobby 9
16.0,Swagnificent,9,Lobby 9
17.0,Deathbox Hunters,7,Lobby 9
18.0,Audio Visual,6,Lobby 9
19.0,Sokudo Plus,5,Lobby 9
20.0,Koatl esports,3,Lobby 9
