C vs D StandingsPlacements and killsPoints,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby,B vs D StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,Split
,RCO,50,2,6,9,0,1,11,9,1,5,1,8,0,Round 11,5.0,,,,,Split_1
,SEN,48,20,0,12,2,6,4,11,3,2,8,2,8,Round 11,6.0,,,,,Split_1
,E8,37,13,3,4,5,3,1,14,0,3,4,6,0,Round 11,7.0,,,,,Split_1
,NRG,35,16,2,17,1,14,3,19,0,4,8,3,8,Round 11,8.0,,,,,Split_1
,OXG,34,8,3,3,9,17,2,4,2,15,2,11,0,Round 11,9.0,,,,,Split_1
,SAF,26,19,0,18,0,9,3,8,10,19,0,4,4,Round 11,10.0,,,,,Split_1
,LMK,25,17,0,11,2,2,6,7,1,18,0,10,1,Round 11,11.0,,,,,Split_1
,UNL,25,3,1,6,6,11,0,5,2,16,0,15,0,Round 11,12.0,,,,,Split_1
,TOR,23,7,3,5,2,7,5,18,0,14,0,17,2,Round 11,13.0,,,,,Split_1
,CLT,23,14,0,10,0,13,1,2,3,9,4,18,0,Round 11,14.0,,,,,Split_1
,AGG,20,9,4,20,0,18,0,6,4,8,3,19,2,Round 11,15.0,,,,,Split_1
,GHOST,18,11,0,13,1,15,0,15,0,7,2,13,7,Round 11,16.0,,,,,Split_1
,AP,18,6,5,15,1,10,0,20,0,12,3,9,0,Round 11,17.0,,,,,Split_1
,DXT,13,18,0,14,0,12,6,16,0,13,0,12,3,Round 11,18.0,,,,,Split_1
,COL,11,15,0,19,0,19,0,13,0,11,7,14,0,Round 11,19.0,,,,,Split_1
,TDG,6,12,1,8,2,20,0,17,0,20,0,20,0,Round 11,20.0,,,,,Split_1
,TL,82,10,3,1,7,1,9,1,11,2,5,18,0,Round 12,,1.0,,,,Split_1
,GFORCE,66,16,5,7,11,19,0,2,10,3,16,9,3,Round 12,,2.0,,,,Split_1
,FUR,52,9,6,2,4,5,5,16,3,12,3,2,6,Round 12,,3.0,,,,Split_1
,ESA,47,2,0,8,4,12,3,9,0,20,1,1,13,Round 12,,4.0,,,,Split_1
,C9,45,18,0,9,0,7,2,10,3,1,9,3,5,Round 12,,5.0,,,,Split_1
,100T,39,3,12,12,3,8,0,5,1,4,3,20,1,Round 12,,6.0,,,,Split_1
,XSET,36,1,10,17,0,17,1,11,5,17,0,14,6,Round 12,,7.0,,,,Split_1
,TSM,36,4,4,4,0,4,2,8,3,5,0,8,4,Round 12,,8.0,,,,Split_1
,LZR,34,5,4,13,4,14,1,3,5,13,1,7,2,Round 12,,9.0,,,,Split_1
,BBG,32,13,0,18,3,9,4,6,5,8,5,6,4,Round 12,,10.0,,,,Split_1
,RNG,28,20,0,3,8,13,7,13,0,6,1,19,0,Round 12,,11.0,,,,Split_1
,OA,27,19,3,11,0,3,5,19,0,14,0,5,6,Round 12,,12.0,,,,Split_1
,BP,26,8,2,6,5,2,4,17,0,11,0,17,0,Round 12,,13.0,,,,Split_1
,NM,25,7,2,5,5,15,4,14,0,18,3,10,0,Round 12,,14.0,,,,Split_1
,G2,22,11,3,10,2,16,0,12,0,15,3,4,4,Round 12,,15.0,,,,Split_1
,LVG,17,12,1,14,0,11,0,4,5,9,0,12,0,Round 12,,16.0,,,,Split_1
,CLX,16,6,0,15,0,6,1,7,5,16,0,16,0,Round 12,,17.0,,,,Split_1
,BAD,12,14,0,19,0,10,3,15,0,19,0,11,4,Round 12,,18.0,,,,Split_1
,CAS,10,17,1,16,0,18,0,18,0,10,6,13,0,Round 12,,19.0,,,,Split_1
,WASH,6,15,0,20,0,20,0,20,0,7,1,15,0,Round 12,,20.0,,,,Split_1
,ESA,123,6,4,1,9,1,16,1,18,1,8,3,10,Round 1,,,1.0,,,Split_1
,100T,64,4,1,2,9,11,0,17,2,2,13,5,11,Round 1,,,2.0,,,Split_1
,CLG,44,2,9,3,4,7,4,13,2,17,0,7,2,Round 1,,,3.0,,,Split_1
,TL,43,12,0,6,4,4,4,18,0,19,0,1,14,Round 1,,,4.0,,,Split_1
,C9,38,1,11,17,3,19,0,4,4,15,0,14,1,Round 1,,,5.0,,,Split_1
,GHOST,36,14,4,10,0,20,0,3,8,12,3,4,5,Round 1,,,6.0,,,Split_1
,CLT,34,10,2,15,0,2,4,7,1,9,3,6,4,Round 1,,,7.0,,,Split_1
,NRG,34,18,0,13,3,5,0,9,3,4,5,2,2,Round 1,,,8.0,,,Split_1
,FUR,30,13,1,8,10,9,4,10,1,7,4,18,0,Round 1,,,9.0,,,Split_1
,BBG,30,7,4,5,4,3,4,19,1,20,2,17,1,Round 1,,,10.0,,,Split_1
,CAS,27,8,5,7,3,18,0,2,3,18,0,10,0,Round 1,,,11.0,,,Split_1
,AP,25,3,6,16,0,6,6,20,0,16,0,12,2,Round 1,,,12.0,,,Split_1
,SCRY,21,20,0,18,0,8,8,8,2,8,4,16,1,Round 1,,,13.0,,,Split_1
,LVG,20,11,0,14,0,12,1,12,4,5,7,20,0,Round 1,,,14.0,,,Split_1
,OXG,18,15,0,19,0,15,3,6,4,14,2,8,1,Round 1,,,15.0,,,Split_1
,RCO,18,5,1,20,0,13,0,11,0,3,3,11,0,Round 1,,,16.0,,,Split_1
,LMK,17,17,2,4,3,16,0,5,0,13,1,15,0,Round 1,,,17.0,,,Split_1
,DY,13,19,1,12,0,10,2,14,1,11,0,9,2,Round 1,,,18.0,,,Split_1
,OA,13,16,0,9,2,14,0,15,3,6,1,19,0,Round 1,,,19.0,,,Split_1
,GFORCE,12,9,0,11,3,17,0,16,0,10,2,13,1,Round 1,,,20.0,,,Split_1
,G2,68,5,7,11,1,5,2,1,16,9,5,3,7,Round 2,,,,1.0,,Split_1
,TSM,58,3,7,9,5,4,10,3,2,10,1,7,7,Round 2,,,,2.0,,Split_1
,SEN,55,4,5,12,3,16,2,5,6,1,10,5,3,Round 2,,,,3.0,,Split_1
,DXT,53,9,3,17,0,1,11,6,0,16,1,2,12,Round 2,,,,4.0,,Split_1
,AGG,50,2,10,6,1,3,5,2,3,12,1,16,1,Round 2,,,,5.0,,Split_1
,XSET,42,15,4,19,0,18,0,16,6,5,8,1,7,Round 2,,,,6.0,,Split_1
,SSG,42,1,9,20,0,7,0,13,5,4,3,8,2,Round 2,,,,7.0,,Split_1
,TOR,38,10,1,3,4,19,0,7,2,3,8,9,2,Round 2,,,,8.0,,Split_1
,CLX,36,6,5,4,5,6,5,15,0,6,2,13,3,Round 2,,,,9.0,,Split_1
,COL,36,19,0,7,1,2,5,18,0,2,3,10,4,Round 2,,,,10.0,,Split_1
,NM,32,17,0,1,10,11,0,10,4,17,3,17,0,Round 2,,,,11.0,,Split_1
,SAF,26,14,0,13,5,8,5,11,0,15,1,4,4,Round 2,,,,12.0,,Split_1
,BAD,24,8,0,16,3,9,4,4,5,8,0,11,0,Round 2,,,,13.0,,Split_1
,TDG,22,12,0,2,3,14,1,9,3,13,1,20,0,Round 2,,,,14.0,,Split_1
,E8,20,20,0,15,1,15,1,8,3,7,7,14,0,Round 2,,,,15.0,,Split_1
,BP,20,13,0,5,7,13,0,14,1,20,0,6,2,Round 2,,,,16.0,,Split_1
,RNG,12,7,3,14,1,17,0,20,0,14,2,19,1,Round 2,,,,17.0,,Split_1
,UNL,11,11,0,18,0,12,2,17,1,11,2,12,2,Round 2,,,,18.0,,Split_1
,LZR,11,18,1,10,1,10,3,12,0,19,0,15,0,Round 2,,,,19.0,,Split_1
,WASH,8,16,1,8,5,20,0,19,0,18,0,18,0,Round 2,,,,20.0,,Split_1
,NRG,82,13,2,7,5,1,17,1,19,7,8,17,0,Round 3,,,,,1.0,Split_1
,TSM,75,5,2,1,11,7,6,3,7,4,2,3,9,Round 3,,,,,2.0,Split_1
,AP,63,18,0,3,6,2,6,2,9,11,3,2,4,Round 3,,,,,3.0,Split_1
,CLG,58,1,18,8,7,12,2,5,3,9,6,14,0,Round 3,,,,,4.0,Split_1
,DY,40,2,8,15,0,10,1,14,0,2,3,7,3,Round 3,,,,,5.0,Split_1
,LZR,33,6,0,4,2,19,0,4,3,3,6,8,0,Round 3,,,,,6.0,Split_1
,RCO,32,15,1,11,0,11,1,8,2,1,10,13,0,Round 3,,,,,7.0,Split_1
,XSET,30,20,0,14,3,13,1,10,7,6,9,10,1,Round 3,,,,,8.0,Split_1
,G2,30,9,5,9,4,17,2,13,0,18,0,4,9,Round 3,,,,,9.0,Split_1
,NM,28,16,0,12,2,20,0,11,1,14,1,1,9,Round 3,,,,,10.0,Split_1
,SCRY,26,19,0,10,0,8,6,15,0,12,3,9,9,Round 3,,,,,11.0,Split_1
,OXG,26,4,3,5,4,4,2,18,0,17,0,19,3,Round 3,,,,,12.0,Split_1
,LMK,26,11,0,2,5,5,0,7,3,20,0,15,0,Round 3,,,,,13.0,Split_1
,GHOST,23,14,2,16,1,3,5,16,0,19,1,6,3,Round 3,,,,,14.0,Split_1
,CLX,22,10,0,6,8,15,0,12,4,15,0,11,1,Round 3,,,,,15.0,Split_1
,RNG,20,7,6,18,1,14,3,6,1,10,0,18,0,Round 3,,,,,16.0,Split_1
,CLT,20,3,4,20,0,16,0,9,0,5,3,20,0,Round 3,,,,,17.0,Split_1
,BP,17,17,0,13,0,9,3,19,0,13,3,5,3,Round 3,,,,,18.0,Split_1
,BAD,14,8,2,17,2,18,3,17,0,8,1,12,1,Round 3,,,,,19.0,Split_1
,WASH,8,12,0,19,1,6,1,20,0,16,1,16,1,Round 3,,,,,20.0,Split_1
1.0,ESA,73,15,3,1,10,19,3,1,11,7,11,7,4,Round 4,,,,,,Split_1
2.0,100T,62,7,1,12,1,2,8,11,1,1,10,2,6,Round 4,,,,,,Split_1
3.0,C9,54,2,12,6,4,20,0,8,5,5,9,8,4,Round 4,,,,,,Split_1
4.0,CAS,52,1,5,16,0,17,0,2,11,14,1,3,6,Round 4,,,,,,Split_1
5.0,COL,49,9,5,7,0,6,5,3,3,13,0,1,8,Round 4,,,,,,Split_1
6.0,UNL,39,5,3,2,1,10,0,6,3,2,3,9,0,Round 4,,,,,,Split_1
7.0,SSG,33,10,4,17,5,14,6,19,0,10,2,5,7,Round 4,,,,,,Split_1
8.0,OA,33,8,1,20,0,1,8,10,3,8,2,20,1,Round 4,,,,,,Split_1
9.0,TL,30,4,3,14,2,9,2,15,3,15,0,4,5,Round 4,,,,,,Split_1
10.0,TOR,29,13,1,18,0,3,1,7,2,3,7,19,0,Round 4,,,,,,Split_1
11.0,BBG,28,20,0,4,8,15,0,4,8,19,0,13,0,Round 4,,,,,,Split_1
12.0,FUR,28,3,5,15,0,12,1,20,0,9,2,6,6,Round 4,,,,,,Split_1
13.0,AGG,23,6,6,8,2,8,3,13,0,12,3,16,0,Round 4,,,,,,Split_1
14.0,GFORCE,23,17,0,9,0,7,6,9,3,6,1,18,3,Round 4,,,,,,Split_1
15.0,LVG,22,16,0,3,7,11,4,12,1,17,0,14,0,Round 4,,,,,,Split_1
16.0,SEN,21,19,1,19,3,4,4,5,3,16,0,17,1,Round 4,,,,,,Split_1
17.0,TDG,20,18,0,11,7,16,0,18,0,4,6,12,0,Round 4,,,,,,Split_1
18.0,DXT,16,12,2,13,0,5,2,16,0,20,0,10,4,Round 4,,,,,,Split_1
19.0,E8,15,11,0,5,3,13,2,17,0,11,1,11,1,Round 4,,,,,,Split_1
20.0,SAF,14,14,3,10,4,18,0,14,0,18,1,15,1,Round 4,,,,,,Split_1
,NRG,86,4,11,8,5,1,10,1,11,2,8,12,0,Round 5,1.0,,,,,Split_1
,DY,72,7,0,10,7,10,3,3,7,1,9,1,8,Round 5,2.0,,,,,Split_1
,SEN,67,8,5,2,12,8,1,2,10,3,10,17,0,Round 5,3.0,,,,,Split_1
,SSG,56,3,7,7,0,3,9,9,4,10,3,3,5,Round 5,4.0,,,,,Split_1
,UNL,40,1,9,17,0,6,7,4,4,20,0,20,0,Round 5,5.0,,,,,Split_1
,SCRY,35,18,0,3,13,4,5,17,3,12,1,18,0,Round 5,6.0,,,,,Split_1
,TOR,31,16,0,6,1,16,6,5,4,13,4,6,5,Round 5,7.0,,,,,Split_1
,DXT,31,10,2,9,3,5,1,14,5,11,0,4,5,Round 5,8.0,,,,,Split_1
,COL,31,2,4,4,4,12,1,13,1,19,0,7,2,Round 5,9.0,,,,,Split_1
,RCO,31,11,5,5,0,2,2,11,1,9,0,5,2,Round 5,10.0,,,,,Split_1
,SAF,29,19,0,20,0,20,0,16,0,5,4,2,12,Round 5,11.0,,,,,Split_1
,CLG,28,5,4,18,0,14,1,6,1,4,6,9,1,Round 5,12.0,,,,,Split_1
,E8,24,17,0,1,6,17,0,8,2,15,0,13,0,Round 5,13.0,,,,,Split_1
,AGG,20,13,3,19,0,7,5,10,0,8,0,11,3,Round 5,14.0,,,,,Split_1
,CLT,20,6,3,16,0,9,0,7,1,7,2,15,2,Round 5,15.0,,,,,Split_1
,OXG,17,20,0,13,1,19,0,20,1,6,4,8,5,Round 5,16.0,,,,,Split_1
,TDG,17,15,2,14,0,15,2,15,0,16,3,10,4,Round 5,17.0,,,,,Split_1
,LMK,12,14,2,11,3,13,0,12,1,17,0,14,1,Round 5,18.0,,,,,Split_1
,AP,8,9,0,15,1,11,1,19,0,14,1,19,0,Round 5,19.0,,,,,Split_1
,GHOST,5,12,0,12,2,18,1,18,0,18,0,16,0,Round 5,20.0,,,,,Split_1
,C9,69,18,0,14,0,1,9,12,3,1,9,2,13,Round 6,,1.0,,,,Split_1
,G2,60,2,6,2,8,11,0,5,2,5,1,1,4,Round 6,,2.0,,,,Split_1
,ESA,50,6,9,4,5,8,3,13,7,8,3,7,7,Round 6,,3.0,,,,Split_1
,100T,50,5,7,7,4,2,4,9,2,4,7,12,2,Round 6,,4.0,,,,Split_1
,RNG,48,9,0,10,3,3,12,10,1,3,8,8,2,Round 6,,5.0,,,,Split_1
,TL,45,4,0,3,7,17,0,3,9,14,5,9,2,Round 6,,6.0,,,,Split_1
,TSM,45,8,2,6,1,5,4,2,9,6,7,11,0,Round 6,,7.0,,,,Split_1
,NM,35,10,3,1,8,15,4,15,0,13,3,20,0,Round 6,,8.0,,,,Split_1
,XSET,34,12,0,11,1,6,3,1,11,11,1,17,0,Round 6,,9.0,,,,Split_1
,BAD,29,1,9,20,0,14,5,16,0,15,0,14,0,Round 6,,10.0,,,,Split_1
,LVG,25,16,0,12,7,13,0,11,1,16,0,4,9,Round 6,,11.0,,,,Split_1
,GFORCE,24,13,4,18,3,19,0,14,3,10,0,3,3,Round 6,,12.0,,,,Split_1
,LZR,23,15,1,8,2,4,2,7,0,18,0,5,3,Round 6,,13.0,,,,Split_1
,CLX,21,14,5,17,0,10,1,20,0,19,3,6,6,Round 6,,14.0,,,,Split_1
,BP,21,17,3,9,0,18,0,18,0,2,4,10,1,Round 6,,15.0,,,,Split_1
,CAS,20,7,5,13,3,16,3,19,0,9,0,18,3,Round 6,,16.0,,,,Split_1
,BBG,19,19,0,5,3,7,2,8,4,20,0,19,1,Round 6,,17.0,,,,Split_1
,FUR,19,3,2,16,1,12,0,6,4,17,0,13,0,Round 6,,18.0,,,,Split_1
,OA,14,11,0,19,1,9,1,4,3,12,0,16,0,Round 6,,19.0,,,,Split_1
,WASH,10,20,0,15,0,20,0,17,0,7,5,15,0,Round 6,,20.0,,,,Split_1
,NRG,76,15,5,4,2,3,9,5,8,3,5,1,11,Round 7,,,1.0,,,Split_1
,ESA,60,6,2,12,1,6,5,1,9,1,9,17,3,Round 7,,,2.0,,,Split_1
,C9,56,10,3,2,4,18,0,2,8,4,9,11,6,Round 7,,,3.0,,,Split_1
,100T,54,11,2,1,12,4,3,8,1,2,6,14,0,Round 7,,,4.0,,,Split_1
,DY,51,2,0,9,1,2,12,17,1,16,3,2,5,Round 7,,,5.0,,,Split_1
,TL,48,8,6,10,1,7,5,3,7,15,2,5,8,Round 7,,,6.0,,,Split_1
,OXG,46,1,11,7,7,11,1,10,3,8,3,15,0,Round 7,,,7.0,,,Split_1
,RCO,42,18,3,3,1,1,6,7,1,14,2,8,4,Round 7,,,8.0,,,Split_1
,CLG,35,3,4,19,0,13,2,4,1,5,6,4,0,Round 7,,,9.0,,,Split_1
,SCRY,28,17,0,11,4,8,7,14,1,19,0,6,9,Round 7,,,10.0,,,Split_1
,GFORCE,22,20,0,8,2,19,1,9,5,9,6,12,1,Round 7,,,11.0,,,Split_1
,GHOST,20,12,1,13,3,16,0,6,4,7,2,10,0,Round 7,,,12.0,,,Split_1
,LMK,20,5,4,5,6,12,0,20,0,18,0,13,0,Round 7,,,13.0,,,Split_1
,CLT,18,16,0,16,0,5,0,15,0,13,0,3,5,Round 7,,,14.0,,,Split_1
,FUR,17,19,0,6,4,9,2,11,0,10,0,9,1,Round 7,,,15.0,,,Split_1
,LVG,16,4,3,14,2,17,0,12,3,17,1,19,0,Round 7,,,16.0,,,Split_1
,AP,15,14,0,17,2,10,3,16,0,11,0,7,3,Round 7,,,17.0,,,Split_1
,CAS,13,9,2,15,0,14,2,18,1,6,0,16,1,Round 7,,,18.0,,,Split_1
,OA,12,7,3,18,1,15,0,13,0,12,2,20,0,Round 7,,,19.0,,,Split_1
,BBG,5,13,4,20,0,20,0,19,0,20,0,18,0,Round 7,,,20.0,,,Split_1
,SSG,85,2,11,14,0,1,12,2,9,1,9,14,0,Round 8,,,,1.0,,Split_1
,G2,70,1,12,15,0,4,8,11,6,16,0,1,13,Round 8,,,,2.0,,Split_1
,SEN,50,16,1,3,10,19,0,1,7,5,1,3,1,Round 8,,,,3.0,,Split_1
,TSM,40,14,0,6,16,14,3,4,7,9,2,16,0,Round 8,,,,4.0,,Split_1
,TOR,40,6,3,19,0,8,0,8,2,6,6,2,10,Round 8,,,,5.0,,Split_1
,COL,40,5,3,17,0,3,6,6,3,4,5,12,3,Round 8,,,,6.0,,Split_1
,E8,40,9,0,1,10,7,6,15,0,18,3,10,1,Round 8,,,,7.0,,Split_1
,BAD,40,11,3,2,2,2,9,9,4,15,0,18,0,Round 8,,,,8.0,,Split_1
,RNG,37,3,7,8,2,16,3,18,1,11,7,5,3,Round 8,,,,9.0,,Split_1
,BP,30,20,0,11,3,6,2,10,0,2,1,4,4,Round 8,,,,10.0,,Split_1
,TDG,29,7,4,18,3,15,1,7,4,10,3,6,2,Round 8,,,,11.0,,Split_1
,UNL,27,8,0,16,0,5,2,3,7,12,0,8,2,Round 8,,,,12.0,,Split_1
,LZR,23,18,0,12,0,10,3,12,2,8,5,11,6,Round 8,,,,13.0,,Split_1
,DXT,22,10,7,9,3,9,2,19,3,14,0,20,0,Round 8,,,,14.0,,Split_1
,XSET,22,12,0,13,0,18,1,14,1,3,5,7,2,Round 8,,,,15.0,,Split_1
,CLX,19,17,2,7,2,20,0,20,0,7,6,15,2,Round 8,,,,16.0,,Split_1
,SAF,19,4,3,4,2,12,0,17,0,19,0,17,3,Round 8,,,,17.0,,Split_1
,AGG,14,13,0,5,0,11,0,5,1,20,0,9,1,Round 8,,,,18.0,,Split_1
,NM,10,15,2,10,3,17,0,13,1,17,0,19,0,Round 8,,,,19.0,,Split_1
,WASH,5,19,0,20,0,13,0,16,1,13,0,13,1,Round 8,,,,20.0,,Split_1
,G2,82,19,0,1,15,17,1,7,4,1,12,1,11,Round 9,,,,,1.0,Split_1
,SCRY,51,15,4,18,0,5,10,13,3,2,15,6,1,Round 9,,,,,2.0,Split_1
,RCO,48,9,4,2,4,1,9,10,5,13,0,18,0,Round 9,,,,,3.0,Split_1
,BP,45,12,4,5,2,7,4,6,5,10,2,2,6,Round 9,,,,,4.0,Split_1
,LMK,45,1,10,10,3,8,2,5,0,7,0,7,4,Round 9,,,,,5.0,Split_1
,TSM,42,16,0,6,0,18,1,1,13,4,5,14,2,Round 9,,,,,6.0,Split_1
,CLG,42,3,6,17,0,15,3,2,11,5,0,12,0,Round 9,,,,,7.0,Split_1
,XSET,40,6,3,11,3,3,4,9,4,3,2,15,3,Round 9,,,,,8.0,Split_1
,NRG,36,18,1,20,0,2,7,4,3,8,1,4,3,Round 9,,,,,9.0,Split_1
,CLT,29,5,7,15,0,19,0,20,0,14,6,8,8,Round 9,,,,,10.0,Split_1
,GHOST,29,4,2,19,0,9,5,15,0,17,1,3,6,Round 9,,,,,11.0,Split_1
,LZR,28,20,0,4,11,11,1,16,0,9,5,11,2,Round 9,,,,,12.0,Split_1
,WASH,27,8,1,3,5,4,4,17,3,20,0,20,0,Round 9,,,,,13.0,Split_1
,DY,26,2,4,14,2,13,0,8,3,19,0,9,2,Round 9,,,,,14.0,Split_1
,NM,22,14,0,7,5,16,0,11,1,6,4,10,2,Round 9,,,,,15.0,Split_1
,AP,18,10,2,8,0,10,0,3,1,18,1,17,1,Round 9,,,,,16.0,Split_1
,BAD,15,13,0,9,0,12,0,14,1,12,0,5,4,Round 9,,,,,17.0,Split_1
,OXG,14,7,3,13,1,6,2,19,0,16,0,13,0,Round 9,,,,,18.0,Split_1
,RNG,10,11,1,12,3,14,1,12,0,15,0,16,0,Round 9,,,,,19.0,Split_1
,CLX,7,17,3,16,1,20,0,18,1,11,1,19,0,Round 9,,,,,20.0,Split_1
1.0,100T,75,5,4,1,17,2,7,4,6,3,4,19,0,Round 10,,,,,,Split_2
2.0,FUR,75,1,11,3,4,18,2,2,7,4,3,2,6,Round 10,,,,,,Split_2
3.0,ESA,67,20,0,6,9,10,7,11,4,1,16,5,9,Round 10,,,,,,Split_2
4.0,SSG,66,11,2,2,4,1,10,14,2,2,7,7,6,Round 10,,,,,,Split_2
5.0,COL,59,6,4,4,3,4,0,1,19,14,2,8,3,Round 10,,,,,,Split_2
6.0,TOR,47,2,8,15,0,7,1,3,5,5,5,12,3,Round 10,,,,,,Split_2
7.0,TL,45,12,2,7,2,6,5,9,0,11,3,1,11,Round 10,,,,,,Split_2
8.0,SAF,28,13,2,18,0,8,5,16,0,20,1,3,10,Round 10,,,,,,Split_2
9.0,BBG,26,15,1,5,9,16,5,5,1,18,0,13,0,Round 10,,,,,,Split_2
10.0,UNL,26,4,2,8,1,3,2,12,0,13,0,10,3,Round 10,,,,,,Split_2
11.0,C9,23,8,7,13,2,15,0,8,0,9,5,18,1,Round 10,,,,,,Split_2
12.0,AGG,21,7,4,11,1,9,0,15,3,8,1,11,2,Round 10,,,,,,Split_2
13.0,E8,21,3,4,10,0,12,0,20,0,7,2,9,0,Round 10,,,,,,Split_2
14.0,DXT,17,9,1,14,0,17,0,10,1,12,3,4,1,Round 10,,,,,,Split_2
15.0,SEN,16,14,2,19,0,11,2,7,4,16,0,17,3,Round 10,,,,,,Split_2
16.0,OA,15,19,0,17,0,5,6,13,4,17,0,20,0,Round 10,,,,,,Split_2
17.0,GFORCE,14,10,3,9,0,14,0,18,0,10,3,14,0,Round 10,,,,,,Split_2
18.0,TDG,8,16,0,12,3,20,0,19,0,6,1,16,0,Round 10,,,,,,Split_2
19.0,LVG,7,17,1,20,0,13,0,17,2,15,1,15,0,Round 10,,,,,,Split_2
20.0,CAS,7,18,0,16,0,19,0,6,0,19,0,6,1,Round 10,,,,,,Split_2
,SCRY,69,10,4,2,11,4,6,10,6,17,1,1,11,Round 11,1.0,,,,,Split_2
,SSG,64,5,3,16,0,16,0,1,16,1,11,5,2,Round 11,2.0,,,,,Split_2
,CLG,63,4,7,1,11,8,0,3,2,10,7,7,5,Round 11,3.0,,,,,Split_2
,DY,54,1,13,7,4,5,6,12,4,6,1,16,3,Round 11,4.0,,,,,Split_2
,RCO,50,2,6,9,0,1,11,9,1,5,1,8,0,Round 11,5.0,,,,,Split_2
,SEN,48,20,0,12,2,6,4,11,3,2,8,2,8,Round 11,6.0,,,,,Split_2
,E8,37,13,3,4,5,3,1,14,0,3,4,6,0,Round 11,7.0,,,,,Split_2
,NRG,35,16,2,17,1,14,3,19,0,4,8,3,8,Round 11,8.0,,,,,Split_2
,OXG,34,8,3,3,9,17,2,4,2,15,2,11,0,Round 11,9.0,,,,,Split_2
,SAF,26,19,0,18,0,9,3,8,10,19,0,4,4,Round 11,10.0,,,,,Split_2
,LMK,25,17,0,11,2,2,6,7,1,18,0,10,1,Round 11,11.0,,,,,Split_2
,UNL,25,3,1,6,6,11,0,5,2,16,0,15,0,Round 11,12.0,,,,,Split_2
,TOR,23,7,3,5,2,7,5,18,0,14,0,17,2,Round 11,13.0,,,,,Split_2
,CLT,23,14,0,10,0,13,1,2,3,9,4,18,0,Round 11,14.0,,,,,Split_2
,AGG,20,9,4,20,0,18,0,6,4,8,3,19,2,Round 11,15.0,,,,,Split_2
,GHOST,18,11,0,13,1,15,0,15,0,7,2,13,7,Round 11,16.0,,,,,Split_2
,AP,18,6,5,15,1,10,0,20,0,12,3,9,0,Round 11,17.0,,,,,Split_2
,DXT,13,18,0,14,0,12,6,16,0,13,0,12,3,Round 11,18.0,,,,,Split_2
,COL,11,15,0,19,0,19,0,13,0,11,7,14,0,Round 11,19.0,,,,,Split_2
