Standings,RL.XV,66,66.1,Lobby,GS,59,59.1,O3,79,79.1,TX,72,72.1,Round,Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5
,,,,Lobby 2,,,,,,,,,,Semifinals,15.0,AMG TW,25.0,6.0,0.0,4.0,4.0,14.0,3.0,8.0,3.0,19.0,1.0,16.0,3.0
,,,,Lobby 2,,,,,,,,,,Semifinals,16.0,HeadHunters,24.0,18.0,0.0,11.0,5.0,13.0,0.0,5.0,6.0,4.0,2.0,18.0,0.0
,,,,Lobby 2,,,,,,,,,,Semifinals,17.0,DYN,21.0,3.0,1.0,7.0,2.0,10.0,0.0,14.0,0.0,16.0,0.0,6.0,2.0
,,,,Lobby 2,,,,,,,,,,Semifinals,18.0,LittleMeow,13.0,9.0,0.0,14.0,1.0,19.0,0.0,7.0,0.0,14.0,2.0,13.0,2.0
,,,,Lobby 2,,,,,,,,,,Semifinals,19.0,Hardstuck D4,10.0,14.0,0.0,6.0,0.0,17.0,0.0,16.0,3.0,18.0,2.0,14.0,0.0
,,,,Lobby 2,,,,,,,,,,Semifinals,20.0,QE.NY,1.0,16.0,1.0,19.0,0.0,18.0,0.0,20.0,0.0,17.0,0.0,19.0,0.0
,,,,Lobby 1,,,,,,,,,,Finals,1.0,O3,67.0,6.0,4.0,6.0,9.0,13.0,6.0,11.0,3.0,1.0,8.0,3.0,10.0
,,,,Lobby 1,,,,,,,,,,Finals,2.0,TX,66.0,11.0,3.0,3.0,6.0,4.0,5.0,2.0,12.0,4.0,11.0,14.0,1.0
,,,,Lobby 1,,,,,,,,,,Finals,3.0,GS,66.0,15.0,0.0,12.0,8.0,8.0,11.0,10.0,4.0,2.0,9.0,7.0,16.0
,,,,Lobby 1,,,,,,,,,,Finals,4.0,EVO BERZ,49.0,13.0,0.0,10.0,2.0,1.0,12.0,1.0,6.0,19.0,0.0,9.0,0.0
,,,,Lobby 1,,,,,,,,,,Finals,5.0,SNG,45.0,2.0,6.0,2.0,4.0,11.0,0.0,8.0,3.0,8.0,2.0,6.0,4.0
,,,,Lobby 1,,,,,,,,,,Finals,6.0,PWLS,44.0,19.0,0.0,4.0,9.0,17.0,0.0,9.0,6.0,16.0,0.0,1.0,10.0
,,,,Lobby 1,,,,,,,,,,Finals,7.0,Estrell,41.0,1.0,11.0,11.0,0.0,15.0,1.0,6.0,0.0,3.0,5.0,19.0,0.0
,,,,Lobby 1,,,,,,,,,,Finals,8.0,RL.XV,36.0,3.0,1.0,8.0,0.0,10.0,2.0,3.0,7.0,6.0,4.0,15.0,0.0
,,,,Lobby 1,,,,,,,,,,Finals,9.0,Pavlova,33.0,4.0,2.0,1.0,4.0,9.0,0.0,13.0,2.0,14.0,0.0,11.0,3.0
,,,,Lobby 1,,,,,,,,,,Finals,10.0,INF,29.0,14.0,0.0,13.0,2.0,2.0,5.0,7.0,0.0,9.0,2.0,12.0,3.0
,,,,Lobby 1,,,,,,,,,,Finals,11.0,On the Sticks,28.0,10.0,3.0,5.0,1.0,6.0,7.0,5.0,1.0,11.0,2.0,17.0,0.0
,,,,Lobby 1,,,,,,,,,,Finals,12.0,April,26.0,17.0,3.0,7.0,2.0,5.0,3.0,15.0,0.0,5.0,3.0,13.0,2.0
,,,,Lobby 1,,,,,,,,,,Finals,13.0,WGGxPK,23.0,12.0,3.0,14.0,4.0,16.0,0.0,4.0,3.0,17.0,0.0,4.0,1.0
,,,,Lobby 1,,,,,,,,,,Finals,14.0,RL.Genesis,23.0,9.0,3.0,18.0,0.0,7.0,0.0,19.0,0.0,10.0,1.0,2.0,3.0
,,,,Lobby 1,,,,,,,,,,Finals,15.0,WGG,22.0,5.0,12.0,9.0,2.0,19.0,1.0,17.0,0.0,18.0,1.0,18.0,0.0
,,,,Lobby 1,,,,,,,,,,Finals,16.0,MBTN,18.0,16.0,0.0,17.0,0.0,3.0,4.0,18.0,0.0,15.0,3.0,16.0,3.0
,,,,Lobby 1,,,,,,,,,,Finals,17.0,Antiaa,13.0,8.0,0.0,15.0,0.0,18.0,0.0,12.0,3.0,12.0,1.0,5.0,0.0
,,,,Lobby 1,,,,,,,,,,Finals,18.0,WHIZ,11.0,18.0,0.0,16.0,0.0,14.0,0.0,14.0,2.0,7.0,2.0,8.0,0.0
,,,,Lobby 1,,,,,,,,,,Finals,19.0,PG,8.0,7.0,1.0,19.0,0.0,12.0,0.0,16.0,0.0,13.0,0.0,10.0,0.0
,,,,Lobby 1,,,,,,,,,,Finals,20.0,Dimple Esport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
