Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby,Round,PQL
1.0,USB,56,112,1414,112,88,92,0,45,33,,,,,Lobby 7,Round_1,Preseason_Qualifier_2
2.0,PiscoSour,44,29,33,63,11,29,88,54,77,,,,,Lobby 7,Round_1,Preseason_Qualifier_2
3.0,PTX,37,54,11,45,0,112,55,37,33,,,,,Lobby 7,Round_1,Preseason_Qualifier_2
4.0,SEM ORG,35,63,11,29,55,37,77,73,0,,,,,Lobby 7,Round_1,Preseason_Qualifier_2
5.0,Olympians,33,82,11,37,33,63,0,112,55,,,,,Lobby 7,Round_1,Preseason_Qualifier_2
6.0,Natural Killer,32,45,55,54,77,54,33,63,11,,,,,Lobby 7,Round_1,Preseason_Qualifier_2
7.0,zTeletubbiesTeam,27,37,0,73,0,73,0,29,55,,,,,Lobby 7,Round_1,Preseason_Qualifier_2
8.0,SussyBaka,13,92,0,82,0,45,22,92,0,,,,,Lobby 7,Round_1,Preseason_Qualifier_2
9.0,Bicentenario,10,73,0,102,11,82,0,102,0,,,,,Lobby 7,Round_1,Preseason_Qualifier_2
10.0,Dynanik Team 1,8,102,0,92,0,102,0,82,0,,,,,Lobby 7,Round_1,Preseason_Qualifier_2
11.0,Infinity Evo,0,200,0,200,0,200,0,200,0,,,,,Lobby 7,Round_1,Preseason_Qualifier_2
1.0,TK,59,111,0,112,1919,92,55,37,1313,,,,,Lobby 8,Round_1,Preseason_Qualifier_2
2.0,ZETTA,55,37,44,37,33,112,1313,45,44,,,,,Lobby 8,Round_1,Preseason_Qualifier_2
3.0,sFx,48,29,1212,73,0,54,22,112,66,,,,,Lobby 8,Round_1,Preseason_Qualifier_2
4.0,KARMA K41,29,54,11,54,44,45,55,63,33,,,,,Lobby 8,Round_1,Preseason_Qualifier_2
5.0,Os MIAU,27,45,0,29,22,82,0,29,0,,,,,Lobby 8,Round_1,Preseason_Qualifier_2
6.0,ROCKETZ TEAM,26,82,22,45,11,37,44,102,33,,,,,Lobby 8,Round_1,Preseason_Qualifier_2
7.0,Team wascka,24,112,77,92,11,111,0,111,0,,,,,Lobby 8,Round_1,Preseason_Qualifier_2
8.0,Nagga 5,18,63,11,82,0,29,0,73,0,,,,,Lobby 8,Round_1,Preseason_Qualifier_2
9.0,Thirsty For Kill,13,92,0,63,0,73,11,54,0,,,,,Lobby 8,Round_1,Preseason_Qualifier_2
10.0,1crack2crack,9,102,0,102,0,63,0,82,0,,,,,Lobby 8,Round_1,Preseason_Qualifier_2
11.0,SEQL,8,73,0,111,0,102,0,92,0,,,,,Lobby 8,Round_1,Preseason_Qualifier_2
1.0,KZN,65,1,11,2,7,2,8,4,4,,,,,Lobby 1,Quarterfinals,Preseason_Qualifier_2
2.0,SLU,45,9,1,4,7,6,3,1,12,,,,,Lobby 1,Quarterfinals,Preseason_Qualifier_2
3.0,BTH,38,16,3,6,0,1,18,12,1,,,,,Lobby 1,Quarterfinals,Preseason_Qualifier_2
4.0,AIM,32,11,5,9,3,14,3,3,10,,,,,Lobby 1,Quarterfinals,Preseason_Qualifier_2
