Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby,Round,P.4,K.4,P.5,K.5
4.0,CG,53,10,0,1,19,11,4,6,1,Lobby 2,Semifinals,14.0,6.0,11.0,3.0
5.0,NCJA,48,2,4,18,0,2,7,5,3,Lobby 2,Semifinals,3.0,3.0,10.0,0.0
6.0,Reset,39,19,0,6,3,6,4,10,4,Lobby 2,Semifinals,7.0,4.0,7.0,10.0
7.0,LPOG,38,14,0,3,5,17,3,4,5,Lobby 2,Semifinals,6.0,3.0,6.0,3.0
8.0,TOM,34,3,6,12,0,4,4,16,0,Lobby 2,Semifinals,17.0,1.0,3.0,3.0
9.0,drain,32,15,1,4,9,16,0,14,3,Lobby 2,Semifinals,10.0,2.0,5.0,4.0
10.0,VNX,32,8,0,11,1,15,4,9,0,Lobby 2,Semifinals,8.0,2.0,2.0,8.0
11.0,ORCL,31,13,3,7,3,14,0,11,2,Lobby 2,Semifinals,2.0,7.0,12.0,0.0
12.0,BFG,29,5,3,20,0,19,0,2,5,Lobby 2,Semifinals,20.0,1.0,9.0,5.0
13.0,P4C,27,4,7,13,0,7,0,15,7,Lobby 2,Semifinals,19.0,0.0,14.0,2.0
14.0,EP,18,16,0,16,1,5,9,19,0,Lobby 2,Semifinals,11.0,2.0,15.0,0.0
15.0,AMOG,17,12,3,14,1,10,0,12,8,Lobby 2,Semifinals,16.0,0.0,16.0,0.0
16.0,TNM,17,20,0,10,1,9,2,7,0,Lobby 2,Semifinals,15.0,0.0,8.0,4.0
17.0,UTFT,15,7,5,17,0,8,0,13,0,Lobby 2,Semifinals,9.0,1.0,17.0,1.0
18.0,DNMK,12,11,4,8,2,12,0,20,0,Lobby 2,Semifinals,12.0,1.0,18.0,0.0
19.0,TTD,9,18,0,15,0,13,0,8,2,Lobby 2,Semifinals,13.0,2.0,19.0,0.0
20.0,Gachi,6,9,3,19,0,20,0,17,1,Lobby 2,Semifinals,18.0,0.0,20.0,0.0
1.0,b0ts,95,9,3,19,0,1,9,3,10,Lobby 1,Finals,1.0,15.0,2.0,16.0
2.0,CG,58,3,9,2,11,12,4,17,0,Lobby 1,Finals,4.0,8.0,12.0,3.0
3.0,Ratio,51,5,4,6,3,8,3,9,0,Lobby 1,Finals,3.0,5.0,1.0,6.0
4.0,ZBW,49,6,5,4,8,2,8,19,2,Lobby 1,Finals,12.0,1.0,6.0,4.0
5.0,SNK,43,7,10,8,6,6,4,5,2,Lobby 1,Finals,9.0,2.0,9.0,3.0
6.0,drain,43,4,7,5,1,4,5,8,1,Lobby 1,Finals,19.0,0.0,3.0,6.0
7.0,XD,41,17,3,10,7,16,3,4,11,Lobby 1,Finals,8.0,6.0,10.0,0.0
8.0,TTG,40,16,0,1,8,9,1,20,1,Lobby 1,Finals,5.0,3.0,4.0,4.0
9.0,POLSKA,37,14,0,3,3,5,6,10,1,Lobby 1,Finals,10.0,5.0,7.0,3.0
10.0,SPPI,33,12,3,11,1,19,0,1,11,Lobby 1,Finals,16.0,0.0,5.0,0.0
11.0,KYKLOS,31,1,4,9,0,3,2,14,3,Lobby 1,Finals,20.0,0.0,17.0,0.0
12.0,SLAP,27,2,11,20,0,7,0,13,1,Lobby 1,Finals,13.0,0.0,11.0,0.0
13.0,SZN,23,15,0,18,0,18,3,2,4,Lobby 1,Finals,17.0,3.0,8.0,1.0
14.0,NCJA,22,13,0,7,5,11,3,7,5,Lobby 1,Finals,15.0,0.0,18.0,0.0
15.0,SMG,18,18,0,17,0,15,0,18,2,Lobby 1,Finals,2.0,6.0,20.0,0.0
16.0,Reset,14,11,0,14,4,17,3,12,0,Lobby 1,Finals,7.0,1.0,19.0,0.0
17.0,LPOG,10,10,0,13,0,13,0,11,1,Lobby 1,Finals,18.0,0.0,13.0,3.0
18.0,YK,10,8,0,15,0,20,1,6,2,Lobby 1,Finals,11.0,0.0,16.0,0.0
19.0,VNX,8,20,0,12,0,10,1,16,0,Lobby 1,Finals,14.0,0.0,15.0,2.0
20.0,TOM,6,19,0,16,0,14,0,15,0,Lobby 1,Finals,6.0,0.0,14.0,0.0
