Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby,Split,Region
REAH,14,17,0,10,1,13,4,19,0,7,2,15,0,Round 2,Split_1,APAC_North
YOG,12,18,0,15,2,4,0,15,0,13,2,16,0,Round 2,Split_1,APAC_North
FAK,71,2,5,8,5,4,4,9,8,1,15,15,3,Round 3,Split_1,APAC_North
αD,65,9,4,19,0,1,8,8,5,9,4,1,14,Round 3,Split_1,APAC_North
UNI,62,1,7,7,0,2,4,2,5,13,1,3,4,Round 3,Split_1,APAC_North
RC,57,3,17,4,7,19,0,12,0,7,7,5,6,Round 3,Split_1,APAC_North
RIG-N,51,17,0,2,8,6,4,1,5,4,1,7,1,Round 3,Split_1,APAC_North
GTS,46,5,4,9,4,3,6,3,3,14,3,14,4,Round 3,Split_1,APAC_North
FCD,38,10,7,16,0,12,5,5,14,16,3,16,2,Round 3,Split_1,APAC_North
REAH,36,7,2,14,3,7,6,6,0,2,5,11,0,Round 3,Split_1,APAC_North
YOG,36,14,0,17,0,5,0,11,3,3,4,2,7,Round 3,Split_1,APAC_North
FAV,33,11,2,1,5,16,0,15,1,6,4,9,2,Round 3,Split_1,APAC_North
RXC,27,20,0,15,3,9,8,10,2,20,1,8,6,Round 3,Split_1,APAC_North
FSV,24,8,0,3,8,15,0,20,0,15,0,10,3,Round 3,Split_1,APAC_North
ORF,24,16,1,5,2,11,3,7,2,11,1,4,1,Round 3,Split_1,APAC_North
LDN,20,18,0,6,4,18,0,4,5,12,1,13,0,Round 3,Split_1,APAC_North
RPG,17,12,0,18,0,10,4,14,3,8,4,18,0,Round 3,Split_1,APAC_North
DAI,15,15,0,20,0,17,0,17,0,9,4,6,5,Round 3,Split_1,APAC_North
LAG,13,6,4,11,2,14,0,16,0,17,1,12,0,Round 3,Split_1,APAC_North
UC,13,19,0,13,3,13,3,13,0,5,0,19,0,Round 3,Split_1,APAC_North
LFTW,11,13,6,12,2,20,0,18,0,18,1,17,0,Round 3,Split_1,APAC_North
AVA,10,4,1,10,0,8,0,19,0,19,0,20,0,Round 3,Split_1,APAC_North
FL,73,11,1,9,8,8,4,5,7,1,13,1,7,Round 4,Split_1,APAC_North
DTN,49,15,0,6,3,1,11,12,3,13,4,5,6,Round 4,Split_1,APAC_North
CR,48,8,3,1,13,12,0,8,4,17,1,7,7,Round 4,Split_1,APAC_North
Flora,46,17,2,8,6,13,1,4,5,14,2,3,14,Round 4,Split_1,APAC_North
RZ,46,3,7,12,0,6,7,6,5,3,3,11,2,Round 4,Split_1,APAC_North
V3,44,19,0,5,0,2,8,2,7,5,2,16,1,Round 4,Split_1,APAC_North
GW,43,1,10,13,0,3,8,16,0,15,2,9,0,Round 4,Split_1,APAC_North
NTH,42,2,1,3,3,5,4,7,1,4,4,14,0,Round 4,Split_1,APAC_North
QF,39,18,0,4,3,11,4,1,8,8,1,12,2,Round 4,Split_1,APAC_North
MTR,32,7,6,11,3,19,0,18,0,2,10,18,0,Round 4,Split_1,APAC_North
TW,32,4,5,19,0,20,0,10,0,16,4,2,7,Round 4,Split_1,APAC_North
BEXT,25,10,7,16,0,4,6,20,0,9,3,19,0,Round 4,Split_1,APAC_North
RID,25,13,3,2,8,7,1,19,0,19,0,20,0,Round 4,Split_1,APAC_North
IGZ,25,14,1,14,0,10,1,3,5,7,1,8,1,Round 4,Split_1,APAC_North
FLCO,23,6,1,20,0,14,3,15,2,11,3,4,3,Round 4,Split_1,APAC_North
RUG,21,20,0,17,4,9,2,9,4,6,4,17,0,Round 4,Split_1,APAC_North
