Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby,Split,Region
SMC,0,0,0,0,0,0,0,0,0,0,0,0,0,Round 3,Split_1,APAC_South
NXL,78,2,12,7,6,2,7,1,17,19,0,11,2,Round 4,Split_1,APAC_South
BRGR,77,3,5,1,8,4,5,15,0,3,7,1,8,Round 4,Split_1,APAC_South
EXO,72,9,5,2,12,1,6,2,9,13,0,5,3,Round 4,Split_1,APAC_South
MDY.W,43,4,3,8,5,13,3,16,1,4,11,9,5,Round 4,Split_1,APAC_South
STK,43,6,4,5,9,3,9,5,2,16,0,15,0,Round 4,Split_1,APAC_South
WAT,42,13,2,6,7,6,6,13,0,5,4,6,8,Round 4,Split_1,APAC_South
MON,41,1,8,16,0,17,0,7,1,10,0,2,6,Round 4,Split_1,APAC_South
ATH,36,11,0,10,0,16,1,9,6,2,14,13,0,Round 4,Split_1,APAC_South
SNG,36,14,0,14,0,11,3,4,7,17,0,3,11,Round 4,Split_1,APAC_South
PK,28,19,0,13,0,10,1,14,0,1,10,12,0,Round 4,Split_1,APAC_South
ITR,27,5,7,9,0,9,0,6,4,12,0,8,2,Round 4,Split_1,APAC_South
MYTH,22,8,2,4,3,8,3,10,0,8,1,17,0,Round 4,Split_1,APAC_South
BWS,20,12,1,15,0,14,0,8,3,9,0,4,4,Round 4,Split_1,APAC_South
DNN,20,15,0,12,1,5,4,3,0,11,0,19,1,Round 4,Split_1,APAC_South
DREAM,19,10,4,11,2,15,0,11,3,6,0,14,1,Round 4,Split_1,APAC_South
MBTN,15,17,0,3,0,12,3,17,0,15,3,18,0,Round 4,Split_1,APAC_South
WGG,11,16,0,17,3,7,2,18,0,18,0,10,1,Round 4,Split_1,APAC_South
DML,9,7,0,18,0,18,0,12,0,14,0,7,1,Round 4,Split_1,APAC_South
FW,8,18,0,19,0,19,0,19,0,7,5,16,0,Round 4,Split_1,APAC_South
YFM,0,0,0,0,0,0,0,0,0,0,0,0,0,Round 4,Split_1,APAC_South
RIG,97,3,12,3,8,2,6,4,6,1,9,5,12,Round 5,Split_1,APAC_South
FA,55,8,0,19,0,3,8,19,0,2,8,1,9,Round 5,Split_1,APAC_South
STK,52,2,6,6,1,4,6,14,0,4,1,2,6,Round 5,Split_1,APAC_South
SNG,46,7,5,4,8,13,2,11,3,3,8,8,1,Round 5,Split_1,APAC_South
DML,46,9,0,1,9,5,7,7,0,9,4,10,1,Round 5,Split_1,APAC_South
NXL,45,1,15,8,4,20,0,9,9,12,0,19,0,Round 5,Split_1,APAC_South
BWS,45,20,0,5,3,1,11,8,0,14,1,3,4,Round 5,Split_1,APAC_South
EXO,42,18,3,13,0,19,3,1,15,11,3,13,3,Round 5,Split_1,APAC_South
ATH,40,10,2,2,8,8,0,2,4,16,0,11,3,Round 5,Split_1,APAC_South
LU,32,5,2,20,0,6,9,18,0,6,3,4,3,Round 5,Split_1,APAC_South
FW,27,16,0,7,4,10,0,3,9,13,0,15,0,Round 5,Split_1,APAC_South
DNN,24,4,3,14,1,7,1,5,2,7,1,17,0,Round 5,Split_1,APAC_South
Antiaa,23,13,1,12,0,16,1,6,4,8,1,6,6,Round 5,Split_1,APAC_South
DNZ,21,12,3,17,2,18,0,17,0,5,9,9,0,Round 5,Split_1,APAC_South
EMM,17,15,0,11,4,9,1,15,0,17,3,14,3,Round 5,Split_1,APAC_South
ANT,15,6,0,10,1,12,1,16,0,10,2,12,2,Round 5,Split_1,APAC_South
MBTN,10,19,0,9,3,17,2,10,0,15,0,16,0,Round 5,Split_1,APAC_South
DYN,7,17,0,15,1,11,0,12,0,18,0,7,0,Round 5,Split_1,APAC_South
OC,5,14,0,18,0,15,0,13,2,19,0,18,0,Round 5,Split_1,APAC_South
NLN,3,11,1,16,0,14,0,20,0,20,0,20,0,Round 5,Split_1,APAC_South
STB,70,15,1,1,14,5,7,1,13,8,2,10,0,Round 6,Split_1,APAC_South
DF,65,3,5,2,8,11,3,7,5,1,11,13,0,Round 6,Split_1,APAC_South
ITR,55,1,12,6,6,2,1,15,0,7,2,4,1,Round 6,Split_1,APAC_South
MON,55,7,0,3,3,1,11,11,1,14,1,2,6,Round 6,Split_1,APAC_South
BRP,52,4,9,9,1,14,1,10,0,6,2,1,14,Round 6,Split_1,APAC_South
WGG,50,13,0,4,5,13,3,2,10,3,5,11,3,Round 6,Split_1,APAC_South
M2,47,10,2,11,3,3,9,16,0,5,6,3,6,Round 6,Split_1,APAC_South
BRGR,37,2,3,8,0,16,0,5,4,2,2,9,2,Round 6,Split_1,APAC_South
MDY.W,30,12,5,15,0,6,3,4,5,10,3,14,1,Round 6,Split_1,APAC_South
PK,27,11,0,7,0,7,1,6,2,4,4,6,2,Round 6,Split_1,APAC_South
WHIZ,24,6,1,5,2,15,0,9,2,9,4,8,1,Round 6,Split_1,APAC_South
WAT,24,8,3,12,2,12,0,3,3,11,0,7,1,Round 6,Split_1,APAC_South
DREAM,17,16,0,10,0,10,0,12,0,13,0,5,7,Round 6,Split_1,APAC_South
MYTH,16,9,3,16,0,9,4,13,3,16,0,12,0,Round 6,Split_1,APAC_South
SLAY,15,5,1,14,0,8,1,8,0,15,2,15,0,Round 6,Split_1,APAC_South
DESI,13,14,0,13,1,4,1,14,0,12,2,16,0,Round 6,Split_1,APAC_South
GS,0,0,0,0,0,0,0,0,0,0,0,0,0,Round 6,Split_1,APAC_South
PWLS,0,0,0,0,0,0,0,0,0,0,0,0,0,Round 6,Split_1,APAC_South
SMC,0,0,0,0,0,0,0,0,0,0,0,0,0,Round 6,Split_1,APAC_South
YFM,0,0,0,0,0,0,0,0,0,0,0,0,0,Round 6,Split_1,APAC_South
RIG,98,3,8,1,17,1,12,6,12,4,7,12,2,Round 7,Split_1,APAC_South
BRGR,85,1,6,9,0,2,13,1,11,10,4,3,7,Round 7,Split_1,APAC_South
ITR,64,7,6,16,3,3,7,5,3,6,3,1,13,Round 7,Split_1,APAC_South
FA,42,14,2,4,5,12,0,10,3,2,6,6,5,Round 7,Split_1,APAC_South
DNZ,41,18,0,18,0,8,6,15,0,1,15,11,4,Round 7,Split_1,APAC_South
ANT,34,5,7,2,8,18,1,8,2,12,0,16,0,Round 7,Split_1,APAC_South
EMM,34,4,3,15,0,13,3,13,0,11,0,2,10,Round 7,Split_1,APAC_South
WAT,34,12,0,5,4,11,1,2,7,9,1,7,1,Round 7,Split_1,APAC_South
MDY.W,29,15,3,13,0,7,1,7,3,3,7,17,0,Round 7,Split_1,APAC_South
LU,27,2,7,11,2,10,0,12,0,15,3,15,0,Round 7,Split_1,APAC_South
Antiaa,27,9,0,3,6,5,0,17,1,5,0,10,1,Round 7,Split_1,APAC_South
OC,22,6,1,12,2,17,0,4,3,14,0,8,4,Round 7,Split_1,APAC_South
WGG,20,11,3,10,1,16,0,3,5,18,0,13,0,Round 7,Split_1,APAC_South
PK,19,13,0,8,0,15,1,9,0,8,2,4,3,Round 7,Split_1,APAC_South
MON,16,10,2,14,0,14,1,18,0,7,3,9,1,Round 7,Split_1,APAC_South
DYN,15,8,1,6,0,6,0,16,1,17,0,5,1,Round 7,Split_1,APAC_South
MYTH,11,16,0,7,1,9,2,14,1,13,0,18,0,Round 7,Split_1,APAC_South
DREAM,9,17,1,17,0,4,1,11,0,16,0,14,0,Round 7,Split_1,APAC_South
NLN,0,0,0,0,0,0,0,0,0,0,0,0,0,Round 7,Split_1,APAC_South
YFM,0,0,0,0,0,0,0,0,0,0,0,0,0,Round 7,Split_1,APAC_South
M2,73,12,2,1,10,5,3,8,4,1,11,4,7,Round 8,Split_1,APAC_South
STK,72,1,15,11,0,13,0,1,4,2,5,3,6,Round 8,Split_1,APAC_South
DF,66,5,5,3,5,4,17,12,0,5,5,2,4,Round 8,Split_1,APAC_South
BRP,60,10,5,5,4,2,11,3,4,4,1,5,4,Round 8,Split_1,APAC_South
EXO,58,7,3,4,5,7,6,2,8,6,3,10,8,Round 8,Split_1,APAC_South
NXL,46,11,2,8,2,1,10,5,3,12,1,6,5,Round 8,Split_1,APAC_South
ATH,38,6,4,12,0,11,0,11,1,3,7,2,4,Round 8,Split_1,APAC_South
SNG,27,15,0,6,4,8,2,4,5,9,2,15,0,Round 8,Split_1,APAC_South
STB,26,3,4,9,3,9,0,10,0,11,1,12,3,Round 8,Split_1,APAC_South
BWS,26,2,3,7,1,16,0,13,3,8,0,13,3,Round 8,Split_1,APAC_South
DML,25,4,3,2,4,12,0,14,1,16,0,14,0,Round 8,Split_1,APAC_South
MBTN,24,16,0,14,0,3,1,7,6,13,3,8,0,Round 8,Split_1,APAC_South
SLAY,20,8,2,10,3,17,0,17,0,7,8,17,0,Round 8,Split_1,APAC_South
FW,19,14,0,15,2,10,0,9,5,10,1,7,0,Round 8,Split_1,APAC_South
WHIZ,14,9,2,16,2,6,0,15,0,14,1,9,0,Round 8,Split_1,APAC_South
DNN,10,17,0,17,0,14,0,6,3,15,1,11,0,Round 8,Split_1,APAC_South
DESI,8,13,1,13,0,15,0,16,1,17,0,16,3,Round 8,Split_1,APAC_South
GS,0,0,0,0,0,0,0,0,0,0,0,0,0,Round 8,Split_1,APAC_South
PWLS,0,0,0,0,0,0,0,0,0,0,0,0,0,Round 8,Split_1,APAC_South
SMC,0,0,0,0,0,0,0,0,0,0,0,0,0,Round 8,Split_1,APAC_South
RIG,79,12,2,5,2,1,21,7,4,5,3,1,11,Round 9,Split_1,APAC_South
M2,57,14,0,1,18,10,2,17,0,9,3,2,8,Round 9,Split_1,APAC_South
FA,52,15,0,6,2,5,1,10,6,1,17,9,2,Round 9,Split_1,APAC_South
ANT,51,2,8,2,6,12,0,5,2,3,5,17,0,Round 9,Split_1,APAC_South
BRP,49,1,6,17,0,14,1,1,10,4,2,16,0,Round 9,Split_1,APAC_South
Antiaa,40,3,1,14,0,4,2,2,8,6,1,14,2,Round 9,Split_1,APAC_South
LU,35,6,5,4,3,2,6,13,0,10,0,15,0,Round 9,Split_1,APAC_South
DNZ,33,5,13,16,0,3,3,14,0,13,0,12,3,Round 9,Split_1,APAC_South
DF,33,11,0,7,6,7,3,6,3,8,0,6,6,Round 9,Split_1,APAC_South
STB,31,17,0,10,2,15,0,8,1,2,7,4,2,Round 9,Split_1,APAC_South
SLAY,29,10,2,13,3,9,4,12,3,11,0,5,6,Round 9,Split_1,APAC_South
DYN,26,4,4,3,2,13,0,16,0,16,0,3,0,Round 9,Split_1,APAC_South
NLN,22,13,0,12,1,11,2,4,5,7,2,11,0,Round 9,Split_1,APAC_South
OC,19,8,2,9,1,8,2,9,1,17,0,8,3,Round 9,Split_1,APAC_South
WHIZ,18,9,1,11,0,17,0,3,2,15,0,7,1,Round 9,Split_1,APAC_South
EMM,16,7,0,15,0,6,1,11,1,14,4,13,0,Round 9,Split_1,APAC_South
DESI,12,16,0,8,1,16,0,15,0,12,2,10,3,Round 9,Split_1,APAC_South
GS,0,0,0,0,0,0,0,0,0,0,0,0,0,Round 9,Split_1,APAC_South
PWLS,0,0,0,0,0,0,0,0,0,0,0,0,0,Round 9,Split_1,APAC_South
SMC,0,0,0,0,0,0,0,0,0,0,0,0,0,Round 9,Split_1,APAC_South
BRGR,85,4,6,2,7,6,10,3,3,1,8,2,6,Round 10,Split_2,APAC_South
STK,81,10,0,1,16,1,18,1,6,13,0,10,0,Round 10,Split_2,APAC_South
NXL,70,1,14,16,1,3,3,11,4,14,0,1,15,Round 10,Split_2,APAC_South
WAT,39,12,1,11,3,7,0,4,4,3,11,15,2,Round 10,Split_2,APAC_South
PK,37,8,1,8,3,2,6,9,5,8,2,7,0,Round 10,Split_2,APAC_South
ITR,36,5,9,6,2,13,3,13,2,7,7,13,0,Round 10,Split_2,APAC_South
FW,35,14,5,17,0,15,4,10,0,2,7,9,4,Round 10,Split_2,APAC_South
EXO,31,11,3,18,0,9,0,2,12,11,0,11,2,Round 10,Split_2,APAC_South
MON,31,3,4,12,0,4,2,16,0,12,2,3,2,Round 10,Split_2,APAC_South
MDY.W,30,18,0,10,2,18,0,5,6,9,10,12,3,Round 10,Split_2,APAC_South
DML,30,2,2,14,1,17,0,12,3,10,1,5,6,Round 10,Split_2,APAC_South
ATH,23,16,0,3,2,10,0,14,0,17,0,4,6,Round 10,Split_2,APAC_South
BWS,22,17,0,7,3,5,1,6,3,15,2,8,0,Round 10,Split_2,APAC_South
MBTN,22,7,2,5,4,14,0,17,0,4,0,14,2,Round 10,Split_2,APAC_South
SNG,22,6,2,4,3,8,0,15,1,16,2,6,0,Round 10,Split_2,APAC_South
MYTH,14,13,2,9,1,12,0,8,1,6,1,17,0,Round 10,Split_2,APAC_South
DNN,14,9,0,15,0,11,0,7,2,5,1,16,0,Round 10,Split_2,APAC_South
WGG,5,15,0,13,2,16,1,18,0,18,0,18,0,Round 10,Split_2,APAC_South
DREAM,0,0,0,0,0,0,0,0,0,0,0,0,0,Round 10,Split_2,APAC_South
YFM,0,0,0,0,0,0,0,0,0,0,0,0,0,Round 10,Split_2,APAC_South
STK,58,3,11,13,0,5,4,12,1,2,5,3,8,Round 11,Split_2,APAC_South
FA,54,20,0,1,9,11,4,16,0,6,4,1,9,Round 11,Split_2,APAC_South
RIG,53,17,3,5,15,14,7,19,0,12,3,2,10,Round 11,Split_2,APAC_South
SNG,53,5,6,4,6,1,8,9,2,7,1,6,1,Round 11,Split_2,APAC_South
EXO,44,13,0,12,2,10,3,1,12,8,1,4,3,Round 11,Split_2,APAC_South
NXL,43,11,4,2,7,12,1,7,4,11,0,5,8,Round 11,Split_2,APAC_South
ANT,39,1,5,10,5,7,3,8,5,16,1,14,0,Round 11,Split_2,APAC_South
EMM,38,18,0,20,0,2,12,5,4,9,6,13,0,Round 11,Split_2,APAC_South
LU,35,2,10,7,0,17,2,11,7,19,0,10,1,Round 11,Split_2,APAC_South
NLN,35,19,0,18,3,9,5,13,3,1,7,12,1,Round 11,Split_2,APAC_South
OC,34,16,0,14,0,6,6,2,3,5,7,14,0,Round 11,Split_2,APAC_South
DNZ,30,9,0,17,0,8,6,17,0,3,12,11,0,Round 11,Split_2,APAC_South
FW,25,12,4,9,0,18,0,4,6,15,6,20,0,Round 11,Split_2,APAC_South
BWS,25,4,3,16,0,15,0,3,7,14,1,19,0,Round 11,Split_2,APAC_South
DML,25,10,1,3,4,3,0,14,1,10,0,17,0,Round 11,Split_2,APAC_South
Antiaa,24,7,2,11,1,19,0,20,2,4,1,8,7,Round 11,Split_2,APAC_South
ATH,18,15,3,8,4,13,1,18,0,17,0,7,3,Round 11,Split_2,APAC_South
MBTN,14,8,4,6,1,16,0,6,1,18,0,16,0,Round 11,Split_2,APAC_South
DNN,11,14,0,19,0,4,0,10,0,20,0,18,3,Round 11,Split_2,APAC_South
DYN,11,6,0,15,0,20,0,15,0,13,0,9,3,Round 11,Split_2,APAC_South
BRGR,91,2,10,9,3,8,2,1,10,3,10,1,12,Round 12,Split_2,APAC_South
M2,56,9,0,8,2,2,7,2,18,5,1,8,0,Round 12,Split_2,APAC_South
MDY.W,53,5,2,3,15,4,8,15,0,9,5,13,3,Round 12,Split_2,APAC_South
MYTH,50,1,6,5,3,11,3,10,3,10,0,3,7,Round 12,Split_2,APAC_South
BRP,48,6,6,1,10,13,0,4,0,6,2,6,3,Round 12,Split_2,APAC_South
MON,48,4,2,4,2,1,6,11,2,4,2,5,2,Round 12,Split_2,APAC_South
SLAY,40,3,3,7,1,7,0,3,2,2,4,11,0,Round 12,Split_2,APAC_South
DF,37,14,0,2,7,6,1,8,2,8,3,9,5,Round 12,Split_2,APAC_South
WAT,35,13,3,15,0,12,0,12,0,1,15,14,0,Round 12,Split_2,APAC_South
PK,32,10,0,10,0,5,4,5,4,13,1,2,1,Round 12,Split_2,APAC_South
ITR,26,7,2,6,0,3,6,9,0,15,0,10,0,Round 12,Split_2,APAC_South
WGG,23,12,3,11,0,15,0,7,0,7,4,4,2,Round 12,Split_2,APAC_South
STB,18,8,2,14,0,14,1,6,1,12,0,7,3,Round 12,Split_2,APAC_South
DESI,12,15,0,13,0,10,2,14,0,14,0,12,3,Round 12,Split_2,APAC_South
WHIZ,10,11,3,12,0,9,0,13,0,11,0,15,0,Round 12,Split_2,APAC_South
DREAM,0,0,0,0,0,0,0,0,0,0,0,0,0,Round 12,Split_2,APAC_South
GS,0,0,0,0,0,0,0,0,0,0,0,0,0,Round 12,Split_2,APAC_South
PWLS,0,0,0,0,0,0,0,0,0,0,0,0,0,Round 12,Split_2,APAC_South
SMC,0,0,0,0,0,0,0,0,0,0,0,0,0,Round 12,Split_2,APAC_South
YFM,0,0,0,0,0,0,0,0,0,0,0,0,0,Round 12,Split_2,APAC_South
RIG,86,17,0,15,0,1,12,2,9,1,14,3,10,Round 1,Split_2,APAC_South
BRGR,65,1,11,5,2,18,0,1,6,5,8,10,4,Round 1,Split_2,APAC_South
FA,63,7,9,2,5,8,3,6,2,15,3,1,11,Round 1,Split_2,APAC_South
LU,59,5,4,10,1,2,11,3,0,3,10,7,1,Round 1,Split_2,APAC_South
ANT,45,10,0,11,2,5,9,16,0,2,4,2,5,Round 1,Split_2,APAC_South
DNZ,44,13,6,1,15,16,0,15,5,13,3,17,0,Round 1,Split_2,APAC_South
WAT,37,14,0,8,9,9,2,10,3,4,2,4,4,Round 1,Split_2,APAC_South
OC,37,2,7,17,0,15,2,7,5,8,0,5,4,Round 1,Split_2,APAC_South
NLN,28,11,0,3,1,14,1,5,8,12,4,19,0,Round 1,Split_2,APAC_South
MON,27,9,0,7,5,4,3,8,5,16,0,15,1,Round 1,Split_2,APAC_South
EMM,22,12,3,9,8,7,3,11,0,17,0,14,0,Round 1,Split_2,APAC_South
ITR,22,8,0,4,2,11,0,12,2,6,3,13,2,Round 1,Split_2,APAC_South
PK,21,16,0,12,1,6,5,19,0,7,3,6,2,Round 1,Split_2,APAC_South
MYTH,21,3,2,18,3,10,1,13,1,14,0,8,1,Round 1,Split_2,APAC_South
DYN,19,6,0,6,2,12,0,9,1,10,1,9,2,Round 1,Split_2,APAC_South
DREAM,18,4,3,19,0,3,1,17,0,11,0,12,0,Round 1,Split_2,APAC_South
MDY.W,16,15,3,16,0,13,4,14,5,19,0,16,1,Round 1,Split_2,APAC_South
Antiaa,11,18,3,13,0,19,0,4,2,18,0,18,0,Round 1,Split_2,APAC_South
WGG,8,19,0,14,0,17,0,18,0,9,0,11,4,Round 1,Split_2,APAC_South
YFM,0,0,0,0,0,0,0,0,0,0,0,0,0,Round 1,Split_2,APAC_South
STK,79,2,9,3,1,2,4,1,15,5,2,5,3,Round 2,Split_2,APAC_South
BRP,70,1,16,6,2,7,3,14,0,15,0,1,17,Round 2,Split_2,APAC_South
ATH,64,5,2,1,5,5,4,5,6,1,8,10,1,Round 2,Split_2,APAC_South
EXO,51,18,3,19,1,4,8,9,7,6,8,3,7,Round 2,Split_2,APAC_South
NXL,50,7,5,11,5,10,5,18,0,3,8,2,5,Round 2,Split_2,APAC_South
DF,47,11,2,2,10,8,7,8,3,9,1,9,6,Round 2,Split_2,APAC_South
BWS,42,14,1,12,5,17,4,6,3,2,14,14,0,Round 2,Split_2,APAC_South
M2,37,6,3,4,4,19,0,2,9,11,2,11,0,Round 2,Split_2,APAC_South
MBTN,36,19,0,9,6,1,9,12,2,10,1,15,0,Round 2,Split_2,APAC_South
SNG,27,8,4,7,2,6,0,13,2,7,6,16,1,Round 2,Split_2,APAC_South
WHIZ,22,3,3,15,0,15,0,3,2,19,0,13,0,Round 2,Split_2,APAC_South
SMC,21,9,5,13,2,13,2,11,1,16,0,12,5,Round 2,Split_2,APAC_South
DML,20,12,0,5,1,12,3,7,0,12,0,8,4,Round 2,Split_2,APAC_South
PWLS,18,13,1,10,2,14,0,15,0,17,0,4,5,Round 2,Split_2,APAC_South
DNN,16,15,1,14,0,3,6,17,0,18,0,19,0,Round 2,Split_2,APAC_South
STB,16,4,0,16,0,11,0,4,0,14,4,17,0,Round 2,Split_2,APAC_South
FW,13,17,0,8,5,16,0,16,3,8,1,18,0,Round 2,Split_2,APAC_South
DESI,10,16,0,17,0,18,0,10,0,4,0,7,0,Round 2,Split_2,APAC_South
SLAY,8,10,0,18,0,9,0,19,0,13,0,6,0,Round 2,Split_2,APAC_South
GS,0,0,0,0,0,0,0,0,0,0,0,0,0,Round 2,Split_2,APAC_South
STB,77,2,8,3,6,6,6,13,0,7,4,1,18,Round 3,Split_2,APAC_South
ANT,63,8,0,5,0,3,8,6,7,3,14,4,6,Round 3,Split_2,APAC_South
RIG,62,10,3,1,15,7,2,1,8,8,2,15,0,Round 3,Split_2,APAC_South
DF,61,12,1,7,3,2,10,5,3,1,6,3,2,Round 3,Split_2,APAC_South
LU,60,1,8,2,9,1,7,16,0,12,0,8,0,Round 3,Split_2,APAC_South
BRP,59,4,5,13,4,4,6,2,7,2,5,13,2,Round 3,Split_2,APAC_South
FA,46,6,7,4,1,18,0,3,11,10,3,6,4,Round 3,Split_2,APAC_South
M2,36,3,4,14,0,8,5,12,2,5,4,7,3,Round 3,Split_2,APAC_South
SLAY,35,7,4,6,0,5,2,4,6,6,4,16,1,Round 3,Split_2,APAC_South
DESI,22,11,1,18,0,9,0,18,0,15,1,2,7,Round 3,Split_2,APAC_South
NLN,17,18,0,8,2,13,1,9,0,9,3,11,3,Round 3,Split_2,APAC_South
DYN,17,5,0,15,0,14,0,7,1,4,2,17,0,Round 3,Split_2,APAC_South
EMM,16,13,5,11,0,12,3,14,2,16,0,18,2,Round 3,Split_2,APAC_South
WHIZ,15,16,0,10,3,11,1,15,3,13,0,10,1,Round 3,Split_2,APAC_South
DNZ,12,14,0,9,6,17,0,17,0,17,0,12,2,Round 3,Split_2,APAC_South
Antiaa,12,15,2,17,0,15,0,8,1,14,0,5,0,Round 3,Split_2,APAC_South
OC,10,9,0,16,0,16,0,10,0,11,2,9,1,Round 3,Split_2,APAC_South
PWLS,7,17,0,12,0,10,0,11,2,18,0,14,0,Round 3,Split_2,APAC_South
GS,0,0,0,0,0,0,0,0,0,0,0,0,0,Round 3,Split_2,APAC_South
SMC,0,0,0,0,0,0,0,0,0,0,0,0,0,Round 3,Split_2,APAC_South
NXL,78,2,12,7,6,2,7,1,17,19,0,11,2,Round 4,Split_2,APAC_South
BRGR,77,3,5,1,8,4,5,15,0,3,7,1,8,Round 4,Split_2,APAC_South
EXO,72,9,5,2,12,1,6,2,9,13,0,5,3,Round 4,Split_2,APAC_South
MDY.W,43,4,3,8,5,13,3,16,1,4,11,9,5,Round 4,Split_2,APAC_South
STK,43,6,4,5,9,3,9,5,2,16,0,15,0,Round 4,Split_2,APAC_South
WAT,42,13,2,6,7,6,6,13,0,5,4,6,8,Round 4,Split_2,APAC_South
MON,41,1,8,16,0,17,0,7,1,10,0,2,6,Round 4,Split_2,APAC_South
ATH,36,11,0,10,0,16,1,9,6,2,14,13,0,Round 4,Split_2,APAC_South
SNG,36,14,0,14,0,11,3,4,7,17,0,3,11,Round 4,Split_2,APAC_South
PK,28,19,0,13,0,10,1,14,0,1,10,12,0,Round 4,Split_2,APAC_South
ITR,27,5,7,9,0,9,0,6,4,12,0,8,2,Round 4,Split_2,APAC_South
MYTH,22,8,2,4,3,8,3,10,0,8,1,17,0,Round 4,Split_2,APAC_South
BWS,20,12,1,15,0,14,0,8,3,9,0,4,4,Round 4,Split_2,APAC_South
DNN,20,15,0,12,1,5,4,3,0,11,0,19,1,Round 4,Split_2,APAC_South
DREAM,19,10,4,11,2,15,0,11,3,6,0,14,1,Round 4,Split_2,APAC_South
MBTN,15,17,0,3,0,12,3,17,0,15,3,18,0,Round 4,Split_2,APAC_South
WGG,11,16,0,17,3,7,2,18,0,18,0,10,1,Round 4,Split_2,APAC_South
DML,9,7,0,18,0,18,0,12,0,14,0,7,1,Round 4,Split_2,APAC_South
FW,8,18,0,19,0,19,0,19,0,7,5,16,0,Round 4,Split_2,APAC_South
YFM,0,0,0,0,0,0,0,0,0,0,0,0,0,Round 4,Split_2,APAC_South
RIG,97,3,12,3,8,2,6,4,6,1,9,5,12,Round 5,Split_2,APAC_South
FA,55,8,0,19,0,3,8,19,0,2,8,1,9,Round 5,Split_2,APAC_South
STK,52,2,6,6,1,4,6,14,0,4,1,2,6,Round 5,Split_2,APAC_South
SNG,46,7,5,4,8,13,2,11,3,3,8,8,1,Round 5,Split_2,APAC_South
DML,46,9,0,1,9,5,7,7,0,9,4,10,1,Round 5,Split_2,APAC_South
NXL,45,1,15,8,4,20,0,9,9,12,0,19,0,Round 5,Split_2,APAC_South
BWS,45,20,0,5,3,1,11,8,0,14,1,3,4,Round 5,Split_2,APAC_South
EXO,42,18,3,13,0,19,3,1,15,11,3,13,3,Round 5,Split_2,APAC_South
ATH,40,10,2,2,8,8,0,2,4,16,0,11,3,Round 5,Split_2,APAC_South
LU,32,5,2,20,0,6,9,18,0,6,3,4,3,Round 5,Split_2,APAC_South
FW,27,16,0,7,4,10,0,3,9,13,0,15,0,Round 5,Split_2,APAC_South
DNN,24,4,3,14,1,7,1,5,2,7,1,17,0,Round 5,Split_2,APAC_South
Antiaa,23,13,1,12,0,16,1,6,4,8,1,6,6,Round 5,Split_2,APAC_South
DNZ,21,12,3,17,2,18,0,17,0,5,9,9,0,Round 5,Split_2,APAC_South
EMM,17,15,0,11,4,9,1,15,0,17,3,14,3,Round 5,Split_2,APAC_South
ANT,15,6,0,10,1,12,1,16,0,10,2,12,2,Round 5,Split_2,APAC_South
MBTN,10,19,0,9,3,17,2,10,0,15,0,16,0,Round 5,Split_2,APAC_South
DYN,7,17,0,15,1,11,0,12,0,18,0,7,0,Round 5,Split_2,APAC_South
OC,5,14,0,18,0,15,0,13,2,19,0,18,0,Round 5,Split_2,APAC_South
NLN,3,11,1,16,0,14,0,20,0,20,0,20,0,Round 5,Split_2,APAC_South
STB,70,15,1,1,14,5,7,1,13,8,2,10,0,Round 6,Split_2,APAC_South
DF,65,3,5,2,8,11,3,7,5,1,11,13,0,Round 6,Split_2,APAC_South
ITR,55,1,12,6,6,2,1,15,0,7,2,4,1,Round 6,Split_2,APAC_South
MON,55,7,0,3,3,1,11,11,1,14,1,2,6,Round 6,Split_2,APAC_South
BRP,52,4,9,9,1,14,1,10,0,6,2,1,14,Round 6,Split_2,APAC_South
WGG,50,13,0,4,5,13,3,2,10,3,5,11,3,Round 6,Split_2,APAC_South
M2,47,10,2,11,3,3,9,16,0,5,6,3,6,Round 6,Split_2,APAC_South
BRGR,37,2,3,8,0,16,0,5,4,2,2,9,2,Round 6,Split_2,APAC_South
MDY.W,30,12,5,15,0,6,3,4,5,10,3,14,1,Round 6,Split_2,APAC_South
PK,27,11,0,7,0,7,1,6,2,4,4,6,2,Round 6,Split_2,APAC_South
WHIZ,24,6,1,5,2,15,0,9,2,9,4,8,1,Round 6,Split_2,APAC_South
WAT,24,8,3,12,2,12,0,3,3,11,0,7,1,Round 6,Split_2,APAC_South
DREAM,17,16,0,10,0,10,0,12,0,13,0,5,7,Round 6,Split_2,APAC_South
MYTH,16,9,3,16,0,9,4,13,3,16,0,12,0,Round 6,Split_2,APAC_South
SLAY,15,5,1,14,0,8,1,8,0,15,2,15,0,Round 6,Split_2,APAC_South
DESI,13,14,0,13,1,4,1,14,0,12,2,16,0,Round 6,Split_2,APAC_South
GS,0,0,0,0,0,0,0,0,0,0,0,0,0,Round 6,Split_2,APAC_South
PWLS,0,0,0,0,0,0,0,0,0,0,0,0,0,Round 6,Split_2,APAC_South
SMC,0,0,0,0,0,0,0,0,0,0,0,0,0,Round 6,Split_2,APAC_South
YFM,0,0,0,0,0,0,0,0,0,0,0,0,0,Round 6,Split_2,APAC_South
RIG,98,3,8,1,17,1,12,6,12,4,7,12,2,Round 7,Split_2,APAC_South
