Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,P.6,K.6,P.7,K.7,P.8,K.8,P.9,K.9,MP #,Region
11.0,DYN,28,11,1,7,3,18,0,5,6,4,2,,,,,,,,,,,-,South_America
12.0,SBK,27,14,3,15,0,8,4,7,3,3,3,,,,,,,,,,,-,South_America
13.0,NKX,23,2,2,8,4,12,3,17,0,12,0,,,,,,,,,,,-,South_America
14.0,MVP,22,7,0,14,1,14,6,15,3,17,1,,,,,,,,,,,-,South_America
15.0,BRZ,20,17,0,17,0,10,0,1,5,11,0,,,,,,,,,,,-,South_America
16.0,Miau,18,18,0,19,0,20,0,2,9,16,0,,,,,,,,,,,-,South_America
17.0,FSN,10,20,0,13,4,9,1,12,1,18,0,,,,,,,,,,,-,South_America
18.0,BHT,7,19,2,18,0,13,0,13,1,14,1,,,,,,,,,,,-,South_America
19.0,SKC,6,8,4,16,0,19,0,19,0,20,0,,,,,,,,,,,-,South_America
20.0,USB,5,13,0,12,1,17,0,16,0,15,1,,,,,,,,,,,-,South_America
