Standings,Team.1,Total,Lobby,Round,Region
15,FloWenZ Esports,6,Lobby 14,Round_1,EMEA
16,Tankiii,5,Lobby 14,Round_1,EMEA
17,Bulba Power,2,Lobby 14,Round_1,EMEA
18,Los Pinguinos,0,Lobby 14,Round_1,EMEA
1,NoName,67,Lobby 15,Round_1,EMEA
2,OG,61,Lobby 15,Round_1,EMEA
3,Kryptic,38,Lobby 15,Round_1,EMEA
4,Excellents,29,Lobby 15,Round_1,EMEA
5,3 Uomini 1 Gamba,24,Lobby 15,Round_1,EMEA
6,HKE,23,Lobby 15,Round_1,EMEA
7,BWG,22,Lobby 15,Round_1,EMEA
8,Vanaheim Gaming,20,Lobby 15,Round_1,EMEA
9,60fps,19,Lobby 15,Round_1,EMEA
10,MZY,18,Lobby 15,Round_1,EMEA
11,Next Gen Esports,16,Lobby 15,Round_1,EMEA
12,thr33 stack,15,Lobby 15,Round_1,EMEA
13,Murder De Game,11,Lobby 15,Round_1,EMEA
14,SinoriaL,9,Lobby 15,Round_1,EMEA
15,KYKLOS Blue,4,Lobby 15,Round_1,EMEA
16,FishSticks,3,Lobby 15,Round_1,EMEA
17,Amaterasu,1,Lobby 15,Round_1,EMEA
18,Novomatic,0,Lobby 15,Round_1,EMEA
1,NMS,76,Lobby 16,Round_1,EMEA
2,Undertaker,51,Lobby 16,Round_1,EMEA
3,3 Jabronies,35,Lobby 16,Round_1,EMEA
4,Bacalhau,35,Lobby 16,Round_1,EMEA
5,Aesir,30,Lobby 16,Round_1,EMEA
6,BFG,30,Lobby 16,Round_1,EMEA
7,1515,22,Lobby 16,Round_1,EMEA
8,SPPI,19,Lobby 16,Round_1,EMEA
9,DoubleuandL,17,Lobby 16,Round_1,EMEA
10,Monkey Milkers,16,Lobby 16,Round_1,EMEA
11,ahahhah,16,Lobby 16,Round_1,EMEA
12,NF X,14,Lobby 16,Round_1,EMEA
13,ZenTeX eSports,12,Lobby 16,Round_1,EMEA
14,KWK,12,Lobby 16,Round_1,EMEA
15,Wild Boars,6,Lobby 16,Round_1,EMEA
16,Rayquaza Shiny,2,Lobby 16,Round_1,EMEA
17,PivoEnjoyers,0,Lobby 16,Round_1,EMEA
18,Elver Galarga,0,Lobby 16,Round_1,EMEA
1,RNGBless,58,Lobby 1,Round_1,EMEA
2,bykva U,55,Lobby 1,Round_1,EMEA
3,Exalty,43,Lobby 1,Round_1,EMEA
4,WhyUs,38,Lobby 1,Round_1,EMEA
5,AAS,34,Lobby 1,Round_1,EMEA
6,Wisps,33,Lobby 1,Round_1,EMEA
7,Reapers of death,32,Lobby 1,Round_1,EMEA
8,SeXy Chonks,17,Lobby 1,Round_1,EMEA
9,NoWayFzB,16,Lobby 1,Round_1,EMEA
10,HEROES ESPORT,16,Lobby 1,Round_1,EMEA
11,MALE,15,Lobby 1,Round_1,EMEA
