Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby,Round,P.4,K.4,P.5,K.5,Split,Region
18.0,SocksOUT,7,17,0,14,0,10,1,8,1,Lobby 3,Quarterfinals,,,,,Split_1,EMEA
19.0,OXR,6,16,0,10,2,13,0,11,0,Lobby 3,Quarterfinals,,,,,Split_1,EMEA
20.0,DoubleStuffdOreo,0,20,0,20,0,20,0,20,0,Lobby 3,Quarterfinals,,,,,Split_1,EMEA
1.0,SJP2,63,1,12,11,4,3,18,4,4,Lobby 4,Quarterfinals,,,,,Split_1,EMEA
2.0,SCTA,49,2,5,6,2,5,5,1,9,Lobby 4,Quarterfinals,,,,,Split_1,EMEA
3.0,TRJ,42,15,4,1,10,16,0,3,8,Lobby 4,Quarterfinals,,,,,Split_1,EMEA
4.0,NoFear,38,5,7,5,9,11,2,7,8,Lobby 4,Quarterfinals,,,,,Split_1,EMEA
5.0,MantaX,33,11,3,12,1,1,9,9,4,Lobby 4,Quarterfinals,,,,,Split_1,EMEA
6.0,INS,31,3,6,3,2,4,1,12,2,Lobby 4,Quarterfinals,,,,,Split_1,EMEA
7.0,BFG,28,4,1,16,1,2,7,6,2,Lobby 4,Quarterfinals,,,,,Split_1,EMEA
8.0,HNY,24,19,0,2,11,15,2,15,0,Lobby 4,Quarterfinals,,,,,Split_1,EMEA
9.0,Spacegliders,23,8,0,7,2,9,1,2,4,Lobby 4,Quarterfinals,,,,,Split_1,EMEA
10.0,HLDC,21,7,7,10,4,18,3,14,1,Lobby 4,Quarterfinals,,,,,Split_1,EMEA
11.0,Are we in,20,10,1,4,2,10,1,5,3,Lobby 4,Quarterfinals,,,,,Split_1,EMEA
12.0,Pony,17,20,0,13,4,6,3,8,4,Lobby 4,Quarterfinals,,,,,Split_1,EMEA
13.0,L2S,15,9,6,18,0,7,2,13,1,Lobby 4,Quarterfinals,,,,,Split_1,EMEA
14.0,ExplosionFusion,10,13,0,8,5,17,0,11,1,Lobby 4,Quarterfinals,,,,,Split_1,EMEA
15.0,UTFT,8,6,0,15,0,12,3,18,0,Lobby 4,Quarterfinals,,,,,Split_1,EMEA
16.0,Whiff Tang,7,14,3,20,1,20,0,10,0,Lobby 4,Quarterfinals,,,,,Split_1,EMEA
17.0,JIGSAW,5,12,0,9,1,14,0,20,0,Lobby 4,Quarterfinals,,,,,Split_1,EMEA
18.0,T3W,4,16,2,14,0,13,0,17,0,Lobby 4,Quarterfinals,,,,,Split_1,EMEA
19.0,Aim Assist,2,18,0,17,0,19,0,16,2,Lobby 4,Quarterfinals,,,,,Split_1,EMEA
20.0,D4RP,2,17,0,19,0,8,0,19,0,Lobby 4,Quarterfinals,,,,,Split_1,EMEA
1.0,TREX,93,2,3,1,4,1,17,12,0,Lobby 1,Semifinals,1.0,7.0,4.0,11.0,Split_1,EMEA
2.0,PRSTS,72,1,17,3,15,15,4,6,8,Lobby 1,Semifinals,11.0,3.0,12.0,0.0,Split_1,EMEA
3.0,AWL,54,5,7,17,0,14,5,11,8,Lobby 1,Semifinals,7.0,9.0,3.0,9.0,Split_1,EMEA
4.0,SMS,53,12,0,7,5,2,7,4,7,Lobby 1,Semifinals,5.0,12.0,18.0,0.0,Split_1,EMEA
5.0,Steamroller,49,13,3,2,3,4,0,16,1,Lobby 1,Semifinals,6.0,5.0,1.0,7.0,Split_1,EMEA
6.0,SSD,48,20,0,20,0,6,5,1,7,Lobby 1,Semifinals,9.0,3.0,2.0,7.0,Split_1,EMEA
7.0,GOD,43,11,3,9,2,3,3,17,1,Lobby 1,Semifinals,3.0,6.0,5.0,7.0,Split_1,EMEA
8.0,CRAZYx3,38,3,5,5,10,20,1,14,0,Lobby 1,Semifinals,4.0,2.0,7.0,0.0,Split_1,EMEA
9.0,DOT,37,4,6,14,0,17,1,2,11,Lobby 1,Semifinals,10.0,0.0,15.0,1.0,Split_1,EMEA
10.0,Uchinix,36,9,0,12,2,18,0,3,9,Lobby 1,Semifinals,2.0,4.0,8.0,0.0,Split_1,EMEA
11.0,CHASE,27,17,0,4,3,5,6,5,1,Lobby 1,Semifinals,14.0,0.0,6.0,0.0,Split_1,EMEA
12.0,NIBL,21,7,6,18,0,13,3,13,1,Lobby 1,Semifinals,19.0,1.0,10.0,3.0,Split_1,EMEA
13.0,ALKaIIIbI,21,14,5,6,2,12,0,8,1,Lobby 1,Semifinals,13.0,1.0,9.0,2.0,Split_1,EMEA
