Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby,Round,P.4,K.4,P.5,K.5,Region
11,R.AtR,17,14,7,17,1,12,1,7,3,Lobby 4,Quarterfinals,,,,,APAC_North
12,NrTv.Vs,17,4,2,11,2,9,3,8,0,Lobby 4,Quarterfinals,,,,,APAC_North
13,C-VA KAG,13,15,0,9,4,11,4,13,0,Lobby 4,Quarterfinals,,,,,APAC_North
14,Kingdom,11,9,3,8,2,16,1,12,0,Lobby 4,Quarterfinals,,,,,APAC_North
15,Crest,10,8,3,15,0,7,1,19,0,Lobby 4,Quarterfinals,,,,,APAC_North
16,Welfare,9,13,0,16,2,18,0,6,3,Lobby 4,Quarterfinals,,,,,APAC_North
17,CPGaming,6,12,1,20,0,19,3,14,0,Lobby 4,Quarterfinals,,,,,APAC_North
18,MZB,5,19,0,12,2,10,0,20,0,Lobby 4,Quarterfinals,,,,,APAC_North
19,Zenith,4,20,0,14,3,17,0,17,0,Lobby 4,Quarterfinals,,,,,APAC_North
20,monkey,2,18,0,18,0,14,0,15,0,Lobby 4,Quarterfinals,,,,,APAC_North
1,LFT BKGK,79,14,0,1,14,12,3,1,6,Lobby 1,Semifinals,20,0,1,18,APAC_North
2,FC Destroy,59,2,5,12,9,9,14,6,5,Lobby 1,Semifinals,15,3,5,3,APAC_North
3,CJAM,54,12,0,2,4,2,4,4,8,Lobby 1,Semifinals,3,7,19,0,APAC_North
4,BKMN,47,13,2,3,4,3,5,3,7,Lobby 1,Semifinals,4,2,20,0,APAC_North
5,IBSG,44,8,7,7,2,8,0,5,3,Lobby 1,Semifinals,1,8,12,0,APAC_North
6,AVA,43,6,0,16,0,5,3,2,9,Lobby 1,Semifinals,6,4,4,3,APAC_North
7,GW,39,1,14,10,4,17,0,14,1,Lobby 1,Semifinals,16,4,16,1,APAC_North
8,D4RK,37,18,0,17,2,10,1,18,1,Lobby 1,Semifinals,2,4,3,11,APAC_North
9,SYTH,36,4,8,8,2,20,0,10,4,Lobby 1,Semifinals,9,5,6,3,APAC_North
10,HE,35,11,1,4,3,1,9,17,1,Lobby 1,Semifinals,10,1,18,0,APAC_North
11,LAG,32,5,3,14,4,18,0,16,3,Lobby 1,Semifinals,5,3,2,1,APAC_North
12,TW,26,3,8,11,3,13,3,19,0,Lobby 1,Semifinals,19,0,9,1,APAC_North
13,Joel Mark,26,16,0,5,3,4,6,20,0,Lobby 1,Semifinals,12,2,10,3,APAC_North
14,NOVA,23,10,2,6,4,16,0,8,0,Lobby 1,Semifinals,17,5,8,3,APAC_North
15,WGT,18,20,0,19,0,14,0,9,6,Lobby 1,Semifinals,7,0,7,3,APAC_North
16,LapiLegends,17,15,3,13,0,7,4,11,0,Lobby 1,Semifinals,14,3,17,0,APAC_North
17,Japan LFT desu,15,7,1,9,0,15,0,7,2,Lobby 1,Semifinals,8,0,13,0,APAC_North
18,UC,13,19,0,18,0,6,2,13,0,Lobby 1,Semifinals,11,4,14,1,APAC_North
19,FA Club FUG,11,17,0,20,0,19,0,12,4,Lobby 1,Semifinals,13,1,11,3,APAC_North
20,YaBaL,11,9,1,15,0,11,3,15,0,Lobby 1,Semifinals,18,0,15,1,APAC_North
1,Lunatics,86,5,10,10,4,7,5,4,23,Lobby 2,Semifinals,12,2,1,15,APAC_North
2,RPG,70,2,4,1,10,4,7,11,0,Lobby 2,Semifinals,1,8,9,0,APAC_North
3,Marine,62,4,11,9,3,5,7,1,6,Lobby 2,Semifinals,16,4,7,5,APAC_North
4,456,48,1,11,4,5,20,0,3,5,Lobby 2,Semifinals,19,1,18,2,APAC_North
5,GODOsushiTabetai,47,7,2,14,1,8,4,13,0,Lobby 2,Semifinals,2,14,6,7,APAC_North
6,Black,47,12,0,7,3,1,14,15,1,Lobby 2,Semifinals,4,3,8,2,APAC_North
7,ARK5,44,13,3,6,1,18,0,2,2,Lobby 2,Semifinals,5,6,2,6,APAC_North
8,LandMarkGondola,35,10,1,12,1,17,0,5,3,Lobby 2,Semifinals,9,5,3,9,APAC_North
9,Jamboree,31,17,1,2,7,14,3,14,6,Lobby 2,Semifinals,18,1,10,0,APAC_North
10,KaisenDONDON,30,3,6,18,0,2,5,18,1,Lobby 2,Semifinals,20,0,13,1,APAC_North
11,ORC,26,20,0,19,0,3,5,7,3,Lobby 2,Semifinals,10,2,5,0,APAC_North
12,Ace1,24,8,2,8,2,9,1,12,0,Lobby 2,Semifinals,3,4,14,0,APAC_North
13,RDO,22,19,0,3,4,12,1,9,3,Lobby 2,Semifinals,13,1,12,1,APAC_North
14,TSURUGI,20,6,1,5,6,10,0,20,0,Lobby 2,Semifinals,6,0,15,0,APAC_North
15,EXiA KR,18,15,5,16,3,16,1,6,2,Lobby 2,Semifinals,15,2,20,0,APAC_North
16,NANB,14,16,0,13,8,13,0,8,0,Lobby 2,Semifinals,11,1,16,0,APAC_North
17,InTheSky,13,18,0,15,0,19,0,17,0,Lobby 2,Semifinals,17,0,4,7,APAC_North
18,QueenSquadRoyal,13,11,0,11,0,15,2,10,1,Lobby 2,Semifinals,7,1,19,1,APAC_North
19,DCN,11,9,0,20,0,6,0,16,1,Lobby 2,Semifinals,8,0,11,2,APAC_North
20,MRB,10,14,0,17,0,11,1,19,0,Lobby 2,Semifinals,14,4,17,2,APAC_North
