Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby,Round,Split
11.0,Taichi Horror,23,4,2,7,5,19,3,20,0,12,1,10,1,Lobby 2,Semifinals,Split_1
12.0,No Regrets,23,9,2,9,0,7,1,7,1,5,0,4,0,Lobby 2,Semifinals,Split_1
13.0,ROCKETZ TEAM,21,11,0,15,0,14,2,19,2,14,0,5,9,Lobby 2,Semifinals,Split_1
14.0,LostSoulsDreamer,19,8,8,19,0,20,0,11,0,6,2,13,2,Lobby 2,Semifinals,Split_1
15.0,SKULL'S TEAM,16,5,1,8,0,13,0,5,0,15,0,7,0,Lobby 2,Semifinals,Split_1
16.0,AWD,15,16,0,2,2,9,0,16,0,13,0,12,0,Lobby 2,Semifinals,Split_1
17.0,KPS,10,18,0,10,3,15,0,17,0,16,0,14,3,Lobby 2,Semifinals,Split_1
18.0,Spartan Warriors,8,7,0,17,0,17,0,15,0,19,0,11,3,Lobby 2,Semifinals,Split_1
19.0,1k ping,5,20,0,18,0,12,3,13,0,18,0,20,0,Lobby 2,Semifinals,Split_1
20.0,CarlosAdãoGaming,4,15,0,13,0,16,0,12,0,17,1,19,0,Lobby 2,Semifinals,Split_1
1.0,Blagueur,115,3,12,4,16,2,20,1,10,2,2,3,6,Lobby 1,Finals,Split_1
2.0,Lovely Venom,78,4,5,1,13,7,3,3,3,1,14,14,0,Lobby 1,Finals,Split_1
3.0,CerditosMacabeos,54,15,1,16,0,11,4,2,21,6,12,17,2,Lobby 1,Finals,Split_1
4.0,SST,50,19,1,11,3,20,1,12,1,5,9,1,17,Lobby 1,Finals,Split_1
5.0,TCS,50,2,14,6,0,4,2,18,0,12,8,10,6,Lobby 1,Finals,Split_1
6.0,RAV,48,1,6,17,0,1,6,6,2,4,0,9,0,Lobby 1,Finals,Split_1
7.0,BrazilianTopTeam,39,7,2,2,9,12,3,7,2,8,5,18,0,Lobby 1,Finals,Split_1
8.0,AsheTeam,28,13,1,3,1,9,1,4,2,20,0,8,6,Lobby 1,Finals,Split_1
9.0,Ragnarok Team,28,18,0,7,1,5,0,19,0,3,4,2,0,Lobby 1,Finals,Split_1
10.0,UltiMaTuM,25,9,4,5,4,19,0,14,0,13,0,6,6,Lobby 1,Finals,Split_1
11.0,Chimera,24,12,9,8,5,17,0,10,5,18,0,16,0,Lobby 1,Finals,Split_1
12.0,NE1,21,6,1,9,2,14,3,8,2,10,1,11,1,Lobby 1,Finals,Split_1
13.0,KDT - Amber,20,16,1,20,0,18,1,9,3,15,1,13,10,Lobby 1,Finals,Split_1
14.0,TBG,18,5,2,15,3,13,0,13,3,11,1,15,0,Lobby 1,Finals,Split_1
15.0,Sobek,17,17,1,10,0,3,5,20,1,16,0,12,0,Lobby 1,Finals,Split_1
16.0,FourG Team,15,11,0,13,2,8,0,11,3,17,0,4,0,Lobby 1,Finals,Split_1
17.0,GUG,12,8,0,12,0,16,0,15,0,7,0,5,1,Lobby 1,Finals,Split_1
18.0,Mafia Legends,12,14,1,14,0,6,0,5,0,9,0,19,0,Lobby 1,Finals,Split_1
19.0,Seven,9,20,0,19,0,10,2,16,1,19,0,7,1,Lobby 1,Finals,Split_1
20.0,OSO,8,10,0,18,0,15,2,17,1,14,1,20,0,Lobby 1,Finals,Split_1
1.0,AIE,157,4,8,1,19,1,18,1,27,1,13,3,12,Lobby 1,Semifinals,Split_1
2.0,CerditosMacabeos,53,17,0,2,7,11,0,11,2,2,8,5,12,Lobby 1,Semifinals,Split_1
3.0,O3,47,15,1,11,0,3,3,8,2,5,8,1,6,Lobby 1,Semifinals,Split_1
4.0,Seven,47,14,1,3,3,2,7,3,5,13,0,9,4,Lobby 1,Semifinals,Split_1
5.0,BTH,46,1,15,13,0,9,4,4,2,10,1,14,1,Lobby 1,Semifinals,Split_1
6.0,ROCKETZ TEAM,36,2,2,8,0,5,5,15,1,3,4,11,0,Lobby 1,Semifinals,Split_1
7.0,TCS,35,3,8,4,3,6,0,14,0,4,2,15,0,Lobby 1,Semifinals,Split_1
8.0,FourG Team,28,5,3,17,0,8,0,7,2,14,0,2,4,Lobby 1,Semifinals,Split_1
9.0,Mystical,26,11,4,5,5,14,6,10,0,11,0,10,0,Lobby 1,Semifinals,Split_1
10.0,PVP,25,12,0,16,0,13,0,2,3,8,4,8,3,Lobby 1,Semifinals,Split_1
11.0,1k ping,21,7,0,15,0,4,2,6,1,12,0,4,0,Lobby 1,Semifinals,Split_1
12.0,KPS,19,16,0,10,6,16,0,5,1,7,0,7,0,Lobby 1,Semifinals,Split_1
13.0,Taichi Horror,16,10,0,7,2,7,0,12,0,6,1,13,0,Lobby 1,Semifinals,Split_1
14.0,AWD,12,8,1,14,0,10,0,16,0,9,1,6,0,Lobby 1,Semifinals,Split_1
15.0,Team destroyers,8,9,0,12,1,15,0,13,0,15,0,12,0,Lobby 1,Semifinals,Split_1
16.0,Z Gravity,7,13,0,6,0,12,0,9,0,16,0,0,0,Lobby 1,Semifinals,Split_1
17.0,eVoLuTioN,5,6,0,9,0,17,0,0,0,0,0,0,0,Lobby 1,Semifinals,Split_1
