Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby,Round,P.4,K.4,P.5,K.5
12.0,OYO,24,11,3,19,0,4,5,13,2,Lobby 1,Semifinals,7.0,0.0,9.0,2.0
13.0,CIMJ,23,16,2,14,3,9,2,7,3,Lobby 1,Semifinals,14.0,4.0,17.0,2.0
14.0,EX,23,13,0,18,0,7,1,8,3,Lobby 1,Semifinals,5.0,2.0,6.0,4.0
15.0,CDE,23,8,0,8,4,10,0,9,0,Lobby 1,Semifinals,4.0,5.0,11.0,0.0
16.0,FBOSS,19,18,0,9,1,15,0,5,5,Lobby 1,Semifinals,10.0,0.0,13.0,3.0
17.0,IRONIC,11,9,0,15,3,19,0,12,2,Lobby 1,Semifinals,13.0,0.0,16.0,1.0
18.0,BABL,10,19,0,20,0,20,0,10,0,Lobby 1,Semifinals,12.0,3.0,12.0,3.0
19.0,Neko Arc,6,12,0,7,2,17,0,20,0,Lobby 1,Semifinals,20.0,0.0,20.0,0.0
20.0,BBB,3,20,1,12,0,18,0,17,1,Lobby 1,Semifinals,18.0,0.0,18.0,0.0
1.0,WING,75,11,1,6,6,2,12,2,10,Lobby 2,Semifinals,8.0,5.0,3.0,10.0
2.0,MH,63,2,5,1,9,18,0,14,0,Lobby 2,Semifinals,1.0,12.0,16.0,3.0
3.0,TRP,55,6,5,19,0,15,5,6,6,Lobby 2,Semifinals,11.0,5.0,1.0,14.0
4.0,SHEESH,43,17,0,15,1,1,11,3,6,Lobby 2,Semifinals,17.0,0.0,9.0,3.0
5.0,AST,42,1,14,20,1,16,3,10,3,Lobby 2,Semifinals,16.0,0.0,10.0,5.0
6.0,RT,42,12,1,2,3,12,1,1,9,Lobby 2,Semifinals,13.0,3.0,13.0,0.0
7.0,RDM,41,10,3,9,3,3,9,12,2,Lobby 2,Semifinals,19.0,0.0,5.0,8.0
8.0,Guppies,32,4,4,12,3,7,2,18,0,Lobby 2,Semifinals,20.0,0.0,2.0,5.0
9.0,AE,31,7,4,5,7,8,3,7,1,Lobby 2,Semifinals,14.0,0.0,7.0,0.0
10.0,UNDOGS,31,9,3,18,0,10,1,15,3,Lobby 2,Semifinals,2.0,4.0,4.0,1.0
11.0,SKSQ,30,18,0,14,4,9,4,16,2,Lobby 2,Semifinals,3.0,9.0,15.0,0.0
12.0,ASUR,29,8,2,16,0,4,6,5,5,Lobby 2,Semifinals,10.0,2.0,18.0,1.0
13.0,CBM,29,5,5,10,3,19,0,9,4,Lobby 2,Semifinals,9.0,3.0,6.0,1.0
14.0,HC,29,15,0,3,7,5,0,8,1,Lobby 2,Semifinals,7.0,0.0,8.0,2.0
15.0,HVND,27,19,0,7,3,6,2,11,1,Lobby 2,Semifinals,4.0,8.0,12.0,0.0
16.0,VOID,24,3,5,8,0,14,0,19,0,Lobby 2,Semifinals,5.0,4.0,14.0,0.0
17.0,YFP,19,16,3,13,3,13,2,4,2,Lobby 2,Semifinals,15.0,0.0,11.0,0.0
18.0,ShameAssist,13,14,0,4,1,11,0,20,0,Lobby 2,Semifinals,12.0,1.0,17.0,3.0
19.0,BRB,7,13,2,17,0,17,0,13,0,Lobby 2,Semifinals,6.0,0.0,19.0,0.0
20.0,Lyfe,1,20,0,11,0,20,0,17,0,Lobby 2,Semifinals,18.0,0.0,20.0,0.0
1.0,WING,77,18,0,1,18,2,10,18,0,Lobby 1,Finals,4.0,3.0,1.0,8.0
2.0,TRP,67,8,5,9,8,1,9,15,0,Lobby 1,Finals,3.0,3.0,2.0,9.0
3.0,MH,61,7,6,16,3,3,6,8,7,Lobby 1,Finals,2.0,7.0,5.0,7.0
4.0,SHEESH,54,2,5,2,1,10,1,14,0,Lobby 1,Finals,1.0,8.0,6.0,3.0
5.0,Guppies,37,13,3,8,9,17,0,3,8,Lobby 1,Finals,6.0,2.0,14.0,1.0
