Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby,Round,P.4,K.4,P.5,K.5,Split
3.0,CHILL,53,20,0,13,0,16,0,1,5,Lobby 1,Finals,5.0,4.0,1.0,15.0,Split_2
4.0,Horizon,47,2,9,11,2,8,2,7,0,Lobby 1,Finals,2.0,6.0,15.0,3.0,Split_2
5.0,AIC WIBU,44,9,4,2,3,14,3,2,8,Lobby 1,Finals,11.0,0.0,5.0,0.0,Split_2
6.0,JET,44,8,4,4,5,18,0,14,1,Lobby 1,Finals,1.0,6.0,3.0,1.0,Split_2
7.0,JKs,41,11,3,9,3,3,7,11,1,Lobby 1,Finals,10.0,4.0,8.0,8.0,Split_2
8.0,姐妹花,38,17,0,19,0,1,8,4,2,Lobby 1,Finals,9.0,3.0,10.0,4.0,Split_2
9.0,HAKA,35,5,3,10,3,5,5,8,2,Lobby 1,Finals,8.0,8.0,18.0,0.0,Split_2
10.0,Chonky Bees,29,16,2,3,2,7,4,6,4,Lobby 1,Finals,6.0,0.0,12.0,0.0,Split_2
11.0,CR4KD,26,10,3,12,0,6,9,9,1,Lobby 1,Finals,14.0,3.0,13.0,0.0,Split_2
12.0,AmK,25,13,1,5,8,2,2,19,0,Lobby 1,Finals,16.0,0.0,17.0,0.0,Split_2
13.0,Phantom,24,3,2,14,0,12,0,5,4,Lobby 1,Finals,19.0,0.0,6.0,2.0,Split_2
14.0,END2,20,14,4,18,1,19,0,17,5,Lobby 1,Finals,17.0,4.0,14.0,4.0,Split_2
15.0,DRG,19,7,0,17,0,4,2,12,1,Lobby 1,Finals,12.0,0.0,4.0,1.0,Split_2
16.0,WARTX,17,18,0,6,0,9,2,15,0,Lobby 1,Finals,18.0,0.0,7.0,6.0,Split_2
17.0,MXT,16,19,2,7,6,10,3,20,0,Lobby 1,Finals,20.0,0.0,19.0,0.0,Split_2
18.0,Lowkey,13,6,0,16,1,15,1,13,3,Lobby 1,Finals,13.0,1.0,11.0,0.0,Split_2
19.0,SXT,12,12,0,20,0,20,0,18,2,Lobby 1,Finals,7.0,4.0,9.0,0.0,Split_2
20.0,NOPLAY2,11,15,1,15,3,11,1,16,0,Lobby 1,Finals,15.0,2.0,16.0,0.0,Split_2
1.0,AVG,71,1,19,6,10,3,6,4,9,Lobby 1,Quarterfinals,,,,,Split_2
2.0,KMF,46,2,7,11,5,5,13,12,6,Lobby 1,Quarterfinals,,,,,Split_2
3.0,Bots,42,6,7,3,1,1,8,13,3,Lobby 1,Quarterfinals,,,,,Split_2
4.0,HAKA,41,4,2,13,7,4,8,2,4,Lobby 1,Quarterfinals,,,,,Split_2
5.0,Lowkey,38,9,2,1,8,2,3,8,0,Lobby 1,Quarterfinals,,,,,Split_2
6.0,INX,35,8,1,8,1,6,1,1,13,Lobby 1,Quarterfinals,,,,,Split_2
7.0,REIGN,25,3,3,10,3,8,3,9,3,Lobby 1,Quarterfinals,,,,,Split_2
8.0,Sanity,24,13,0,2,6,18,0,5,4,Lobby 1,Quarterfinals,,,,,Split_2
9.0,Juiced,18,5,3,7,1,14,2,7,1,Lobby 1,Quarterfinals,,,,,Split_2
10.0,Systematic,17,10,2,5,5,11,0,10,1,Lobby 1,Quarterfinals,,,,,Split_2
11.0,Chonky Bees,16,18,3,18,0,9,5,6,3,Lobby 1,Quarterfinals,,,,,Split_2
12.0,CHAWDOY,10,19,0,16,0,10,0,3,1,Lobby 1,Quarterfinals,,,,,Split_2
13.0,GVG,9,7,3,14,1,15,0,0,0,Lobby 1,Quarterfinals,,,,,Split_2
14.0,LGC,8,16,0,4,1,16,1,15,0,Lobby 1,Quarterfinals,,,,,Split_2
15.0,FRJ,6,12,0,17,1,7,0,14,0,Lobby 1,Quarterfinals,,,,,Split_2
16.0,NOPLAY2,5,11,0,15,0,17,3,16,0,Lobby 1,Quarterfinals,,,,,Split_2
17.0,Monkey Predator,5,15,0,9,0,12,0,11,0,Lobby 1,Quarterfinals,,,,,Split_2
18.0,SLA,3,14,0,19,0,13,1,17,0,Lobby 1,Quarterfinals,,,,,Split_2
19.0,S2N,1,17,0,12,0,19,0,0,0,Lobby 1,Quarterfinals,,,,,Split_2
1.0,GSUB,42,0,0,12,3,15,3,1,22,Lobby 2,Quarterfinals,,,,,Split_2
2.0,MAGL,40,1,12,8,0,5,8,12,1,Lobby 2,Quarterfinals,,,,,Split_2
3.0,ARENA,39,18,0,3,14,4,0,5,9,Lobby 2,Quarterfinals,,,,,Split_2
4.0,KYG,38,7,9,1,13,20,0,13,0,Lobby 2,Quarterfinals,,,,,Split_2
5.0,Phantom,26,17,0,13,0,2,7,3,2,Lobby 2,Quarterfinals,,,,,Split_2
6.0,END2,24,12,4,7,8,9,1,6,2,Lobby 2,Quarterfinals,,,,,Split_2
7.0,COOKIE,23,3,3,9,1,18,1,7,6,Lobby 2,Quarterfinals,,,,,Split_2
8.0,JET,23,16,2,5,1,3,3,8,4,Lobby 2,Quarterfinals,,,,,Split_2
9.0,okok,22,8,6,18,0,16,1,2,4,Lobby 2,Quarterfinals,,,,,Split_2
10.0,OGL,20,2,2,4,3,17,0,11,0,Lobby 2,Quarterfinals,,,,,Split_2
