Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby,Round,P.4,K.4,P.5,K.5,Split
4.0,N1A,65,3,8,4,3,4,8,8,8,Lobby 1,Finals,19.0,3.0,4.0,11.0,Split_2
5.0,N2H,55,7,3,1,6,6,4,15,3,Lobby 1,Finals,2.0,4.0,9.0,5.0,Split_2
6.0,JDT,43,2,4,8,3,8,1,5,7,Lobby 1,Finals,3.0,3.0,11.0,0.0,Split_2
7.0,LFTSF,40,1,13,17,4,9,1,16,0,Lobby 1,Finals,8.0,1.0,6.0,2.0,Split_2
8.0,TU,39,19,0,3,0,3,5,2,4,Lobby 1,Finals,7.0,0.0,8.0,2.0,Split_2
9.0,SYTH,28,16,0,20,0,17,1,17,0,Lobby 1,Finals,4.0,4.0,1.0,6.0,Split_2
10.0,CRW,24,10,0,19,0,14,0,9,1,Lobby 1,Finals,14.0,0.0,2.0,8.0,Split_2
11.0,NT,23,11,3,16,0,7,4,19,0,Lobby 1,Finals,9.0,3.0,5.0,3.0,Split_2
12.0,VEX,22,18,0,13,0,2,3,4,4,Lobby 1,Finals,18.0,0.0,17.0,0.0,Split_2
13.0,ICHC,20,8,6,6,3,20,0,12,1,Lobby 1,Finals,13.0,0.0,18.0,3.0,Split_2
14.0,Streamer,20,14,2,11,0,12,3,6,3,Lobby 1,Finals,16.0,0.0,15.0,5.0,Split_2
15.0,NEMO,20,5,0,18,0,16,0,3,2,Lobby 1,Finals,6.0,0.0,7.0,1.0,Split_2
16.0,HGC,18,6,5,9,1,11,1,18,0,Lobby 1,Finals,15.0,3.0,13.0,0.0,Split_2
17.0,ORC,14,9,1,15,0,13,1,7,2,Lobby 1,Finals,11.0,2.0,16.0,0.0,Split_2
18.0,ETOLS,14,15,0,5,5,15,0,13,0,Lobby 1,Finals,12.0,0.0,12.0,0.0,Split_2
19.0,NVS,8,17,0,7,3,18,0,14,0,Lobby 1,Finals,17.0,0.0,14.0,0.0,Split_2
20.0,FAFAFA,6,20,0,14,5,19,0,20,0,Lobby 1,Finals,20.0,0.0,20.0,0.0,Split_2
1.0,NES,42,9,3,2,10,6,7,7,5,Lobby 1,Quarterfinals,,,,,Split_2
2.0,ETOLS,42,1,5,5,6,12,0,5,10,Lobby 1,Quarterfinals,,,,,Split_2
3.0,BMY,40,2,5,3,6,9,0,3,4,Lobby 1,Quarterfinals,,,,,Split_2
4.0,NAT,35,12,0,1,7,3,5,10,1,Lobby 1,Quarterfinals,,,,,Split_2
5.0,DCS,31,10,3,8,2,2,8,8,3,Lobby 1,Quarterfinals,,,,,Split_2
6.0,TU,31,3,0,10,0,5,1,1,5,Lobby 1,Quarterfinals,,,,,Split_2
7.0,GEMI,27,7,6,13,0,7,2,2,3,Lobby 1,Quarterfinals,,,,,Split_2
