C vs D StandingsPlacements and killsPoints,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby,B vs D StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints
,PRDX,22,7,3,12,0,12,0,5,5,14,3,15,0,Round 2,,,,15.0,
,FSN,21,10,0,16,0,14,2,6,4,8,2,10,3,Round 2,,,,16.0,
,OF,19,9,2,10,1,5,3,12,2,20,0,8,0,Round 2,,,,17.0,
,ElemenT,18,18,1,11,3,8,3,10,3,19,3,20,0,Round 2,,,,18.0,
,Duty calls,16,13,0,18,0,18,0,18,2,11,0,3,5,Round 2,,,,19.0,
,NG,9,8,3,14,0,16,0,19,0,18,0,14,2,Round 2,,,,20.0,
,SNG,71,3,12,14,0,4,12,4,5,7,0,1,9,Round 3,,,,,1.0
,DFX,70,18,3,4,7,3,8,3,5,2,3,4,11,Round 3,,,,,2.0
,ELV,59,8,8,6,2,11,4,6,2,1,13,6,6,Round 3,,,,,3.0
,FL,53,15,3,12,3,8,4,2,11,4,11,8,1,Round 3,,,,,4.0
,FSN,51,2,7,1,8,13,0,14,0,14,1,2,2,Round 3,,,,,5.0
,DC,47,1,9,9,0,20,1,12,0,3,12,15,2,Round 3,,,,,6.0
,ODK,44,19,0,5,5,16,1,1,13,6,2,13,3,Round 3,,,,,7.0
,PTD,42,5,1,2,10,1,4,9,0,19,0,16,0,Round 3,,,,,8.0
,TK,32,7,5,16,3,19,1,17,0,5,3,12,12,Round 3,,,,,9.0
,BRZ,29,4,3,7,7,7,5,18,2,20,0,14,0,Round 3,,,,,10.0
,INS,26,13,0,11,1,2,6,7,0,16,2,18,3,Round 3,,,,,11.0
,KZN,26,6,2,15,0,10,2,8,5,11,0,3,1,Round 3,,,,,12.0
,USB,24,16,0,3,2,5,4,10,3,12,1,17,0,Round 3,,,,,13.0
,OF,21,9,0,8,2,9,0,5,2,10,1,9,2,Round 3,,,,,14.0
,ElemenT,20,11,1,17,3,6,3,15,0,18,3,5,1,Round 3,,,,,15.0
,AIM,18,17,0,10,2,12,3,16,3,15,3,11,2,Round 3,,,,,16.0
,BHT,10,20,0,19,0,15,0,11,2,9,0,7,1,Round 3,,,,,17.0
,Natural Killer,9,10,1,13,1,18,0,19,0,13,1,10,0,Round 3,,,,,18.0
,NG,7,12,0,18,0,14,0,13,1,8,1,19,0,Round 3,,,,,19.0
,No Org,3,14,1,20,0,17,0,20,0,17,0,20,1,Round 3,,,,,20.0
1.0,MVP,74,3,2,9,3,11,0,1,15,1,9,3,4,Round 4,,,,,
2.0,BRT,70,9,4,16,3,1,10,5,12,7,3,2,8,Round 4,,,,,
3.0,LNW,62,4,1,15,2,10,6,3,1,4,5,1,15,Round 4,,,,,
4.0,TC,52,1,8,6,6,2,7,14,3,19,0,7,0,Round 4,,,,,
5.0,FNX,45,5,4,2,3,13,6,7,3,2,3,18,0,Round 4,,,,,
6.0,DYN,43,13,0,4,1,9,4,2,3,3,6,6,2,Round 4,,,,,
7.0,HRS,34,2,12,18,1,7,1,12,0,8,5,20,0,Round 4,,,,,
8.0,CIA,34,20,0,1,15,15,0,11,0,16,0,4,0,Round 4,,,,,
9.0,WILD,26,6,4,20,0,5,0,20,0,10,3,5,6,Round 4,,,,,
10.0,OMEGA,25,8,5,3,4,17,0,15,0,5,0,11,1,Round 4,,,,,
11.0,DGL,23,7,8,14,0,20,0,17,0,15,3,15,6,Round 4,,,,,
12.0,PRDX,23,17,3,5,2,14,3,6,4,13,0,9,0,Round 4,,,,,
13.0,SKC,23,10,0,10,3,6,4,10,0,6,4,16,0,Round 4,,,,,
14.0,SLU,22,12,0,17,2,19,0,4,3,12,5,10,3,Round 4,,,,,
15.0,SBK,21,19,0,8,2,3,5,13,0,17,3,17,1,Round 4,,,,,
16.0,Duty calls,20,15,2,13,2,8,9,19,2,20,1,19,0,Round 4,,,,,
17.0,PD,16,14,0,19,0,18,0,9,3,14,2,12,6,Round 4,,,,,
18.0,Slav Animals,16,11,0,11,5,16,0,8,3,9,1,14,0,Round 4,,,,,
19.0,As Misera,16,16,1,7,1,4,2,16,2,18,0,8,0,Round 4,,,,,
20.0,Love Egirls,5,18,0,12,0,12,0,18,0,11,0,13,1,Round 4,,,,,
,DFX,82,1,8,2,5,2,6,2,6,6,5,7,7,Round 5,1.0,,,,
,LNW,72,4,7,3,4,14,0,1,17,4,7,6,4,Round 5,2.0,,,,
,FL,66,11,4,17,2,6,4,10,1,1,11,1,14,Round 5,3.0,,,,
,FNX,60,7,6,1,9,9,4,13,5,3,2,5,5,Round 5,4.0,,,,
,PD,45,2,9,9,2,1,6,17,0,14,2,12,1,Round 5,5.0,,,,
,ELV,42,18,0,7,9,13,0,9,7,5,9,15,6,Round 5,6.0,,,,
,OMEGA,38,5,0,5,5,4,7,19,0,10,1,4,5,Round 5,7.0,,,,
,INS,38,14,0,18,0,3,9,12,0,2,3,3,1,Round 5,8.0,,,,
,As Misera,32,8,3,8,2,10,3,7,2,16,1,2,3,Round 5,9.0,,,,
,TK,27,17,2,4,8,15,0,14,5,13,0,13,3,Round 5,10.0,,,,
,USB,26,9,1,15,3,12,3,4,5,8,3,16,0,Round 5,11.0,,,,
,BRZ,26,3,4,10,0,16,0,3,3,9,0,17,1,Round 5,12.0,,,,
,BRT,23,6,1,15,3,7,3,16,3,11,0,9,3,Round 5,13.0,,,,
,CIA,18,10,1,19,1,5,5,8,0,12,2,19,0,Round 5,14.0,,,,
,HRS,18,16,0,13,0,8,1,5,2,7,3,8,0,Round 5,15.0,,,,
,PRDX,14,12,3,16,0,17,0,6,0,15,6,18,0,Round 5,16.0,,,,
,No Org,9,15,1,14,0,11,1,11,0,17,1,10,0,Round 5,17.0,,,,
,ODK,8,19,0,11,3,18,0,15,0,19,1,11,1,Round 5,18.0,,,,
,Duty calls,7,13,3,12,2,19,0,18,0,20,0,20,0,Round 5,19.0,,,,
,Natural Killer,2,20,0,20,0,20,0,20,0,18,0,14,1,Round 5,20.0,,,,
