Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby,Round,P.4,K.4,P.5,K.5,Split
5.0,XD,44,5,6,3,6,10,4,12,7,Lobby 1,Finals,18.0,2.0,13.0,4.0,Split_2
6.0,SNK,41,14,2,5,4,6,0,13,2,Lobby 1,Finals,7.0,7.0,2.0,5.0,Split_2
7.0,NIBL,40,7,6,7,5,11,2,7,0,Lobby 1,Finals,9.0,6.0,9.0,7.0,Split_2
8.0,Ratio,38,3,6,17,0,15,3,2,7,Lobby 1,Finals,6.0,2.0,16.0,0.0,Split_2
9.0,P4C,34,6,1,10,3,3,7,10,7,Lobby 1,Finals,13.0,1.0,18.0,0.0,Split_2
10.0,Gachi,31,4,4,11,5,4,3,16,0,Lobby 1,Finals,15.0,0.0,14.0,6.0,Split_2
11.0,SYND,30,18,0,15,3,13,8,4,2,Lobby 1,Finals,19.0,2.0,5.0,4.0,Split_2
12.0,POLSKA,28,2,8,9,1,17,0,19,0,Lobby 1,Finals,14.0,2.0,10.0,3.0,Split_2
13.0,BGTTS,25,9,4,13,0,8,0,5,7,Lobby 1,Finals,11.0,1.0,7.0,0.0,Split_2
14.0,Lost,24,19,0,18,0,2,3,14,0,Lobby 1,Finals,4.0,2.0,12.0,3.0,Split_2
15.0,UTFT,20,8,1,12,0,7,0,8,3,Lobby 1,Finals,10.0,3.0,6.0,0.0,Split_2
16.0,NBB,15,10,0,6,8,19,0,18,0,Lobby 1,Finals,8.0,0.0,17.0,0.0,Split_2
17.0,ARIS,15,16,0,19,0,14,0,11,0,Lobby 1,Finals,12.0,1.0,4.0,6.0,Split_2
18.0,BFG,15,11,2,14,0,5,2,15,0,Lobby 1,Finals,5.0,0.0,19.0,0.0,Split_2
19.0,LPOG,13,12,0,4,3,12,1,17,0,Lobby 1,Finals,17.0,0.0,15.0,1.0,Split_2
20.0,ZBW,0,0,0,0,0,0,0,0,0,Lobby 1,Finals,0.0,0.0,0.0,0.0,Split_2
1.0,ZBW,44,6,4,4,10,19,0,2,13,Lobby 1,Quarterfinals,,,,,Split_2
2.0,BW,41,1,11,6,3,5,1,14,6,Lobby 1,Quarterfinals,,,,,Split_2
3.0,HYR,41,2,8,7,0,14,2,3,11,Lobby 1,Quarterfinals,,,,,Split_2
4.0,YK,39,10,4,1,15,13,0,8,3,Lobby 1,Quarterfinals,,,,,Split_2
5.0,POLSKA,36,7,10,2,5,12,4,6,1,Lobby 1,Quarterfinals,,,,,Split_2
6.0,BBG,35,5,7,3,8,6,3,13,2,Lobby 1,Quarterfinals,,,,,Split_2
7.0,BGTTS,31,4,4,18,0,3,10,7,2,Lobby 1,Quarterfinals,,,,,Split_2
8.0,ILL,29,16,0,12,3,1,12,15,0,Lobby 1,Quarterfinals,,,,,Split_2
9.0,THROW,28,18,1,11,4,4,1,1,4,Lobby 1,Quarterfinals,,,,,Split_2
10.0,ROA,24,3,2,8,4,10,1,5,2,Lobby 1,Quarterfinals,,,,,Split_2
11.0,SSK,23,20,0,16,1,2,13,19,0,Lobby 1,Quarterfinals,,,,,Split_2
12.0,KRY,18,8,1,10,0,11,1,4,6,Lobby 1,Quarterfinals,,,,,Split_2
13.0,ZLSTLS,13,9,0,5,1,7,3,18,0,Lobby 1,Quarterfinals,,,,,Split_2
14.0,ANMS,12,12,5,9,1,18,0,9,1,Lobby 1,Quarterfinals,,,,,Split_2
15.0,AMRZ,8,15,1,14,0,17,3,12,1,Lobby 1,Quarterfinals,,,,,Split_2
16.0,FFF,7,19,0,20,0,9,3,16,2,Lobby 1,Quarterfinals,,,,,Split_2
17.0,DK-V,6,20,0,13,0,15,0,10,2,Lobby 1,Quarterfinals,,,,,Split_2
18.0,Sytex,6,11,0,19,2,8,0,11,0,Lobby 1,Quarterfinals,,,,,Split_2
19.0,Veloxity,3,15,0,15,1,20,0,17,0,Lobby 1,Quarterfinals,,,,,Split_2
20.0,nerv,1,13,0,17,0,16,0,20,0,Lobby 1,Quarterfinals,,,,,Split_2
1.0,SPPI,64,6,5,5,6,1,11,1,11,Lobby 2,Quarterfinals,,,,,Split_2
2.0,SNK,54,5,6,1,16,4,3,4,3,Lobby 2,Quarterfinals,,,,,Split_2
3.0,SZN,49,13,1,6,0,2,13,2,13,Lobby 2,Quarterfinals,,,,,Split_2
4.0,NIBL,47,2,7,11,10,3,3,3,3,Lobby 2,Quarterfinals,,,,,Split_2
5.0,KYKLOS,32,7,1,2,3,6,5,6,5,Lobby 2,Quarterfinals,,,,,Split_2
6.0,TTG,32,1,10,3,3,17,0,17,0,Lobby 2,Quarterfinals,,,,,Split_2
7.0,PPGIS,23,4,3,13,0,7,4,7,4,Lobby 2,Quarterfinals,,,,,Split_2
8.0,SLAP,19,11,2,7,5,9,2,9,2,Lobby 2,Quarterfinals,,,,,Split_2
9.0,SMG,17,15,0,19,0,5,4,5,4,Lobby 2,Quarterfinals,,,,,Split_2
10.0,TF2P,17,3,3,14,0,8,1,8,1,Lobby 2,Quarterfinals,,,,,Split_2
11.0,3FR,13,8,5,16,0,16,3,16,3,Lobby 2,Quarterfinals,,,,,Split_2
12.0,SMP Nation,13,14,2,4,5,19,0,19,0,Lobby 2,Quarterfinals,,,,,Split_2
13.0,PS_Esport,11,18,0,9,1,11,3,11,3,Lobby 2,Quarterfinals,,,,,Split_2
14.0,ARIS,11,10,3,15,3,12,0,12,0,Lobby 2,Quarterfinals,,,,,Split_2
15.0,Tartau,7,12,6,20,0,20,0,20,0,Lobby 2,Quarterfinals,,,,,Split_2
16.0,ALFLP,7,20,0,8,1,10,0,10,0,Lobby 2,Quarterfinals,,,,,Split_2
17.0,BB,6,9,0,10,0,14,0,14,0,Lobby 2,Quarterfinals,,,,,Split_2
18.0,MG,4,16,0,12,1,13,0,13,0,Lobby 2,Quarterfinals,,,,,Split_2
19.0,Hangover,2,19,0,18,0,15,0,15,0,Lobby 2,Quarterfinals,,,,,Split_2
20.0,SKS,0,17,0,17,0,18,0,18,0,Lobby 2,Quarterfinals,,,,,Split_2
1.0,AMOG,53,9,3,9,1,4,11,1,17,Lobby 3,Quarterfinals,,,,,Split_2
2.0,TNM,53,2,7,3,1,2,5,2,6,Lobby 3,Quarterfinals,,,,,Split_2
3.0,drain,43,1,7,2,6,11,3,10,3,Lobby 3,Quarterfinals,,,,,Split_2
4.0,CG,36,4,3,1,12,8,0,15,1,Lobby 3,Quarterfinals,,,,,Split_2
5.0,P4C,33,19,1,4,17,15,9,20,0,Lobby 3,Quarterfinals,,,,,Split_2
6.0,UTFT,29,8,2,11,4,1,4,9,2,Lobby 3,Quarterfinals,,,,,Split_2
7.0,ORCL,27,5,5,7,1,10,0,5,8,Lobby 3,Quarterfinals,,,,,Split_2
8.0,TTD,23,20,0,8,1,3,5,3,1,Lobby 3,Quarterfinals,,,,,Split_2
9.0,NCJA,20,3,3,5,1,14,0,6,1,Lobby 3,Quarterfinals,,,,,Split_2
10.0,VNX,19,12,4,16,5,13,2,4,1,Lobby 3,Quarterfinals,,,,,Split_2
11.0,444,17,7,4,6,2,12,0,13,3,Lobby 3,Quarterfinals,,,,,Split_2
12.0,HuB eSport,15,17,3,19,0,9,7,7,0,Lobby 3,Quarterfinals,,,,,Split_2
13.0,OSG,15,6,3,13,0,7,1,11,3,Lobby 3,Quarterfinals,,,,,Split_2
14.0,Broken,13,14,3,14,0,6,1,12,3,Lobby 3,Quarterfinals,,,,,Split_2
15.0,BSE,11,11,0,15,2,17,0,8,5,Lobby 3,Quarterfinals,,,,,Split_2
16.0,2DOG,11,10,1,18,0,5,4,17,0,Lobby 3,Quarterfinals,,,,,Split_2
17.0,JAN,9,13,3,10,3,20,0,19,0,Lobby 3,Quarterfinals,,,,,Split_2
18.0,SNUS,6,15,1,12,3,16,0,16,0,Lobby 3,Quarterfinals,,,,,Split_2
19.0,GRGR,4,16,0,17,0,18,0,14,3,Lobby 3,Quarterfinals,,,,,Split_2
20.0,4F,2,18,2,20,0,19,0,18,0,Lobby 3,Quarterfinals,,,,,Split_2
1.0,EP,76,1,12,1,10,16,3,1,15,Lobby 4,Quarterfinals,,,,,Split_2
2.0,Ratio,60,3,9,3,6,3,4,2,11,Lobby 4,Quarterfinals,,,,,Split_2
3.0,XD,47,2,9,19,0,1,9,4,3,Lobby 4,Quarterfinals,,,,,Split_2
4.0,b0ts,36,6,4,8,7,4,8,7,4,Lobby 4,Quarterfinals,,,,,Split_2
5.0,Reset,30,7,2,7,4,8,1,5,11,Lobby 4,Quarterfinals,,,,,Split_2
6.0,BFG,28,10,1,2,11,7,2,16,0,Lobby 4,Quarterfinals,,,,,Split_2
7.0,TOM,23,15,0,14,0,2,10,11,1,Lobby 4,Quarterfinals,,,,,Split_2
8.0,LPOG,22,5,4,5,5,17,3,10,0,Lobby 4,Quarterfinals,,,,,Split_2
9.0,DNMK,18,9,5,6,2,10,2,13,1,Lobby 4,Quarterfinals,,,,,Split_2
10.0,Gachi,17,8,2,9,5,19,0,8,4,Lobby 4,Quarterfinals,,,,,Split_2
11.0,CPL,17,4,0,4,2,13,4,20,0,Lobby 4,Quarterfinals,,,,,Split_2
12.0,Dark Synergy,11,16,0,13,1,5,1,6,1,Lobby 4,Quarterfinals,,,,,Split_2
13.0,PATHD,10,18,1,20,0,9,6,12,0,Lobby 4,Quarterfinals,,,,,Split_2
14.0,GMP,10,11,0,18,0,18,0,3,2,Lobby 4,Quarterfinals,,,,,Split_2
15.0,NBB,7,19,2,16,2,12,0,9,0,Lobby 4,Quarterfinals,,,,,Split_2
16.0,BEO,7,14,1,11,1,15,1,14,0,Lobby 4,Quarterfinals,,,,,Split_2
17.0,White Clover,7,20,0,10,0,6,2,18,0,Lobby 4,Quarterfinals,,,,,Split_2
18.0,Slow,5,13,0,17,1,20,0,19,3,Lobby 4,Quarterfinals,,,,,Split_2
19.0,240p,3,12,0,15,0,11,0,17,0,Lobby 4,Quarterfinals,,,,,Split_2
20.0,ORION,3,17,0,12,0,14,0,15,0,Lobby 4,Quarterfinals,,,,,Split_2
1.0,POLSKA,70,5,8,19,0,2,4,1,6,Lobby 1,Semifinals,1.0,12.0,13.0,2.0,Split_2
2.0,SPPI,48,8,6,16,5,7,2,4,3,Lobby 1,Semifinals,14.0,0.0,1.0,9.0,Split_2
3.0,SMG,48,2,8,2,3,4,5,15,3,Lobby 1,Semifinals,12.0,2.0,8.0,0.0,Split_2
4.0,SNK,45,13,1,1,7,13,0,2,8,Lobby 1,Semifinals,9.0,0.0,14.0,3.0,Split_2
5.0,SLAP,43,17,0,9,6,3,16,13,2,Lobby 1,Semifinals,13.0,3.0,12.0,4.0,Split_2
6.0,TTG,39,16,2,5,7,11,1,7,2,Lobby 1,Semifinals,15.0,0.0,2.0,9.0,Split_2
7.0,SZN,39,12,4,8,1,1,11,17,1,Lobby 1,Semifinals,17.0,0.0,5.0,3.0,Split_2
8.0,YK,38,1,8,10,3,8,6,10,3,Lobby 1,Semifinals,19.0,0.0,20.0,0.0,Split_2
9.0,ZBW,37,11,1,6,5,15,1,6,2,Lobby 1,Semifinals,2.0,7.0,7.0,1.0,Split_2
10.0,KYKLOS,33,15,0,11,0,16,0,3,9,Lobby 1,Semifinals,3.0,1.0,4.0,2.0,Split_2
11.0,HYR,32,20,0,13,7,9,5,11,3,Lobby 1,Semifinals,6.0,7.0,9.0,1.0,Split_2
12.0,BBG,28,19,0,20,1,17,1,12,10,Lobby 1,Semifinals,16.0,1.0,6.0,11.0,Split_2
13.0,BW,27,6,7,3,4,20,0,20,0,Lobby 1,Semifinals,11.0,4.0,15.0,0.0,Split_2
14.0,3FR,26,4,4,7,0,6,5,18,0,Lobby 1,Semifinals,8.0,2.0,10.0,0.0,Split_2
15.0,ILL,26,18,0,15,0,12,1,5,2,Lobby 1,Semifinals,7.0,2.0,3.0,5.0,Split_2
16.0,NIBL,24,9,1,14,0,10,1,14,0,Lobby 1,Semifinals,4.0,9.0,11.0,1.0,Split_2
17.0,THROW,22,3,0,12,1,19,0,16,1,Lobby 1,Semifinals,5.0,8.0,18.0,0.0,Split_2
18.0,ROA,22,7,3,4,7,5,0,19,0,Lobby 1,Semifinals,18.0,0.0,17.0,0.0,Split_2
19.0,BGTTS,19,14,2,17,0,14,1,8,3,Lobby 1,Semifinals,10.0,2.0,16.0,5.0,Split_2
20.0,PPGIS,4,10,0,18,0,18,0,9,0,Lobby 1,Semifinals,20.0,0.0,19.0,0.0,Split_2
1.0,b0ts,89,17,0,2,5,1,11,1,10,Lobby 2,Semifinals,5.0,6.0,1.0,8.0,Split_2
2.0,XD,64,1,14,9,3,18,1,18,0,Lobby 2,Semifinals,1.0,18.0,13.0,1.0,Split_2
3.0,Ratio,55,6,2,5,3,3,6,3,6,Lobby 2,Semifinals,4.0,2.0,4.0,5.0,Split_2
4.0,CG,53,10,0,1,19,11,4,6,1,Lobby 2,Semifinals,14.0,6.0,11.0,3.0,Split_2
