Standings,Team.1,Total,Lobby
5.0,Aisle 5,34,Lobby 5
6.0,BQB,33,Lobby 5
7.0,NM,25,Lobby 5
8.0,Tijuana Piranas,24,Lobby 5
9.0,1 vs Lobby,23,Lobby 5
10.0,Coconut Island,21,Lobby 5
11.0,2 Zoomers1boomer,21,Lobby 5
12.0,The Big 3,20,Lobby 5
13.0,NVKT,20,Lobby 5
14.0,NightMare Red,12,Lobby 5
15.0,Distruttori Team,10,Lobby 5
16.0,Lorax,9,Lobby 5
17.0,Alliance Esports,8,Lobby 5
18.0,Exoterran Y,6,Lobby 5
19.0,MAP,2,Lobby 5
20.0,Savage Misfits,0,Lobby 5
1.0,Sussy Bakas,78,Lobby 6
2.0,NEAN,54,Lobby 6
3.0,TPM,43,Lobby 6
4.0,AM,34,Lobby 6
5.0,Unlucky,32,Lobby 6
6.0,RT,28,Lobby 6
7.0,LF,25,Lobby 6
8.0,FROG,24,Lobby 6
9.0,Los Hefes,23,Lobby 6
10.0,GNR,21,Lobby 6
11.0,En corto Garmers,17,Lobby 6
12.0,JIN,16,Lobby 6
13.0,TAG NA,15,Lobby 6
14.0,trippinoncables,9,Lobby 6
15.0,Dunk Squad,9,Lobby 6
16.0,Laggy 'n Rollers,8,Lobby 6
17.0,Shibby,6,Lobby 6
18.0,Swanky Boys,4,Lobby 6
19.0,Lethal Villains,4,Lobby 6
20.0,Corruption,2,Lobby 6
1.0,2B1C,80,Lobby 7
2.0,Content Squad,57,Lobby 7
3.0,Dark Matter,36,Lobby 7
4.0,Yess,30,Lobby 7
5.0,LNT,30,Lobby 7
6.0,WASH,29,Lobby 7
7.0,BOT,25,Lobby 7
8.0,Filii Martis,24,Lobby 7
9.0,pub stars,22,Lobby 7
10.0,Wonderboys,20,Lobby 7
11.0,JOYBOYS,18,Lobby 7
12.0,Blockbuster,16,Lobby 7
13.0,ForcesGG,14,Lobby 7
14.0,Plimbo,12,Lobby 7
15.0,Movement Temple,11,Lobby 7
16.0,RISK,10,Lobby 7
17.0,TeamDreams,5,Lobby 7
18.0,UNDD,4,Lobby 7
19.0,Hold The Door,3,Lobby 7
20.0,Team Name,1,Lobby 7
1.0,SUP,81,Lobby 8
2.0,BAD,58,Lobby 8
3.0,Unsigned Talent,55,Lobby 8
4.0,OrgSignUs,27,Lobby 8
5.0,IFE,26,Lobby 8
6.0,Specter,24,Lobby 8
7.0,MoJo,23,Lobby 8
8.0,Blood Sport,23,Lobby 8
9.0,Raised By Wolves,21,Lobby 8
10.0,UORG,21,Lobby 8
11.0,GearsKidsonApex,21,Lobby 8
12.0,Jacked & Tan,21,Lobby 8
13.0,C K 8,17,Lobby 8
14.0,Black Panthers,14,Lobby 8
15.0,VHS,9,Lobby 8
16.0,Intertainers,4,Lobby 8
17.0,G7 Legends,2,Lobby 8
18.0,WPH,2,Lobby 8
19.0,Elation Esports,1,Lobby 8
20.0,Adonitology,0,Lobby 8
