C vs D StandingsPlacements and killsPoints,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby,B vs D StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints
,STK,41,2,7,17,0,5,2,4,8,15,0,6,2,Round 6,,4.0,,,
,PK,40,6,2,6,1,1,13,18,2,19,0,13,3,Round 6,,5.0,,,
,DNZ,40,15,1,5,1,9,0,8,6,1,9,11,1,Round 6,,6.0,,,
,DF,40,3,7,9,5,14,3,9,0,13,2,7,7,Round 6,,7.0,,,
,KAK,40,10,6,7,8,8,3,15,0,10,1,3,5,Round 6,,8.0,,,
,MON,39,12,4,1,7,7,1,11,0,5,6,16,0,Round 6,,9.0,,,
,WGG,38,14,2,19,0,4,8,13,0,7,2,2,7,Round 6,,10.0,,,
,STB,38,18,1,16,3,2,4,10,1,8,9,9,5,Round 6,,11.0,,,
,MDY,34,7,0,12,4,10,3,6,15,17,3,20,0,Round 6,,12.0,,,
,TX,33,1,8,11,1,18,0,7,2,9,1,18,3,Round 6,,13.0,,,
,BRP,33,5,3,10,3,11,1,3,3,18,2,5,3,Round 6,,14.0,,,
,RET,28,17,2,4,4,6,8,16,3,11,0,14,1,Round 6,,15.0,,,
,WHIZ,20,20,0,14,3,20,0,12,0,4,9,12,0,Round 6,,16.0,,,
,AMG TW,16,11,5,15,3,17,0,19,0,6,2,15,0,Round 6,,17.0,,,
,PG,11,16,0,13,1,12,0,14,0,12,0,8,4,Round 6,,18.0,,,
,RL.XV,8,8,3,18,0,16,1,20,0,20,0,10,0,Round 6,,19.0,,,
,Azure,6,19,0,20,0,19,3,17,0,16,0,17,3,Round 6,,20.0,,,
,RIG,75,8,4,2,13,13,5,3,8,1,7,7,4,Round 7,,,1.0,,
,MBF,53,19,0,10,5,3,6,11,5,3,6,3,7,Round 7,,,2.0,,
,WAT,52,12,3,5,4,11,1,4,3,8,3,1,13,Round 7,,,3.0,,
,NXL,47,11,4,9,6,18,0,1,14,19,3,12,4,Round 7,,,4.0,,
,BRP,47,4,3,4,0,2,8,19,0,4,8,6,1,Round 7,,,5.0,,
,Estrell,43,1,11,12,0,9,0,2,3,11,2,10,0,Round 7,,,6.0,,
,ITR,40,7,0,1,9,6,1,6,0,6,1,15,4,Round 7,,,7.0,,
,PG,38,15,0,7,5,5,7,8,2,5,3,5,3,Round 7,,,8.0,,
,M2M,36,3,10,6,3,19,0,9,2,7,5,19,1,Round 7,,,9.0,,
,RL.XV,32,2,9,17,0,12,0,20,0,12,1,4,6,Round 7,,,10.0,,
,WHIZ,32,17,0,15,0,7,1,7,2,10,6,2,5,Round 7,,,11.0,,
,MDY,31,9,3,11,2,4,5,10,5,17,0,8,4,Round 7,,,12.0,,
,STB,31,5,2,18,0,16,3,14,0,2,8,9,2,Round 7,,,13.0,,
,DF,29,13,2,16,0,1,10,12,2,15,0,16,0,Round 7,,,14.0,,
,PHN,23,10,2,13,0,17,3,5,8,9,1,17,0,Round 7,,,15.0,,
,MON,13,16,0,8,3,10,3,16,0,16,0,11,2,Round 7,,,16.0,,
,EVO BERZ,13,14,0,14,0,8,2,17,3,14,1,14,1,Round 7,,,17.0,,
,Xenomorph,13,20,0,3,4,15,0,15,0,18,0,20,0,Round 7,,,18.0,,
,Pavlova,9,6,5,20,0,14,0,18,0,20,0,18,0,Round 7,,,19.0,,
,GS,8,18,0,19,0,20,1,13,0,13,1,13,3,Round 7,,,20.0,,
,PK,67,7,1,5,3,15,0,1,10,7,4,1,14,Round 8,,,,1.0,
,RET,57,6,10,1,6,11,2,13,9,10,4,4,2,Round 8,,,,2.0,
,STK,56,16,3,17,0,3,10,7,1,1,12,6,5,Round 8,,,,3.0,
,O3,54,8,0,8,0,1,15,4,4,9,9,7,0,Round 8,,,,4.0,
,BRGR,53,1,12,4,0,6,3,12,1,4,7,5,0,Round 8,,,,5.0,
,EXO,47,11,2,9,3,8,3,3,10,11,1,2,6,Round 8,,,,6.0,
,KAK,44,4,11,10,7,14,0,10,4,5,5,9,1,Round 8,,,,7.0,
,TX,43,5,7,3,10,18,3,14,0,8,0,15,8,Round 8,,,,8.0,
,ATH,39,13,0,2,9,4,8,11,1,17,0,10,3,Round 8,,,,9.0,
,LU,32,18,0,7,6,5,4,6,2,12,2,11,6,Round 8,,,,10.0,
,DML,31,9,3,13,0,9,1,5,7,18,0,3,4,Round 8,,,,11.0,
,404,30,3,0,11,0,2,2,2,0,20,0,12,1,Round 8,,,,12.0,
,INF,26,2,3,16,0,10,0,20,0,6,2,8,5,Round 8,,,,13.0,
,SNG,24,10,3,14,1,17,0,19,0,2,8,19,0,Round 8,,,,14.0,
,Magic,19,12,2,19,3,12,5,15,4,13,1,17,0,Round 8,,,,15.0,
,MBTN,13,14,0,6,4,16,0,18,2,14,0,20,2,Round 8,,,,16.0,
,PWLS,11,15,1,20,0,13,1,9,1,16,3,14,0,Round 8,,,,17.0,
,DNZ,10,17,0,15,3,19,0,8,2,15,0,13,0,Round 8,,,,18.0,
,AMG TW,10,19,0,18,0,20,0,16,0,3,3,16,0,Round 8,,,,19.0,
,Azure,4,20,0,12,0,7,0,17,0,19,0,18,0,Round 8,,,,20.0,
,STK,71,14,6,1,17,3,9,8,2,11,0,3,7,Round 9,,,,,1.0
,ATH,69,12,0,4,4,1,9,9,0,3,10,2,10,Round 9,,,,,2.0
,EXO,67,3,10,9,5,18,0,6,7,1,12,5,5,Round 9,,,,,3.0
,RIG,66,1,10,7,5,2,2,2,7,19,0,4,4,Round 9,,,,,4.0
,NXL,63,17,0,3,5,5,9,7,12,6,1,1,7,Round 9,,,,,5.0
,TX,48,2,7,14,0,6,5,15,4,2,9,20,0,Round 9,,,,,6.0
,WAT,43,6,0,2,10,19,0,1,7,14,0,16,1,Round 9,,,,,7.0
,KAK,29,16,3,8,0,4,7,17,1,15,6,15,3,Round 9,,,,,8.0
,RET,29,10,0,6,2,11,2,12,0,7,8,19,7,Round 9,,,,,9.0
,PK,27,13,0,13,0,15,0,5,3,5,7,6,3,Round 9,,,,,10.0
,Pavlova,27,5,2,10,2,10,4,3,2,16,0,17,2,Round 9,,,,,11.0
,M2M,25,19,0,5,6,17,3,4,3,12,0,11,2,Round 9,,,,,12.0
,GS,22,8,8,17,0,12,0,10,3,20,0,7,3,Round 9,,,,,13.0
,EVO BERZ,21,4,5,12,0,8,0,13,0,4,0,9,0,Round 9,,,,,14.0
,AMG TW,14,9,0,15,0,14,0,14,2,10,3,8,0,Round 9,,,,,15.0
,PHN,13,20,0,20,0,13,7,19,4,18,0,13,0,Round 9,,,,,16.0
,DNZ,11,15,5,19,0,16,0,20,0,13,0,10,2,Round 9,,,,,17.0
,Azure,11,18,0,11,0,9,0,11,3,9,0,14,1,Round 9,,,,,18.0
,Xenomorph,8,7,4,16,0,20,0,16,0,17,0,12,0,Round 9,,,,,19.0
,Estrell,8,11,2,18,0,7,0,18,0,8,0,18,0,Round 9,,,,,20.0
