Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby,Round,P.4,K.4,P.5,K.5
8.0,BEXT,35,9,6,8,5,13,3,5,8,Lobby 1,Finals,20.0,0.0,16.0,4.0
9.0,Crest,35,8,0,7,4,4,6,3,6,Lobby 1,Finals,8.0,0.0,17.0,0.0
10.0,YaBaL,35,10,4,15,0,7,1,1,11,Lobby 1,Finals,14.0,0.0,19.0,0.0
11.0,KaisenDONDON,31,6,2,16,1,5,0,8,3,Lobby 1,Finals,10.0,4.0,4.0,5.0
12.0,TSURUGI,29,19,0,5,3,2,7,7,2,Lobby 1,Finals,16.0,0.0,15.0,0.0
13.0,LFT wax,25,2,5,20,0,8,4,18,0,Lobby 1,Finals,15.0,0.0,13.0,3.0
14.0,ARK5,24,13,1,13,0,11,0,10,2,Lobby 1,Finals,5.0,2.0,5.0,6.0
15.0,SyS,23,3,9,14,0,19,0,17,0,Lobby 1,Finals,7.0,2.0,12.0,0.0
16.0,RAVENS,17,15,1,9,1,14,0,12,1,Lobby 1,Finals,17.0,0.0,3.0,2.0
17.0,GENIUS,15,20,0,6,3,10,1,16,2,Lobby 1,Finals,11.0,1.0,11.0,1.0
18.0,ScL,13,18,0,18,0,18,3,6,2,Lobby 1,Finals,12.0,0.0,6.0,1.0
19.0,RAZE,9,11,3,11,0,15,0,19,0,Lobby 1,Finals,18.0,0.0,18.0,3.0
20.0,NFM,2,12,0,19,0,20,0,20,0,Lobby 1,Finals,19.0,1.0,20.0,0.0
