Standings,Team.1,Total,Lobby,Round,StandingsPlacements and killsPoints,Team,"Round 1 Round 1 September 11, 2021 - 14:20 BSTWorld's Edge BearClaw Gaming AllPlanned WhyUs","Round 1 Round 1 September 11, 2021 - 14:20 BSTWorld's Edge BearClaw Gaming AllPlanned WhyUs.1","Round 2 Round 2 September 11, 2021 - 14:55 BSTWorld's Edge AAS Morning Stars Excellent Era","Round 2 Round 2 September 11, 2021 - 14:55 BSTWorld's Edge AAS Morning Stars Excellent Era.1","Round 3 Round 3 September 11, 2021 - 15:30 BSTWorld's Edge BearClaw Gaming Morning Stars AAS","Round 3 Round 3 September 11, 2021 - 15:30 BSTWorld's Edge BearClaw Gaming Morning Stars AAS.1","Round 4 Round 4 September 11, 2021 - 16:05 BSTWorld's Edge BearClaw Gaming GIGI RNGBless","Round 1 Round 1 September 11, 2021 - 14:20 BSTWorld's Edge SPIRAL Team NoFear Gaming Oracle Esport","Round 1 Round 1 September 11, 2021 - 14:20 BSTWorld's Edge SPIRAL Team NoFear Gaming Oracle Esport.1","Round 2 Round 2 September 11, 2021 - 14:55 BSTWorld's Edge MajorPushers superdumplings SPIRAL Team","Round 2 Round 2 September 11, 2021 - 14:55 BSTWorld's Edge MajorPushers superdumplings SPIRAL Team.1","Round 3 Round 3 September 11, 2021 - 15:30 BSTWorld's Edge MajorPushers Hope Die Last UTFT","Round 3 Round 3 September 11, 2021 - 15:30 BSTWorld's Edge MajorPushers Hope Die Last UTFT.1","Round 4 Round 4 September 11, 2021 - 16:05 BSTWorld's Edge UTFT Australis FIGVAM","Round 1 Round 1 September 11, 2021 - 14:20 BSTWorld's Edge DungeonMast33rs Top Dogs Reakless","Round 1 Round 1 September 11, 2021 - 14:20 BSTWorld's Edge DungeonMast33rs Top Dogs Reakless.1","Round 2 Round 2 September 11, 2021 - 14:55 BSTWorld's Edge WeLoveShotgun NotoriousFamily BORGIR","Round 2 Round 2 September 11, 2021 - 14:55 BSTWorld's Edge WeLoveShotgun NotoriousFamily BORGIR.1","Round 3 Round 3 September 11, 2021 - 15:30 BSTWorld's Edge BORGIR 6 banok na troih WeLoveShotgun","Round 3 Round 3 September 11, 2021 - 15:30 BSTWorld's Edge BORGIR 6 banok na troih WeLoveShotgun.1","Round 4 Round 4 September 11, 2021 - 16:05 BSTWorld's Edge BORGIR Top Dogs DungeonMast33rs","Round 1 Round 1 September 11, 2021 - 14:20 BSTWorld's Edge LegionF Mat For Victory Ethernal","Round 1 Round 1 September 11, 2021 - 14:20 BSTWorld's Edge LegionF Mat For Victory Ethernal.1","Round 2 Round 2 September 11, 2021 - 14:55 BSTWorld's Edge Ethernal GVG LegionF","Round 2 Round 2 September 11, 2021 - 14:55 BSTWorld's Edge Ethernal GVG LegionF.1","Round 3 Round 3 September 11, 2021 - 15:30 BSTWorld's Edge 3turrets1brain Team Legion Ethernal","Round 3 Round 3 September 11, 2021 - 15:30 BSTWorld's Edge 3turrets1brain Team Legion Ethernal.1","Round 4 Round 4 September 11, 2021 - 16:05 BSTWorld's Edge KOMANDA A GVG 3turrets1brain","Round 1 Round 1 September 11, 2021 - 14:20 BSTWorld's Edge K1CK SUCCUBUS Rats","Round 1 Round 1 September 11, 2021 - 14:20 BSTWorld's Edge K1CK SUCCUBUS Rats.1","Round 2 Round 2 September 11, 2021 - 14:55 BSTWorld's Edge K1CK SeComportaYa Priests","Round 2 Round 2 September 11, 2021 - 14:55 BSTWorld's Edge K1CK SeComportaYa Priests.1","Round 3 Round 3 September 11, 2021 - 15:30 BSTWorld's Edge Sxercise Controller City KIMADAZ","Round 3 Round 3 September 11, 2021 - 15:30 BSTWorld's Edge Sxercise Controller City KIMADAZ.1","Round 4 Round 4 September 11, 2021 - 16:05 BSTWorld's Edge KIMADAZ Sxercise K1CK","Round 1 Round 1 September 11, 2021 - 14:20 BSTWorld's Edge 69iQ eSports Aspirateur NurzethexStyleS","Round 1 Round 1 September 11, 2021 - 14:20 BSTWorld's Edge 69iQ eSports Aspirateur NurzethexStyleS.1","Round 2 Round 2 September 11, 2021 - 14:55 BSTWorld's Edge uwuowoboys ATK dead inside","Round 2 Round 2 September 11, 2021 - 14:55 BSTWorld's Edge uwuowoboys ATK dead inside.1","Round 3 Round 3 September 11, 2021 - 15:30 BSTWorld's Edge NoWay XBox dead inside T-Rex","Round 3 Round 3 September 11, 2021 - 15:30 BSTWorld's Edge NoWay XBox dead inside T-Rex.1","Round 4 Round 4 September 11, 2021 - 16:05 BSTWorld's Edge T-Rex TURKs dead inside","Round 1 Round 1 September 11, 2021 - 14:20 BSTWorld's Edge Redragon NIBBLE Esports Team Volpid","Round 1 Round 1 September 11, 2021 - 14:20 BSTWorld's Edge Redragon NIBBLE Esports Team Volpid.1","Round 2 Round 2 September 11, 2021 - 14:55 BSTWorld's Edge Sheriffs Team Volpid signelunaire","Round 2 Round 2 September 11, 2021 - 14:55 BSTWorld's Edge Sheriffs Team Volpid signelunaire.1","Round 3 Round 3 September 11, 2021 - 15:30 BSTWorld's Edge Enoughandmore Team Volpid FaTuttoilPad","Round 3 Round 3 September 11, 2021 - 15:30 BSTWorld's Edge Enoughandmore Team Volpid FaTuttoilPad.1","Round 4 Round 4 September 11, 2021 - 16:05 BSTWorld's Edge Sheriffs Kvasna JIGSAW","Round 1 Round 1 September 11, 2021 - 14:20 BSTWorld's Edge Nemesis Undertaker 3 Jabronies","Round 1 Round 1 September 11, 2021 - 14:20 BSTWorld's Edge Nemesis Undertaker 3 Jabronies.1","Round 2 Round 2 September 11, 2021 - 14:55 BSTWorld's Edge Undertaker MZY Monkey Milkers","Round 2 Round 2 September 11, 2021 - 14:55 BSTWorld's Edge Undertaker MZY Monkey Milkers.1","Round 3 Round 3 September 11, 2021 - 15:30 BSTWorld's Edge 3 Jabronies Space Pigeons Vanaheim Gaming","Round 3 Round 3 September 11, 2021 - 15:30 BSTWorld's Edge 3 Jabronies Space Pigeons Vanaheim Gaming.1","Round 4 Round 4 September 11, 2021 - 16:05 BSTWorld's Edge Bacalhau Space Pigeons Undertaker"
7.0,BWG,22,Lobby 15,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,Vanaheim Gaming,20,Lobby 15,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,60fps,19,Lobby 15,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,MZY,18,Lobby 15,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,Next Gen Esports,16,Lobby 15,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,thr33 stack,15,Lobby 15,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.0,Murder De Game,11,Lobby 15,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.0,SinoriaL,9,Lobby 15,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,KYKLOS Blue,4,Lobby 15,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,FishSticks,3,Lobby 15,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.0,Amaterasu,1,Lobby 15,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,Novomatic,0,Lobby 15,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,NMS,76,Lobby 16,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,Undertaker,51,Lobby 16,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,3 Jabronies,35,Lobby 16,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,Bacalhau,35,Lobby 16,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,Aesir,30,Lobby 16,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,BFG,30,Lobby 16,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,1515,22,Lobby 16,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,SPPI,19,Lobby 16,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,DoubleuandL,17,Lobby 16,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,Monkey Milkers,16,Lobby 16,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,ahahhah,16,Lobby 16,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,NF X,14,Lobby 16,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.0,ZenTeX eSports,12,Lobby 16,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.0,KWK,12,Lobby 16,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,Wild Boars,6,Lobby 16,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,Rayquaza Shiny,2,Lobby 16,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.0,PivoEnjoyers,0,Lobby 16,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,Elver Galarga,0,Lobby 16,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,RNGBless,58,Lobby 1,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,bykva U,55,Lobby 1,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,Exalty,43,Lobby 1,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,WhyUs,38,Lobby 1,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,AAS,34,Lobby 1,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,Wisps,33,Lobby 1,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,Reapers of death,32,Lobby 1,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,SeXy Chonks,17,Lobby 1,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,NoWayFzB,16,Lobby 1,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,HEROES ESPORT,16,Lobby 1,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,MALE,15,Lobby 1,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,WRG,11,Lobby 1,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.0,Sapere Aude,10,Lobby 1,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.0,TILT,10,Lobby 1,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,YoKaï,8,Lobby 1,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,AimAssistRed,5,Lobby 1,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.0,OXR,5,Lobby 1,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,AP,65,Lobby 2,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,GIGI,52,Lobby 2,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,BCG,43,Lobby 2,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,MOB INT,42,Lobby 2,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,7Hologram,36,Lobby 2,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,SMS,36,Lobby 2,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,Royal Mooses,28,Lobby 2,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,Excellent Era,22,Lobby 2,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,MantaX,16,Lobby 2,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,LegitGoats,15,Lobby 2,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,Nobody,15,Lobby 2,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,Phoenix,14,Lobby 2,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.0,INEX,9,Lobby 2,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.0,47 squad,8,Lobby 2,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,TAG,6,Lobby 2,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,420SwampWarriors,5,Lobby 2,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.0,Helheim E-sport,5,Lobby 2,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,Profi PUPS,5,Lobby 2,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,Proxima,66,Lobby 3,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,Kamisato,47,Lobby 3,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,NoFear,43,Lobby 3,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,AUS,40,Lobby 3,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,Hope Die Last,36,Lobby 3,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,SPIRAL,29,Lobby 3,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,UTFT,29,Lobby 3,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,Minor Keepers,23,Lobby 3,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,weebs,19,Lobby 3,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,ZEBI,18,Lobby 3,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,Versatile Boys,17,Lobby 3,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,DSS_Apex,16,Lobby 3,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.0,Squad 104,7,Lobby 3,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.0,UnderDogs Greece,5,Lobby 3,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,IX LEGION,4,Lobby 3,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,CRF_team,3,Lobby 3,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.0,Artemis Divinity,2,Lobby 3,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,Org Dropouts,2,Lobby 3,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,FV,65,Lobby 4,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,MP,50,Lobby 4,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,Young Squad,47,Lobby 4,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,Uchinix,43,Lobby 4,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,ORCL,36,Lobby 4,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,ConsoleGamers,35,Lobby 4,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,PDPivas,30,Lobby 4,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,superdumplings,22,Lobby 4,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,Black PENTA,19,Lobby 4,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,Gang FDD,17,Lobby 4,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,Tania & Friends,15,Lobby 4,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,Ghoul-punk,14,Lobby 4,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.0,Gibby Got Cake,14,Lobby 4,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.0,ADNL,11,Lobby 4,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,RA9,9,Lobby 4,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,TBD,6,Lobby 4,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.0,ODO,3,Lobby 4,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,Sussy Bakas,2,Lobby 4,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,BGR,86,Lobby 5,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,TD,63,Lobby 5,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,Team SiMo,44,Lobby 5,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,Weebs Out,36,Lobby 5,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,edit,35,Lobby 5,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,Justthreeplayers,33,Lobby 5,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,CHOC,27,Lobby 5,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,White Clover,23,Lobby 5,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,DASK,12,Lobby 5,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,First in Battle,11,Lobby 5,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,Moin Myster,10,Lobby 5,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,Looking4Wingman,8,Lobby 5,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.0,Precise Hornets,8,Lobby 5,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.0,So Basically,8,Lobby 5,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,Escuella,5,Lobby 5,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,WashedUpShitters,4,Lobby 5,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.0,RareBar™,4,Lobby 5,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,TAW Rampage,4,Lobby 5,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,DM,71,Lobby 6,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,WLS,50,Lobby 6,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,24K,46,Lobby 6,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,TRIHARD,33,Lobby 6,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,BountyHunterGG,31,Lobby 6,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,iEnvy,28,Lobby 6,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,VALUE TEAM,28,Lobby 6,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,NotoriousFamily,25,Lobby 6,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,Reakless,21,Lobby 6,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,6bnt,21,Lobby 6,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,Let’s Carry This,15,Lobby 6,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,Fluffy Bunnies,14,Lobby 6,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.0,DUNDER,10,Lobby 6,Round_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
